	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
23	SAMD11	0.2862725	0.12480424	-1.1970704	16.946424	1
68	VWA1	0.091748506	0.043200392	-1.0848762	5.122861	1
79	MMP23B	0.13778919	0.06287799	-1.1305897	7.7563415	1
245	RBP7	0.008428157	0.033145063	1.9628342	11.80971	1
291	PLOD1	0.38259584	0.22867712	-0.7422554	14.344143	1
339	KAZN	0.25939944	0.12479906	-1.0549687	14.904558	1
374	HSPB7	0.06974218	0.010104491	-2.7748945	9.856279	1
482	ALPL	1.1496013e-09	0.0030333812	4.9696317	9.513914	1
495	WNT4	1.1496013e-09	0.0022287574	4.541472	5.1883836	1
517	TCEA3	0.06473373	0.02448624	-1.3988935	5.5203524	1
530	HMGCL	0.1476925	0.0821513	-0.8454626	6.392734	1
581	EXTL1	1.1496013e-09	0.002048855	4.42548	5.4989576	1
742	TMEM54	0.09931416	0.038381353	-1.3692918	7.4993553	1
770	TMEM35B	0.30604172	0.19501022	-0.6499102	9.1807575	1
808	GRIK3	1.1496013e-09	0.0043376856	5.471719	10.112511	1
841	AL139260.1	0.0033479577	0.014588501	2.0908732	6.179024	1
871	RLF	0.31132156	0.20307608	-0.6161382	8.843984	1
922	P3H1	0.31045035	0.20608269	-0.59090394	8.2111635	1
930	SLC2A1	0.091863066	0.019657198	-2.2186763	11.040357	1
1052	BEND5	0.15641278	0.08826521	-0.82473004	6.3568935	1
1149	DHCR24	0.04396167	0.11232517	1.3513689	18.017368	1
1152	DHCR24-DT	1.1496013e-09	0.002469002	4.68312	6.1264553	1
1182	JUN	0.4491314	0.31690943	-0.5029331	6.8258896	1
1209	KANK4	0.07408976	0.024274051	-1.605874	6.5187364	1
1230	PGM1	0.17451976	0.10708552	-0.7041068	5.928785	1
1240	AK4	0.09721624	0.02375884	-2.0281568	10.88257	1
1268	RPE65	1.1496013e-09	0.0023613302	4.62135	6.979074	1
1354	IFI44	0.032501742	0.07985115	1.2941698	11.995986	1
1355	ADGRL4	0.007562867	0.032300647	2.0800664	12.459864	1
1466	EPHX4	1.1496013e-09	0.0027108244	4.812905	6.943545	1
1481	CCDC18-AS1	0.30225596	0.18342875	-0.7202418	10.082455	1
1531	PALMD	0.005719608	0.019345718	1.7404585	5.443707	1
