	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
6	AL627309.5	0.042151686	0.011041267	-1.9230957	7.9313087	1
29	HES4	0.5366854	1.0891612	1.0209324	44.55244	1
32	AGRN	0.15754433	0.22670749	0.52479506	6.0098696	1
44	SDF4	0.8966614	0.39091933	-1.1974844	44.55244	1
45	B3GALT6	0.20208208	0.1394612	-0.5347572	5.655948	1
52	PUSL1	0.1330494	0.078773424	-0.75543463	6.556975	1
55	CPTP	0.088225275	0.04595023	-0.9396179	6.2667513	1
68	VWA1	0.14268133	0.048316434	-1.5602386	19.406456	1
71	ATAD3A	0.11178951	0.064849146	-0.7846923	5.9042754	1
75	FNDC10	0.104948014	0.03682659	-1.5083169	14.48469	1
79	MMP23B	0.3560517	0.03556711	-3.3198256	44.55244	1
89	TMEM52	0.014616767	0.0010520648	-3.675167	5.15707	1
94	PRKCZ	0.02069971	0.0017038251	-3.5274322	6.734687	1
104	RER1	0.73402554	0.42758626	-0.7794741	44.55244	1
110	HES5	1.2732926e-09	0.023043279	7.854431	7.922573	1
136	TPRG1L	0.15179878	0.09473552	-0.67961097	6.0515304	1
142	SMIM1	0.15080108	0.024125434	-2.6390088	34.07749	1
145	CEP104	0.15847641	0.10135263	-0.64437187	5.781932	1
176	GPR153	0.056289386	0.10138143	0.84772015	5.6941986	1
177	ACOT7	0.09187685	0.043701153	-1.0703019	8.024436	1
180	ESPN	0.069316655	9.749783e-10	-9.439124	22.002623	1
189	THAP3	0.15418084	0.06839152	-1.1715617	14.410702	1
202	VAMP3	0.45914227	0.24123548	-0.9282154	33.33593	1
211	ERRFI1	0.25632674	0.056453552	-2.180857	44.251408	1
219	ENO1	2.7464192	1.1597241	-1.2436982	44.55244	1
236	PIK3CD-AS2	0.047412552	0.014585286	-1.6939373	7.2874675	1
237	CLSTN1	0.3781249	0.21899326	-0.7876991	20.076439	1
238	CTNNBIP1	0.24582538	0.15403344	-0.6740408	10.351669	1
241	LZIC	0.44330546	0.31057432	-0.5132235	12.05302	1
264	SRM	0.6371691	0.44268978	-0.5252809	18.527771	1
277	FBXO2	0.038686026	0.0061182166	-2.6409643	9.475807	1
279	FBXO6	0.030068673	0.009042425	-1.7224025	5.1741233	1
280	MAD2L2	0.22739835	0.06927638	-1.7133396	36.1793	1
282	AGTRAP	0.22507313	0.10887861	-1.0469897	17.928108	1
287	NPPA	0.026259614	9.749783e-10	-8.0421715	9.023799	1
290	KIAA2013	0.21366613	0.12097552	-0.8201261	11.852551	1
291	PLOD1	1.3441424	0.16586958	-3.0178027	44.55244	1
339	KAZN	0.08541186	0.14985363	0.81032	7.823043	1
344	TMEM51	0.07837493	0.018279117	-2.0941644	15.004239	1
369	AL450998.2	0.06270787	0.028114147	-1.1545267	5.8794036	1
374	HSPB7	0.20633769	0.019943394	-3.3645077	44.55244	1
377	FAM131C	0.0139182275	0.00053493056	-4.4645615	5.4588757	1
382	ARHGEF19	0.024474002	0.003688873	-2.697292	6.2873955	1
401	BX284668.5	0.06407937	0.01082043	-2.55508	14.943948	1
403	MFAP2	1.1496667	0.51806194	-1.1498661	44.55244	1
432	EMC1-AS1	0.030333694	0.0078775175	-1.9316577	5.91039	1
433	EMC1	0.19846399	0.1063077	-0.9000015	12.735978	1
437	SLC66A1	0.0662189	0.02753702	-1.262818	6.9009457	1
441	NBL1	0.12858783	0.07030915	-0.87004083	7.510576	1
464	CAMK2N1	0.16585352	0.40171742	1.2757609	36.347942	1
467	CDA	0.0063495478	0.037258893	2.5341818	9.229154	1
470	DDOST	1.0356848	0.5309908	-0.9636939	44.55244	1
477	ECE1	0.9989794	0.21587525	-2.2097332	44.55244	1
503	EPHB2	0.060031816	0.017803326	-1.747901	9.828045	1
509	LUZP1	0.5185697	0.35990652	-0.5267932	14.262452	1
517	TCEA3	0.07986632	0.027283564	-1.5460824	10.386464	1
527	PITHD1	0.27975413	0.16691694	-0.74468046	13.206354	1
529	GALE	0.13469806	0.08616511	-0.6439507	5.096487	1
530	HMGCL	0.22674482	0.08882071	-1.3511143	26.389069	1
531	FUCA1	0.12787119	0.06894078	-0.8902983	7.561008	1
547	RCAN3	0.11659631	0.04328998	-1.427325	14.109258	1
552	CLIC4	0.6643871	0.37575743	-0.8220557	41.049057	1
565	TMEM50A	0.8790109	0.60247505	-0.54490423	32.455418	1
567	MACO1	0.28659555	0.18923637	-0.59856784	9.518089	1
568	LDLRAP1	0.054730576	0.018492717	-1.560243	7.8628936	1
570	MAN1C1	0.076801874	0.005331565	-3.8235788	23.46413	1
572	SELENON	0.17397156	0.096081115	-0.8558549	10.470991	1
