	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
1	FAM138A	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
2	OR4F5	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
3	AL627309.1	0.003561854	0.0018872841	-0.8817762	0.4703566	0
4	AL627309.3	0.00033163998	1.3897079e-09	-2.1098084	0.49828035	0
5	AL627309.2	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
6	AL627309.5	0.042151686	0.022774557	-0.88526523	2.7626064	0
7	AL627309.4	0.0039628353	0.00069949345	-2.3453286	1.2865081	0
8	AP006222.2	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
9	AL732372.1	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
10	OR4F29	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
11	AC114498.1	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
12	OR4F16	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
13	AL669831.2	0.0004461154	0.0019985673	1.942127	0.6753093	0
14	LINC01409	0.047259368	0.04076397	-0.2128204	0.41297415	0
15	FAM87B	0.00030799967	1.3897079e-09	-2.028548	0.4982977	0
16	LINC01128	0.091718614	0.07231421	-0.34251386	1.2983627	0
17	LINC00115	0.0108186435	0.008579984	-0.33102936	0.2915527	0
18	FAM41C	0.006998993	0.002769135	-1.3069985	1.0796082	0
19	AL645608.6	0.0010914889	0.002373704	1.0539075	0.42743576	0
20	AL645608.2	0.008047831	0.024915587	1.6183393	3.4572685	0
21	AL645608.4	0.0012064815	0.0011974489	-0.010008945	0.002598035	0
22	LINC02593	0.006315558	0.053107932	3.0519946	12.830904	1
23	SAMD11	0.059977733	0.48292813	3.007205	44.55244	1
24	NOC2L	0.22728476	0.23036288	0.019398827	0.072887346	0
25	KLHL17	0.025892679	0.027420018	0.082376145	0.100811705	0
26	PLEKHN1	0.004048344	0.0020385804	-0.9558821	0.5229959	0
27	PERM1	0.0003813892	1.3897079e-09	-2.2671838	0.49827915	0
28	AL645608.7	0.014208532	0.0014871195	-3.172393	3.6743534	0
29	HES4	0.5366854	0.37287813	-0.5252544	12.495386	1
30	ISG15	0.24941832	0.2232619	-0.15976271	0.9360048	0
31	AL645608.1	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
32	AGRN	0.15754433	0.1003984	-0.6495007	5.6931167	1
33	AL645608.5	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
34	AL645608.8	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
35	RNF223	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
36	C1orf159	0.021491583	0.024769794	0.2039255	0.27098688	0
37	AL390719.3	1.2732926e-09	0.0007341268	3.0602484	0.4983401	0
38	LINC01342	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
39	AL390719.2	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
40	TTLL10-AS1	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
41	TTLL10	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
42	TNFRSF18	0.006702949	0.002527316	-1.3725704	0.9132208	0
43	TNFRSF4	0.0011964458	0.0045341128	1.8377312	0.98444164	0
44	SDF4	0.8966614	0.4078605	-1.1362948	44.55244	1
45	B3GALT6	0.20208208	0.13792178	-0.55075914	5.5980005	1
46	C1QTNF12	0.015017792	0.0435142	1.5285506	5.2581387	1
47	AL162741.1	0.0009684113	0.0013175317	0.40791383	0.11691657	0
48	UBE2J2	0.29491273	0.25253764	-0.22370765	1.9055002	0
49	LINC01786	0.0006900346	0.0005319923	-0.3220089	0.082405746	0
50	SCNN1D	0.003048022	0.001838297	-0.69965607	0.2931131	0
51	ACAP3	0.115132175	0.10274575	-0.1640614	0.5641384	0
52	PUSL1	0.1330494	0.08185377	-0.7001637	5.562766	1
53	INTS11	0.19931906	0.1552016	-0.36073062	2.8089092	0
54	AL139287.1	0.0010106207	0.0012173229	0.24624276	0.06848653	0
55	CPTP	0.088225275	0.052698564	-0.7423276	4.0991964	0
56	TAS1R3	0.0005237078	1.3897079e-09	-2.6408503	0.4982763	0
57	DVL1	0.0797345	0.0496831	-0.68135613	3.2635424	0
58	MXRA8	0.16701813	0.33067608	0.9849866	20.843193	1
59	AURKAIP1	0.8661082	0.66127867	-0.38923725	17.253653	0
60	CCNL2	0.34736872	0.42301285	0.28415945	3.877642	0
61	MRPL20-AS1	0.040843297	0.04617321	0.17654999	0.32942754	0
62	MRPL20	0.81866026	0.71790844	-0.18944024	4.504289	0
63	AL391244.2	0.0048563136	0.006035311	0.3078691	0.17344664	0
64	ANKRD65	0.0006748255	0.0011028042	0.63445836	0.19324668	0
65	AL391244.1	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
66	TMEM88B	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
67	LINC01770	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
68	VWA1	0.14268133	0.08122757	-0.8119909	7.1237288	1
69	ATAD3C	0.004068958	0.004376734	0.102759704	0.047576778	0
70	ATAD3B	0.037841104	0.037334483	-0.019393805	0.027576128	0
71	ATAD3A	0.11178951	0.0625288	-0.83717674	6.199295	1
72	TMEM240	0.07274353	0.07846834	0.10914725	0.25602472	0
73	SSU72	0.79571825	0.551096	-0.52987355	25.086557	1
74	AL645728.1	0.015543612	0.019929383	0.35654438	0.46082264	0
75	FNDC10	0.104948014	0.04225724	-1.3103684	11.43628	1
76	AL691432.4	0.0030517564	0.0051105306	0.7252742	0.4379657	0
77	AL691432.2	0.025272133	0.032772843	0.3736515	0.6640966	0
78	MIB2	0.11191167	0.09350377	-0.2590104	1.0375485	0
79	MMP23B	0.3560517	0.23749821	-0.5839679	9.544713	1
80	CDK11B	0.17322662	0.1874818	0.11402665	0.50181925	0
81	FO704657.1	0.0010780238	0.003947044	1.7804997	0.9826415	0
82	SLC35E2B	0.10136001	0.1127575	0.15359099	0.50709355	0
83	CDK11A	0.12983066	0.14064664	0.11535852	0.40917534	0
84	SLC35E2A	0.03584731	0.06987486	0.9609529	4.672645	0
85	NADK	0.107437946	0.07434376	-0.53062284	2.8797026	0
86	GNB1	0.930895	0.65130734	-0.5152134	30.08436	1
87	AL109917.1	0.0016297416	0.0026579655	0.67304796	0.2895362	0
88	CALML6	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
89	TMEM52	0.014616767	0.0041879625	-1.7790967	2.6656144	0
90	CFAP74	0.0039787977	0.0011557505	-1.6995941	0.8447929	0
91	AL391845.2	0.0013949404	1.3897079e-09	-3.9019961	0.78750163	0
92	GABRD	0.007575862	0.0030312988	-1.2935675	0.94020015	0
93	AL391845.1	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
94	PRKCZ	0.02069971	0.009615612	-1.0981866	1.9572096	0
95	AL590822.2	0.0024563014	0.001428754	-0.74170184	0.30582193	0
96	PRKCZ-AS1	0.0071193087	0.009467276	0.40624744	0.3110175	0
97	FAAP20	0.7743881	0.68932056	-0.16785865	3.488375	0
98	AL590822.1	1.2732926e-09	0.0005995292	2.806366	0.49834597	0
99	SKI	0.21212816	0.17851055	-0.2487988	1.6694431	0
100	AL590822.3	0.008110089	0.007649686	-0.083260015	0.053893585	0
101	MORN1	0.015608501	0.016452892	0.07553774	0.073036775	0
102	AL589739.1	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
103	AL513477.2	0.0020745103	0.0019089993	-0.11421362	0.04121446	0
104	RER1	0.73402554	0.39162323	-0.90619224	44.55244	1
105	PEX10	0.076097466	0.06876165	-0.14604232	0.3691418	0
106	PLCH2	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
107	AL139246.1	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
108	AL139246.4	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
109	PANK4	0.018051563	0.016180567	-0.1569428	0.16971454	0
110	HES5	1.2732926e-09	0.0040219445	5.365235	1.7970837	0
111	AL139246.5	0.0071932026	0.0040670238	-0.8075352	0.62820256	0
112	TNFRSF14-AS1	1.2732926e-09	0.0015699731	4.0617347	0.7975946	0
113	TNFRSF14	0.0002581371	0.0033438897	3.265455	1.355092	0
114	AL139246.3	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
115	PRXL2B	0.06559805	0.05685355	-0.20606475	0.5169941	0
116	MMEL1	0.00088044914	0.00064417924	-0.39779264	0.1007359	0
117	AL831784.1	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
118	TTC34	0.0040458227	0.004286965	0.0815647	0.037894208	0
119	AC242022.2	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
120	AC242022.1	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
121	AL592464.2	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
122	AL592464.3	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
123	AL592464.1	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
124	AL589702.1	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
125	ACTRT2	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
126	PRDM16-DT	0.0050286297	0.007892566	0.64008534	0.50678885	0
127	PRDM16	0.01464703	0.024307426	0.72689575	1.2435426	0
128	AL008733.1	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
129	AL590438.1	1.2732926e-09	0.0016296214	4.112366	0.7991675	0
130	AL354743.2	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
131	AL354743.1	1.2732926e-09	1.3897079e-09	1.7198255e-06	1.8877467	0
132	ARHGEF16	0.01629647	0.011158678	-0.54234785	0.6650135	0
133	AL512413.1	0.0006287898	1.3897079e-09	-2.8654828	0.49827752	0
134	MEGF6	0.0074446057	0.03688492	2.2934198	6.8364987	1
135	AL513320.1	0.0005373869	0.0006114905	0.15867516	0.03269791	0
