	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
23	SAMD11	0.045817982	0.094033435	1.035648	7.529182	1
79	MMP23B	0.008938378	0.03556711	1.9804586	7.0348024	1
110	HES5	0.0015522012	0.023043279	3.808132	6.748899	1
113	TNFRSF14	0.022535233	0.0040703625	-2.4403255	6.996042	1
211	ERRFI1	0.018586049	0.056453552	1.5976561	8.166225	1
236	PIK3CD-AS2	0.046460863	0.014585286	-1.6647465	8.584874	1
245	RBP7	0.120618396	0.009389734	-3.6691341	43.376347	1
250	PGD	0.4777204	0.33137912	-0.52755046	15.211483	1
350	EFHD2	0.26851642	0.06843795	-1.9705724	44.55244	1
367	FBLIM1	0.52465904	0.3484449	-0.59031063	20.416027	1
374	HSPB7	0.0033277827	0.019943394	2.5477793	5.1245193	1
437	SLC66A1	0.057424586	0.02753702	-1.0575767	5.729133	1
464	CAMK2N1	0.26313895	0.40171742	0.6101672	13.0114	1
467	CDA	0.07786602	0.037258893	-1.0613936	7.245879	1
477	ECE1	0.36495283	0.21587525	-0.75723916	20.505941	1
487	HSPG2	0.12777479	0.21024504	0.718026	9.663061	1
503	EPHB2	0.0010533521	0.017803326	3.9563227	6.257186	1
527	PITHD1	0.2515716	0.16691694	-0.5915479	9.296307	1
528	LYPLA2	0.2911037	0.19322479	-0.591002	10.849777	1
529	GALE	0.1398612	0.08616511	-0.6981779	6.6914124	1
572	SELENON	0.14483845	0.096081115	-0.5916148	5.402598	1
659	RAB42	0.06303463	0.023085957	-1.4451804	9.58309	1
666	EPB41	0.03485422	0.070406966	1.0122992	5.582471	1
693	FABP3	0.020176737	0.06603899	1.7056755	10.337465	1
697	TINAGL1	0.03572569	0.091592416	1.3558078	10.647892	1
767	GJA4	0.2746932	0.42216322	0.6197964	14.476017	1
783	CLSPN	0.10650677	0.057499535	-0.88816994	7.272186	1
800	STK40	0.20792377	0.14634265	-0.5064126	5.880626	1
832	POU3F1	0.016977275	0.049652252	1.5426842	6.9182243	1
950	PTPRF	0.03856437	0.08630525	1.1601144	8.29102	1
955	ARTN	0.0027442025	0.022995625	3.0215235	6.670143	1
963	SLC6A9	0.012116801	0.06840975	2.4874427	16.25532	1
1001	PIK3R3	0.14879292	0.0923843	-0.6869948	6.983685	1
1073	EPS15	0.31584987	0.21634278	-0.54570997	10.261149	1
1100	ECHDC2	0.035998378	0.011828873	-1.5974764	6.6869407	1
1101	SCP2	0.4731271	0.32300654	-0.55052274	16.472013	1
1149	DHCR24	0.17390166	0.11451328	-0.6023269	6.408141	1
1182	JUN	0.2764364	0.5044797	0.867613	27.15482	1
1251	TCTEX1D1	0.024216482	0.0016538684	-3.793322	10.97221	1
1263	GADD45A	0.24513786	0.13700196	-0.8389324	15.306268	1
1298	NEGR1	0.0015513534	0.022283752	3.7607312	7.4156103	1
1331	ST6GALNAC3	0.0844798	0.022757601	-1.8876393	18.313326	1
1346	FUBP1	0.30712843	0.1964563	-0.64436907	13.005825	1
1353	IFI44L	0.088761486	0.0086875195	-3.3380306	33.35078	1
1354	IFI44	0.14837499	0.04124976	-1.844269	30.144762	1
1376	TTLL7	0.091307744	0.17539442	0.94103676	12.447446	1
1380	PRKACB	0.23303437	0.16194099	-0.5248029	7.008998	1
1387	CTBS	0.17674266	0.104841	-0.7528878	9.6361685	1
1401	DDAH1	0.012318599	0.039166316	1.66079	6.31098	1
1428	GTF2B	0.2821876	0.19673568	-0.52017397	8.365305	1
1431	GBP3	0.096534014	0.05150377	-0.90505457	7.2491717	1
1432	GBP1	0.08880277	0.16635638	0.90484387	11.006912	1
1463	CDC7	0.02935872	0.07059835	1.2629819	7.914625	1
1464	TGFBR3	0.123380825	0.06358741	-0.9552069	9.778848	1
1484	BCAR3	0.08336568	0.047165923	-0.8203826	5.4356484	1
1488	GCLM	0.18751982	0.11799273	-0.66789216	8.303932	1
1491	ARHGAP29	0.2891306	0.1486015	-0.95980096	22.89818	1
1531	PALMD	0.045744754	0.00293191	-3.918458	18.812994	1
1540	LRRC39	0.04342799	0.016660158	-1.3769077	6.3604627	1
1544	RTCA	0.22862154	0.14579125	-0.6486989	9.9653635	1
1565	COL11A1	0.033788547	0.09355849	1.466612	11.817842	1
1581	VAV3	0.26785663	0.07760239	-1.7859687	44.55244	1
1667	DRAM2	0.1460024	0.09662726	-0.5949854	5.4809213	1
1686	INKA2	0.004343056	0.026493829	2.5814672	6.9876432	1
1730	DENND2C	0.049155753	0.020126047	-1.2840779	6.241017	1
1741	NGF	0.068340786	0.16303302	1.2531207	16.969872	1
1763	PTGFRN	0.1769652	0.120106116	-0.5587704	6.000157	1
1778	TBX15	0.021887792	0.0027254256	-2.9601626	8.140501	1
1803	LINC00623	0.20441666	0.13099256	-0.6416325	8.387884	1
1809	SRGAP2C	0.13227357	0.08194004	-0.69021505	6.277453	1
1829	SRGAP2B	0.1422127	0.09463868	-0.587039	5.2895765	1
1844	ITGA10	0.10004184	0.023690922	-2.0735617	23.840307	1
1872	GJA5	0.0020614995	0.021185271	3.299751	6.8645387	1
1891	PDE4DIP	0.12562756	0.068744116	-0.8688957	8.728858	1
1917	SV2A	0.022977388	0.051402524	1.1581633	5.141992	1
2001	THEM4	0.15360041	0.06428273	-1.2553754	18.860207	1
2004	S100A10	0.70627	0.32724878	-1.1095955	44.55244	1
2068	S100A4	0.20629439	0.37842548	0.8749866	19.908216	1
2074	S100A13	0.8328891	0.51982975	-0.6799808	44.55244	1
2084	SLC27A3	0.19046623	0.10529729	-0.85445464	12.236316	1
2106	IL6R	0.062743716	0.017678978	-1.8215963	12.651078	1
2118	PMVK	0.25270438	0.17228195	-0.5524126	8.306067	1
2123	SHC1	0.5145279	0.29896435	-0.7830739	32.570587	1
2163	SYT11	0.020689063	0.088661864	2.0941153	17.332342	1
2167	ARHGEF2	0.112460464	0.18396358	0.70950407	8.314334	1
2175	MEX3A	0.19549063	0.2774078	0.504691	7.3089113	1
2184	GLMP	0.21057543	0.11632963	-0.85556376	14.07688	1
2203	NES	0.3237546	0.54468715	0.75034654	28.36529	1
2206	CRABP2	0.07678891	0.17921738	1.221668	17.714218	1
2270	DUSP23	0.21366774	0.1434058	-0.57493514	7.437624	1
