	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	1.4479156e-09	2.1827873e-11	-2.0552074e-05	44.55244	0
1	FAM138A	1.4479156e-09	2.1827873e-11	-2.0552074e-05	44.55244	0
2	OR4F5	1.4479156e-09	2.1827873e-11	-2.0552074e-05	44.55244	0
3	AL627309.1	0.0019253808	2.1827873e-11	-4.340121	1.0779201	0
4	AL627309.3	1.4479156e-09	2.1827873e-11	-2.0552074e-05	44.55244	0
5	AL627309.2	1.4479156e-09	2.1827873e-11	-2.0552074e-05	44.55244	0
6	AL627309.5	0.012868805	0.008864501	-0.5327504	0.30486998	0
7	AL627309.4	1.4479156e-09	2.1827873e-11	-2.0552074e-05	44.55244	0
8	AP006222.2	1.4479156e-09	2.1827873e-11	-2.0552074e-05	44.55244	0
9	AL732372.1	1.4479156e-09	2.1827873e-11	-2.0552074e-05	44.55244	0
10	OR4F29	1.4479156e-09	2.1827873e-11	-2.0552074e-05	44.55244	0
11	AC114498.1	1.4479156e-09	2.1827873e-11	-2.0552074e-05	44.55244	0
12	OR4F16	1.4479156e-09	2.1827873e-11	-2.0552074e-05	44.55244	0
13	AL669831.2	0.002189634	2.1827873e-11	-4.5170445	1.0752025	0
14	LINC01409	0.021356873	0.046231914	1.1105665	1.5104113	0
15	FAM87B	1.4479156e-09	2.1827873e-11	-2.0552074e-05	44.55244	0
16	LINC01128	0.048038833	0.09541413	0.988513	2.4628625	0
17	LINC00115	0.00916696	0.0056637065	-0.6850993	0.3458416	0
18	FAM41C	0.0061227563	0.018531745	1.5821371	1.0794553	0
19	AL645608.6	0.0014086871	0.0025068058	0.7889896	0.16484205	0
20	AL645608.2	0.0030349507	0.0021172375	-0.4996794	0.14544044	0
21	AL645608.4	0.000580169	2.1827873e-11	-2.765893	0.49838483	0
22	LINC02593	0.020694068	0.024215812	0.22572273	0.15942039	0
23	SAMD11	0.11113922	0.08288857	-0.42268088	0.9364178	0
24	NOC2L	0.1701715	0.22021492	0.37173027	1.283641	0
25	KLHL17	0.013568683	0.022439217	0.72156316	0.49571574	0
