	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
20	AL645608.2	0.024915587	0.0021172375	-3.495992	6.103587	1
23	SAMD11	0.48292813	0.08288857	-2.5411224	44.55244	1
29	HES4	0.37287813	1.2281886	1.7194867	44.55244	1
46	C1QTNF12	0.0435142	0.0021207912	-4.2956524	11.293009	1
59	AURKAIP1	0.66127867	1.0299728	0.6391978	18.06101	1
72	TMEM240	0.07846834	0.019371422	-2.01259	7.856958	1
73	SSU72	0.551096	0.86853844	0.65619034	14.12282	1
86	GNB1	0.65130734	1.1444037	0.8130902	30.770472	1
104	RER1	0.39162323	0.69859487	0.83482796	14.731771	1
142	SMIM1	0.15770698	0.051771138	-1.605157	10.649284	1
173	ICMT	0.07192331	0.17438573	1.2765733	5.383394	1
177	ACOT7	0.020866036	0.15971631	2.9302886	10.127895	1
183	PLEKHG5	0.044209678	0.009438814	-2.2157402	5.8912144	1
202	VAMP3	0.23362966	0.4495556	0.94397956	10.189561	1
211	ERRFI1	0.039489735	0.31367692	2.9865408	18.748716	1
228	SPSB1	0.036849674	0.1664383	2.1722205	8.425633	1
264	SRM	0.35479277	0.8188449	1.2063833	28.462402	1
277	FBXO2	0.01715871	2.1827873e-11	-7.4311805	6.3094196	1
297	TNFRSF1B	0.08893166	0.030136136	-1.5580447	6.2287426	1
350	EFHD2	0.05162465	0.13965325	1.4339579	5.0414863	1
367	FBLIM1	0.23524348	0.6556626	1.4784057	25.144215	1
374	HSPB7	0.07913799	0.2122283	1.4220325	7.085805	1
403	MFAP2	1.1337264	0.40607896	-1.4810123	44.55244	1
407	SDHB	0.15320449	0.30426225	0.9893895	7.241556	1
438	CAPZB	0.6048304	0.92202944	0.60820013	13.816652	1
439	MICOS10	0.71187633	1.3738111	0.94838744	44.55244	1
464	CAMK2N1	0.433306	0.28402588	-0.609189	5.4914536	1
467	CDA	0.15746686	0.017114798	-3.194243	27.55941	1
477	ECE1	0.07711826	0.33455616	2.1156654	16.312176	1
487	HSPG2	0.13161694	0.43111068	1.7109519	17.67029	1
518	ASAP3	0.07698085	0.025984015	-1.5632067	5.640134	1
531	FUCA1	0.098883145	0.025964689	-1.9250864	8.84444	1
534	PNRC2	0.62913394	0.34519732	-0.86575747	15.620126	1
