	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
521	ID3	2.07899	1.2739531	-0.7065267	5.1489997	1
905	HIVEP3	0.015170364	0.17178994	3.4926789	7.7353544	1
1326	RABGGTB	0.044590507	0.2388326	2.4185634	6.0946207	1
1853	TXNIP	1.3280022	0.37066406	-1.8407929	7.8619037	1
1959	GABPB2	1.4551915e-11	0.052442245	9.0373335	5.206012	1
2221	ETV3	1.4551915e-11	0.094665945	9.888225	6.8387904	1
3079	LEFTY2	1.4551915e-11	0.0973886	9.92909	5.683376	1
3754	ZNF512	1.4551915e-11	0.07994342	9.644639	5.875771	1
5396	MAIP1	1.4551915e-11	0.099438556	9.959111	7.5919423	1
5536	BARD1	0.034138232	0.20884922	2.6094723	5.1759744	1
6200	OSBPL10	1.4551915e-11	0.107484564	10.071256	7.8503757	1
6726	SHQ1	1.4551915e-11	0.069512725	9.443207	5.288589	1
6854	ALCAM	0.07803851	0.35611528	2.1886437	5.4177322	1
6982	POPDC2	1.4551915e-11	0.11163441	10.125857	8.075331	1
7115	ACAD9	1.4551915e-11	0.09724994	9.927036	7.4740744	1
7217	PIK3CB	1.4551915e-11	0.057642296	9.173485	5.0528274	1
7308	AGTR1	1.4551915e-11	0.07290212	9.511794	6.012964	1
7477	SERPINI1	0.05534779	0.2800074	2.3367782	5.6133533	1
8599	SPARCL1	1.4551915e-11	0.072288506	9.499617	5.459093	1
8691	EMCN	0.7951287	0.23262055	-1.7727712	5.2437983	1
8752	LEF1	1.4551915e-11	0.07912034	9.629727	6.3335505	1
8960	MGST2	0.037576642	0.2041903	2.4388783	5.104893	1
9051	SH3D19	1.4551915e-11	0.07051865	9.463905	5.3943	1
9201	AADAT	1.4551915e-11	0.07113423	9.476427	5.6563377	1
9459	ADAMTS16	0.0070559783	0.09268971	3.696744	5.3055167	1
9554	FBXL7	1.4551915e-11	0.12584308	10.298556	9.346543	1
9826	ESM1	1.4551915e-11	0.06510164	9.348764	5.5950274	1
10035	IQGAP2	1.4551915e-11	0.08887939	9.797327	6.734472	1
10197	RHOBTB3	1.3044792	0.8023997	-0.70101184	6.388757	1
