,interaction_group,celltype_group,scaled_means,pvals,x_means,y_means,x_stroke,neglog10p,significant,is_integrin,directionality,classification
CPI-SS0D5E30C6C---NRG3-ERBB4---CM-CM,NRG3-ERBB4,CM-CM,0.022020725388600986,1.0,0.022020725388600986,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Neuregulin
CPI-SS0F67B526A---SEMA3C-NRP2---CM-CM,SEMA3C-NRP2,CM-CM,0.23822714681440446,1.0,0.23822714681440446,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Semaphorin
CPI-SS0D5E30C6C---NRG3-ERBB4---CM-EC,NRG3-ERBB4,CM-EC,0.0012953367875647682,1.0,0.0012953367875647682,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Neuregulin
CPI-SS0F67B526A---SEMA3C-NRP2---CM-EC,SEMA3C-NRP2,CM-EC,1.0,1.0,1.0,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Semaphorin
CPI-SS0D5E30C6C---NRG3-ERBB4---CM-EP,NRG3-ERBB4,CM-EP,1.0,0.024,,1.0,1.0,1.6197887582883939,yes,False,Ligand-Receptor,Signaling by Neuregulin
CPI-SS0F67B526A---SEMA3C-NRP2---CM-EP,SEMA3C-NRP2,CM-EP,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Semaphorin
CPI-SS0D5E30C6C---NRG3-ERBB4---CM-PV,NRG3-ERBB4,CM-PV,0.01295336787564761,1.0,0.01295336787564761,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Neuregulin
CPI-SS0F67B526A---SEMA3C-NRP2---CM-PV,SEMA3C-NRP2,CM-PV,0.3462603878116343,1.0,0.3462603878116343,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Semaphorin
CPI-SS0D5E30C6C---NRG3-ERBB4---CM-SM,NRG3-ERBB4,CM-SM,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Neuregulin
CPI-SS0F67B526A---SEMA3C-NRP2---CM-SM,SEMA3C-NRP2,CM-SM,0.4432132963988919,1.0,0.4432132963988919,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Semaphorin
CPI-SS0D5E30C6C---NRG3-ERBB4---EC-CM,NRG3-ERBB4,EC-CM,0.4468911917098446,1.0,0.4468911917098446,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Neuregulin
CPI-SS0F67B526A---SEMA3C-NRP2---EC-CM,SEMA3C-NRP2,EC-CM,0.18005540166204984,1.0,0.18005540166204984,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Semaphorin
CPI-SS0D5E30C6C---NRG3-ERBB4---EP-CM,NRG3-ERBB4,EP-CM,0.4870466321243524,1.0,0.4870466321243524,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Neuregulin
CPI-SS0F67B526A---SEMA3C-NRP2---EP-CM,SEMA3C-NRP2,EP-CM,0.6509695290858726,0.044,,0.6509695290858726,1.0,1.3565473235138126,yes,False,Ligand-Receptor,Signaling by Semaphorin
CPI-SS0D5E30C6C---NRG3-ERBB4---PV-CM,NRG3-ERBB4,PV-CM,0.7422279792746115,1.0,0.7422279792746115,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Neuregulin
CPI-SS0F67B526A---SEMA3C-NRP2---PV-CM,SEMA3C-NRP2,PV-CM,0.2437673130193906,1.0,0.2437673130193906,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Semaphorin
CPI-SS0D5E30C6C---NRG3-ERBB4---SM-CM,NRG3-ERBB4,SM-CM,0.7240932642487047,1.0,0.7240932642487047,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Neuregulin
CPI-SS0F67B526A---SEMA3C-NRP2---SM-CM,SEMA3C-NRP2,SM-CM,0.22714681440443216,0.892,0.22714681440443216,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Semaphorin
