,interaction_group,celltype_group,scaled_means,pvals,x_means,y_means,x_stroke,neglog10p,significant,is_integrin,directionality,classification
CPI-SS0A28DCA72---CXCL12-CXCR4---EC-PV,CXCL12-CXCR4,EC-PV,0.08507853403141362,1.0,0.08507853403141362,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS0C93E48D7---THBS1-CD36---EC-PV,THBS1-CD36,EC-PV,0.545679012345679,0.001,,0.545679012345679,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Thrombospondin precursor
CPI-SS0889E281D---CADM1-CADM1---EC-PV,CADM1-CADM1,EC-PV,0.002702702702702705,1.0,0.002702702702702705,,0.0,0.0,no,False,Adhesion-Adhesion,Adhesion by CADM
CPI-SS081E1A895---LRFN5-PTPRD---EC-PV,LRFN5-PTPRD,EC-PV,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Leucine Rich Repeat And Fibronectin
CPI-SS0F9F83827---PTPRD-IL1RAPL1---EC-PV,PTPRD-IL1RAPL1,EC-PV,0.3137254901960784,1.0,0.3137254901960784,,0.0,0.0,no,False,Ligand-Receptor,
CPI-SS075F456AF---TENM3-ADGRL2---EC-PV,TENM3-ADGRL2,EC-PV,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS0FD44484F---TENM4-ADGRL2---EC-PV,TENM4-ADGRL2,EC-PV,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS087E0E3FB---EFNB2-EPHA4---EC-PV,EFNB2-EPHA4,EC-PV,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0ECC9DF3E---EFNB2-EPHB2---EC-PV,EFNB2-EPHB2,EC-PV,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0C70ADA28---EFNA5-EPHA3---EC-PV,EFNA5-EPHA3,EC-PV,0.3110687022900763,0.001,,0.3110687022900763,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0FC01B947---EFNA5-EPHA4---EC-PV,EFNA5-EPHA4,EC-PV,0.19955654101995562,0.001,,0.19955654101995562,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS068ACD209---EFNA5-EPHB2---EC-PV,EFNA5-EPHB2,EC-PV,0.24634655532359082,0.001,,0.24634655532359082,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0E3AA6B7B---NTN4-NTRK2---EC-PV,NTN4-NTRK2,EC-PV,0.16129032258064516,1.0,0.16129032258064516,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Netrin
CPI-SS0D2DF7881---NLGN1-NRXN1---EC-PV,NLGN1-NRXN1,EC-PV,0.016528925619834725,1.0,0.016528925619834725,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Neuroligin
CPI-SS093E05DD4---NTF3-NTRK2---EC-PV,NTF3-NTRK2,EC-PV,0.5862068965517241,1.0,0.5862068965517241,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Neurotrophin
CPI-SS0BA601DC4---BDNF-NTRK2---EC-PV,BDNF-NTRK2,EC-PV,0.015625000000000014,1.0,0.015625000000000014,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Brain-derived neurotrophic factor
CPI-SS03466C597---LRRTM4-NRXN1---EC-PV,LRRTM4-NRXN1,EC-PV,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein
CPI-SS038A612D7---TENM1-ADGRL3---EC-PV,TENM1-ADGRL3,EC-PV,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Teneurin
