gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	PV	SM
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	SULT1E1	0.0	0.027	0.038	0.275	0.22
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS09DCE99A5	CHAT	0.0	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS088613CD3	CHAT	0.0	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS08ED696DC	CHAT	0.0	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS0C5C5E217	CHAT	0.0	0.0	0.0	0.0	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CS08EE9E5CE	ALDH1A1	0.065	0.002	0.154	0.022	0.009
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CS033058D2B	ALDH1A2	0.0	0.083	0.148	0.218	0.041
HDC	P19113	True	DCHS_HUMAN	Histamine_byHDC	CPI-CS0FF6E7611	HDC	0.0	0.0	0.0	0.0	0.0
SLC5A7	Q9GZV3	True	SC5A7_HUMAN	Acetylcholine_byCHAT_and_SLC5A7	CPI-CS0DBFDDA4A	SLC5A7	0.0	0.0	0.0	0.0	0.0
SLC5A7	Q9GZV3	True	SC5A7_HUMAN	Acetylcholine_byCHAT_and_SLC5A7	CPI-CS08FB3D7C0	SLC5A7	0.0	0.0	0.0	0.0	0.0
SLC5A7	Q9GZV3	True	SC5A7_HUMAN	Acetylcholine_byCHAT_and_SLC5A7	CPI-CS067CF9C74	SLC5A7	0.0	0.0	0.0	0.0	0.0
SLC5A7	Q9GZV3	True	SC5A7_HUMAN	Acetylcholine_byCHAT_and_SLC5A7	CPI-CC0A4E09DEF	SLC5A7	0.0	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT_and_SLC5A7	CPI-CS0DBFDDA4A	CHAT	0.0	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT_and_SLC5A7	CPI-CS08FB3D7C0	CHAT	0.0	0.0	0.0	0.0	0.0
