id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EC	CM|EP	CM|PV	CM|SM	EC|CM	EC|EC	EC|EP	EC|PV	EC|SM	EP|CM	EP|EC	EP|EP	EP|PV	EP|SM	PV|CM	PV|EC	PV|EP	PV|PV	PV|SM	SM|CM	SM|EC	SM|EP	SM|PV	SM|SM
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.01	0.368	0.016	0.008	0.0	0.368	0.726	0.375	0.366	0.0	0.016	0.375	0.023	0.015	0.0	0.008	0.366	0.015	0.006	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C53F7672	CDH6_CDH6	simple:P55285	simple:P55285	CDH6	CDH6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.005	0.004	0.047	0.026	0.029	0.004	0.002	0.046	0.024	0.028	0.047	0.046	0.089	0.068	0.071	0.026	0.024	0.068	0.046	0.05	0.029	0.028	0.071	0.05	0.053
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.003	0.006	0.005	0.014	0.0	0.006	0.009	0.008	0.017	0.0	0.005	0.008	0.007	0.016	0.0	0.014	0.017	0.016	0.026	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0889E281D	CADM1_CADM1	simple:Q9BY67	simple:Q9BY67	CADM1	CADM1	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	0.456	0.278	0.299	0.311	0.337	0.278	0.101	0.122	0.133	0.159	0.299	0.122	0.143	0.154	0.18	0.311	0.133	0.154	0.166	0.192	0.337	0.159	0.18	0.192	0.218
CPI-SS0322747C2	CEACAM5_CEACAM6	simple:P06731	simple:P40199	CEACAM5	CEACAM6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.001	0.0	0.01	0.001	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS001BF66E8	CEACAM6_CEACAM6	simple:P40199	simple:P40199	CEACAM6	CEACAM6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.018	0.009	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS06F83AE58	CD44_SELE	simple:P16070	simple:P16581	CD44	SELE	False	True	False	curated	False	Ligand-Receptor		0.011	0.012	0.011	0.012	0.0	0.103	0.104	0.104	0.104	0.0	0.029	0.031	0.03	0.03	0.0	0.12	0.121	0.121	0.121	0.0	0.229	0.231	0.23	0.23	0.0
CPI-SS01A7DC3C1	CLSTN2_NRXN3	simple:Q9H4D0	simple:Q9HDB5	CLSTN2	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.086	0.052	0.081	0.205	0.236	0.05	0.016	0.045	0.169	0.2	0.052	0.018	0.047	0.171	0.202	0.057	0.023	0.052	0.176	0.207	0.058	0.024	0.053	0.177	0.208
CPI-SS0C0329180	LRRTM2_NRXN3	simple:O43300	simple:Q9HDB5	LRRTM2	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.05	0.015	0.044	0.168	0.199	0.05	0.015	0.044	0.169	0.2	0.049	0.015	0.044	0.168	0.199	0.05	0.015	0.044	0.169	0.2	0.0	0.0	0.0	0.0	0.0
CPI-SS026EC3854	LRRTM3_NRXN3	simple:Q86VH5	simple:Q9HDB5	LRRTM3	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.154	0.12	0.149	0.273	0.304	0.056	0.021	0.05	0.175	0.206	0.052	0.017	0.046	0.171	0.202	0.062	0.028	0.057	0.181	0.212	0.0	0.0	0.0	0.0	0.0
