,interaction_group,celltype_group,scaled_means,pvals,x_means,y_means,x_stroke,neglog10p,significant,is_integrin,directionality,classification
CPI-SS0D5E30C6C---NRG3-ERBB4---CM-EC,NRG3-ERBB4,CM-EC,0.13522355507088332,1.0,0.13522355507088332,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Neuregulin
CPI-SS0A932EB77---SLIT2-ROBO1---CM-EC,SLIT2-ROBO1,CM-EC,0.9222614840989398,0.001,,0.9222614840989398,1.0,3.0,yes,False,Ligand-Receptor,Signaling by SLIT and NTRK-like protein
CPI-SS04C672963---ESAM-ESAM---CM-EC,ESAM-ESAM,CM-EC,,1.0,,,1.0,0.0,no,False,Adhesion-Adhesion,
CPI-SS0EC8C81E0---VEGFC-KDR---CM-EC,VEGFC-KDR,CM-EC,0.9202363367799113,1.0,0.9202363367799113,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0F67B526A---SEMA3C-NRP2---CM-EC,SEMA3C-NRP2,CM-EC,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Semaphorin
CPI-SS021718DBF---TENM2-ADGRL2---CM-EC,TENM2-ADGRL2,CM-EC,0.6890034364261169,0.001,,0.6890034364261169,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS075F456AF---TENM3-ADGRL2---CM-EC,TENM3-ADGRL2,CM-EC,0.9492481203007518,0.001,,0.9492481203007518,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS0FD44484F---TENM4-ADGRL2---CM-EC,TENM4-ADGRL2,CM-EC,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS015B29D3F---APOA1-ABCA1---CM-EC,APOA1-ABCA1,CM-EC,0.06521739130434782,1.0,0.06521739130434782,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Apolipoprotein
CPI-SS00C24ED50---CDH5-CDH5---CM-EC,CDH5-CDH5,CM-EC,0.5084459459459459,1.0,0.5084459459459459,,0.0,0.0,no,False,Adhesion-Adhesion,Adhesion by Cadherin
CPI-SS0A28DCA72---CXCL12-CXCR4---CM-EC,CXCL12-CXCR4,CM-EC,0.7245989304812834,0.001,,0.7245989304812834,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Chemokines
CPI-CS0917E42F5---DHEAsulfate-bySULT1E1-PPARG---CM-EC,DHEAsulfate-bySULT1E1-PPARG,CM-EC,0.2595419847328244,1.0,0.2595419847328244,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Dehydroepiandrosterone
