gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	PV
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	SULT1E1	0.023	0.002	0.604	0.017
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS09DCE99A5	CHAT	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS088613CD3	CHAT	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS08ED696DC	CHAT	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS0C5C5E217	CHAT	0.0	0.0	0.0	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CS08EE9E5CE	ALDH1A1	0.001	0.002	0.633	0.005
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CS033058D2B	ALDH1A2	0.042	0.057	0.211	0.032
SLC5A7	Q9GZV3	True	SC5A7_HUMAN	Acetylcholine_byCHAT_and_SLC5A7	CPI-CS0DBFDDA4A	SLC5A7	0.0	0.0	0.0	0.0
SLC5A7	Q9GZV3	True	SC5A7_HUMAN	Acetylcholine_byCHAT_and_SLC5A7	CPI-CS08FB3D7C0	SLC5A7	0.0	0.0	0.0	0.0
SLC5A7	Q9GZV3	True	SC5A7_HUMAN	Acetylcholine_byCHAT_and_SLC5A7	CPI-CS067CF9C74	SLC5A7	0.0	0.0	0.0	0.0
SLC5A7	Q9GZV3	True	SC5A7_HUMAN	Acetylcholine_byCHAT_and_SLC5A7	CPI-CC0A4E09DEF	SLC5A7	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT_and_SLC5A7	CPI-CS0DBFDDA4A	CHAT	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT_and_SLC5A7	CPI-CS08FB3D7C0	CHAT	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT_and_SLC5A7	CPI-CS067CF9C74	CHAT	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT_and_SLC5A7	CPI-CC0A4E09DEF	CHAT	0.0	0.0	0.0	0.0
PTGDS	P41222	True	PTGDS_HUMAN	PGD2_byPTGDS	CPI-CS0FADCFDB9	PTGDS	0.125	0.021	0.055	0.267
CDH5	P33151	False	CADH5_HUMAN		CPI-SS00C24ED50	CDH5	0.01	0.592	0.016	0.007
CDH6	P55285	False	CADH6_HUMAN		CPI-SS0C53F7672	CDH6	0.005	0.006	0.137	0.043
