id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EC	CM|EP	CM|PV	CM|SM	EC|CM	EC|EC	EC|EP	EC|PV	EC|SM	EP|CM	EP|EC	EP|EP	EP|PV	EP|SM	PV|CM	PV|EC	PV|EP	PV|PV	PV|SM	SM|CM	SM|EC	SM|EP	SM|PV	SM|SM
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.01	0.301	0.013	0.008	0.0	0.301	0.592	0.304	0.299	0.0	0.013	0.304	0.016	0.011	0.0	0.008	0.299	0.011	0.007	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C53F7672	CDH6_CDH6	simple:P55285	simple:P55285	CDH6	CDH6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.005	0.005	0.071	0.024	0.075	0.005	0.006	0.072	0.024	0.075	0.071	0.072	0.137	0.09	0.141	0.024	0.024	0.09	0.043	0.094	0.075	0.075	0.141	0.094	0.145
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.003	0.005	0.002	0.009	0.0	0.005	0.007	0.004	0.011	0.0	0.002	0.004	0.0	0.008	0.0	0.009	0.011	0.008	0.015	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0889E281D	CADM1_CADM1	simple:Q9BY67	simple:Q9BY67	CADM1	CADM1	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	0.373	0.233	0.259	0.259	0.246	0.233	0.093	0.119	0.119	0.106	0.259	0.119	0.146	0.146	0.133	0.259	0.119	0.146	0.145	0.133	0.246	0.106	0.133	0.133	0.12
CPI-SS0322747C2	CEACAM5_CEACAM6	simple:P06731	simple:P40199	CEACAM5	CEACAM6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.001	0.0	0.038	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.049	0.011	0.028	0.001	0.0	0.038	0.001	0.017	0.0	0.0	0.0	0.0	0.0
CPI-SS001BF66E8	CEACAM6_CEACAM6	simple:P40199	simple:P40199	CEACAM6	CEACAM6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.001	0.0	0.038	0.001	0.017	0.0	0.0	0.0	0.0	0.0	0.038	0.0	0.075	0.038	0.054	0.001	0.0	0.038	0.001	0.017	0.017	0.0	0.054	0.017	0.033
CPI-SS06F83AE58	CD44_SELE	simple:P16070	simple:P16581	CD44	SELE	False	True	False	curated	False	Ligand-Receptor		0.01	0.012	0.0	0.012	0.0	0.073	0.075	0.0	0.075	0.0	0.012	0.013	0.0	0.013	0.0	0.102	0.103	0.0	0.103	0.0	0.204	0.205	0.0	0.205	0.0
CPI-SS01A7DC3C1	CLSTN2_NRXN3	simple:Q9H4D0	simple:Q9HDB5	CLSTN2	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.063	0.045	0.068	0.161	0.136	0.034	0.017	0.039	0.133	0.108	0.043	0.025	0.048	0.141	0.116	0.039	0.021	0.044	0.137	0.112	0.039	0.022	0.044	0.138	0.113
CPI-SS0C0329180	LRRTM2_NRXN3	simple:O43300	simple:Q9HDB5	LRRTM2	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.034	0.017	0.039	0.133	0.108	0.035	0.018	0.04	0.134	0.108	0.0	0.0	0.0	0.0	0.0	0.035	0.017	0.04	0.133	0.108	0.0	0.0	0.0	0.0	0.0
CPI-SS026EC3854	LRRTM3_NRXN3	simple:Q86VH5	simple:Q9HDB5	LRRTM3	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.118	0.101	0.123	0.217	0.192	0.04	0.023	0.045	0.139	0.114	0.038	0.021	0.043	0.137	0.112	0.047	0.03	0.052	0.146	0.121	0.043	0.026	0.048	0.142	0.117
CPI-SS0F97A06CD	LRRTM4_NRXN3	simple:Q86VH4	simple:Q9HDB5	LRRTM4	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.067	0.05	0.072	0.166	0.141	0.061	0.044	0.066	0.16	0.135	0.059	0.041	0.064	0.158	0.132	0.197	0.18	0.202	0.296	0.271	0.044	0.027	0.049	0.143	0.118
CPI-SS0731F750C	NLGN1_NRXN3	simple:Q8N2Q7	simple:Q9HDB5	NLGN1	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Neuroligin	0.164	0.146	0.169	0.262	0.237	0.039	0.021	0.044	0.137	0.112	0.046	0.029	0.051	0.145	0.12	0.049	0.032	0.054	0.148	0.122	0.063	0.045	0.068	0.161	0.136
