,interaction_group,celltype_group,scaled_means,pvals,x_means,y_means,x_stroke,neglog10p,significant,is_integrin,directionality,classification
CPI-SS0A932EB77---SLIT2-ROBO1---EC-EC,SLIT2-ROBO1,EC-EC,0.8764044943820224,0.001,,0.8764044943820224,1.0,3.0,yes,False,Ligand-Receptor,Signaling by SLIT and NTRK-like protein
CPI-SS04C672963---ESAM-ESAM---EC-EC,ESAM-ESAM,EC-EC,1.0,0.001,,1.0,1.0,3.0,yes,False,Adhesion-Adhesion,
CPI-SS00C24ED50---CDH5-CDH5---EC-EC,CDH5-CDH5,EC-EC,1.0,0.001,,1.0,1.0,3.0,yes,False,Adhesion-Adhesion,Adhesion by Cadherin
CPI-SS0A28DCA72---CXCL12-CXCR4---EC-EC,CXCL12-CXCR4,EC-EC,0.8586251621271075,0.001,,0.8586251621271075,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS0EC8C81E0---VEGFC-KDR---EC-EC,VEGFC-KDR,EC-EC,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0D5E30C6C---NRG3-ERBB4---EC-EP,NRG3-ERBB4,EC-EP,0.772,0.001,,0.772,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Neuregulin
CPI-SS0889E281D---CADM1-CADM1---EC-EP,CADM1-CADM1,EC-EP,0.5,0.001,,0.5,1.0,3.0,yes,False,Adhesion-Adhesion,Adhesion by CADM
CPI-SS0BD5C2A23---NRG1-ERBB4---EC-EP,NRG1-ERBB4,EC-EP,0.8752711496746204,0.001,,0.8752711496746204,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Neuregulin
CPI-SS087E0E3FB---EFNB2-EPHA4---EC-EP,EFNB2-EPHA4,EC-EP,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0ECC9DF3E---EFNB2-EPHB2---EC-EP,EFNB2-EPHB2,EC-EP,0.9620991253644314,0.001,,0.9620991253644314,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0B1B18F2D---CXCL12-DPP4---EC-EP,CXCL12-DPP4,EC-EP,0.6342281879194631,0.001,,0.6342281879194631,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS0FC01B947---EFNA5-EPHA4---EC-EP,EFNA5-EPHA4,EC-EP,0.30975143403441685,0.001,,0.30975143403441685,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0C93E48D7---THBS1-CD36---EC-PV,THBS1-CD36,EC-PV,0.4559585492227979,0.001,,0.4559585492227979,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Thrombospondin precursor
CPI-SS0D0235DCE---SLIT2-ROBO2---EC-PV,SLIT2-ROBO2,EC-PV,0.9312499999999999,0.001,,0.9312499999999999,1.0,3.0,yes,False,Ligand-Receptor,Signaling by SLIT and NTRK-like protein
CPI-SS087E0E3FB---EFNB2-EPHA4---EC-PV,EFNB2-EPHA4,EC-PV,0.9564586357039186,0.001,,0.9564586357039186,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0ECC9DF3E---EFNB2-EPHB2---EC-PV,EFNB2-EPHB2,EC-PV,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0F9118AB4---NLGN4X-NRXN3---EC-PV,NLGN4X-NRXN3,EC-PV,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Neuroligin
CPI-SS0FA378947---NLGN4X-NRXN1---EC-PV,NLGN4X-NRXN1,EC-PV,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Neuroligin
CPI-SS0FC01B947---EFNA5-EPHA4---EC-PV,EFNA5-EPHA4,EC-PV,0.2523900573613767,0.001,,0.2523900573613767,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0C70ADA28---EFNA5-EPHA3---EC-PV,EFNA5-EPHA3,EC-PV,0.36219081272084813,0.001,,0.36219081272084813,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS068ACD209---EFNA5-EPHB2---EC-PV,EFNA5-EPHB2,EC-PV,0.30710172744721687,0.001,,0.30710172744721687,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0C93E48D7---THBS1-CD36---EC-SM,THBS1-CD36,EC-SM,0.7616580310880828,0.001,,0.7616580310880828,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Thrombospondin precursor
CPI-SS04C672963---ESAM-ESAM---EC-SM,ESAM-ESAM,EC-SM,0.5365665896843725,0.001,,0.5365665896843725,1.0,3.0,yes,False,Adhesion-Adhesion,
CPI-SS0ECC9DF3E---EFNB2-EPHB2---EC-SM,EFNB2-EPHB2,EC-SM,0.9927113702623906,0.001,,0.9927113702623906,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0F9118AB4---NLGN4X-NRXN3---EC-SM,NLGN4X-NRXN3,EC-SM,0.9235474006116208,0.001,,0.9235474006116208,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Neuroligin
CPI-SS068ACD209---EFNA5-EPHB2---EC-SM,EFNA5-EPHB2,EC-SM,0.29558541266794625,0.004,,0.29558541266794625,1.0,2.3979400086720375,yes,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0A932EB77---SLIT2-ROBO1---EP-EC,SLIT2-ROBO1,EP-EC,0.7865168539325844,0.028,,0.7865168539325844,1.0,1.5528419686577808,yes,False,Ligand-Receptor,Signaling by SLIT and NTRK-like protein
CPI-SS0889E281D---CADM1-CADM1---EP-EC,CADM1-CADM1,EP-EC,0.5,0.001,,0.5,1.0,3.0,yes,False,Adhesion-Adhesion,Adhesion by CADM
