	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
3872	AC159540.2	0.030359525	0.015035614	-1.0089462	15.213503	1
6925	S100P	0.00041181338	0.0020168326	2.0482175	5.0593433	1
9153	EGR1	0.07501384	0.15394883	1.036237	44.55244	1
10003	HIST1H3D	0.019130211	0.008815698	-1.1089549	13.076078	1
15200	AL359878.1	0.008665017	0.0040332326	-1.0844864	5.502362	1
17639	AP003059.1	0.0073388424	0.003437893	-1.0721877	5.0333257	1
18487	AC092828.1	0.012914542	0.0059876996	-1.0961555	7.0403943	1
18850	KRT7	7.728901e-05	0.0017624511	3.3930275	6.4163413	1
21756	PHGR1	0.00010642097	0.004221052	4.387721	14.32711	1
22136	PIF1	0.021191074	0.0097787045	-1.107855	9.047122	1
22178	AC110048.2	0.009813901	0.004311808	-1.1680828	5.3692255	1
22886	IL32	0.0026775242	0.006873957	1.3281779	8.103566	1
27412	FXYD3	0.0003941005	0.0030008818	2.649802	8.829289	1
29078	MIR1-1HG	0.065915294	0.03151363	-1.0622535	22.30094	1
30982	AC002377.1	0.011209414	0.005284016	-1.0707697	5.537655	1
