	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	1.4551915e-09	1.3897079e-09	-9.459049e-07	0.8760356	0
1	AL627309.1	0.001843051	0.0032245945	0.7748546	0.69201577	0
2	AL627309.3	1.4551915e-09	1.3897079e-09	-9.459049e-07	0.8760356	0
3	AL627309.5	0.0065630926	0.0055941087	-0.22672193	0.21978645	0
4	AL627309.4	1.4551915e-09	1.3897079e-09	-9.459049e-07	0.8760356	0
5	AP006222.2	1.4551915e-09	1.3897079e-09	-9.459049e-07	0.8760356	0
6	AL669831.2	1.4551915e-09	1.3897079e-09	-9.459049e-07	0.8760356	0
7	LINC01409	0.032744586	0.039284803	0.2619834	0.8115759	0
8	FAM87B	1.4551915e-09	1.3897079e-09	-9.459049e-07	0.8760356	0
9	LINC01128	0.060246628	0.05198845	-0.21230963	0.9396713	0
10	LINC00115	0.0020360223	0.0029498118	0.5137935	0.34145936	0
11	FAM41C	0.0012826078	0.0033178204	1.3056847	1.1795356	0
12	AL645608.6	0.00317941	0.0033593478	0.07706376	0.05515196	0
13	AL645608.2	0.00036532586	0.0006443502	0.6777402	0.21054648	0
14	AL645608.4	1.4551915e-09	1.3897079e-09	-9.459049e-07	0.8760356	0
15	LINC02593	0.0019370822	0.002707343	0.46270132	0.33560592	0
16	SAMD11	0.009857552	0.022771178	1.1996677	4.886463	0
17	NOC2L	0.11559838	0.09835548	-0.23282523	1.8398056	0
18	KLHL17	0.010483394	0.015197473	0.531491	1.2849818	0
19	PLEKHN1	0.001026929	0.0011552991	0.15563463	0.06815587	0
20	PERM1	1.4551915e-09	1.3897079e-09	-9.459049e-07	0.8760356	0
21	AL645608.7	0.007062568	0.0051988526	-0.43479693	0.5262322	0
22	HES4	0.25308925	0.20928878	-0.274032	4.7549887	0
23	ISG15	0.12643886	0.12594762	-0.005611514	0.023239909	0
24	AL645608.1	1.4551915e-09	1.3897079e-09	-9.459049e-07	0.8760356	0
25	AGRN	0.079148255	0.061533704	-0.3626596	2.5255198	0
26	RNF223	1.4551915e-09	1.3897079e-09	-9.459049e-07	0.8760356	0
27	C1orf159	0.0578742	0.062189814	0.10358524	0.35199502	0
28	AL390719.3	0.0035477222	0.0052545695	0.5537746	0.5287903	0
29	LINC01342	1.4551915e-09	1.3897079e-09	-9.459049e-07	0.8760356	0
30	AL390719.2	1.4551915e-09	1.3897079e-09	-9.459049e-07	0.8760356	0
31	TTLL10	0.00023830697	0.0007120047	1.2631552	0.48797685	0
32	TNFRSF18	0.0010297368	0.0011432318	0.13810849	0.060486693	0
33	TNFRSF4	0.029262513	0.04099856	0.48511243	2.064287	0
34	SDF4	0.3367941	0.3371362	0.001464205	0.010730329	0
35	B3GALT6	0.09822796	0.09783018	-0.0058482406	0.02137283	0
36	C1QTNF12	0.0025716303	0.002183374	-0.22655319	0.16232714	0
37	AL162741.1	0.00044086657	1.3897079e-09	-2.4352527	0.78620654	0
38	UBE2J2	0.13860588	0.1487598	0.10192519	0.71209365	0
39	LINC01786	0.001418913	0.0013018908	-0.115665205	0.04800775	0
40	SCNN1D	0.001069321	0.0037394725	1.7152373	1.179323	0
41	ACAP3	0.04815219	0.05943532	0.3031514	1.4943385	0
42	PUSL1	0.0378904	0.040146314	0.08322171	0.21959794	0
43	INTS11	0.10056435	0.09592889	-0.06801248	0.31374365	0
44	AL139287.1	1.4551915e-09	1.3897079e-09	-9.459049e-07	0.8760356	0
45	CPTP	0.03267469	0.042739864	0.38637185	1.8201768	0
46	TAS1R3	0.00019474479	0.00070981856	1.4581324	0.58515537	0
47	DVL1	0.017766159	0.019516284	0.1348222	0.2435765	0
48	MXRA8	0.023806268	0.028151305	0.24092859	0.63631266	0
49	AURKAIP1	0.3336189	0.3404876	0.029392553	0.2711564	0
50	CCNL2	0.2450715	0.25186506	0.03943233	0.2942657	0
51	MRPL20-AS1	0.01624976	0.020555586	0.33726257	0.80788213	0
52	MRPL20	0.3834794	0.40714964	0.0863883	1.3163979	0
53	AL391244.2	0.00074989145	0.001425225	0.8436716	0.4161054	0
54	ANKRD65	0.00057698216	0.0012323547	0.9767884	0.49807283	0
55	TMEM88B	1.4551915e-09	1.3897079e-09	-9.459049e-07	0.8760356	0
56	LINC01770	0.00060881634	0.0004917295	-0.26047412	0.0878189	0
57	VWA1	0.19522852	0.22345673	0.19473837	2.1931005	0
58	ATAD3C	0.0043477383	0.006458742	0.5603473	0.6554647	0
59	ATAD3B	0.034067437	0.03568737	0.06682844	0.15553005	0
60	ATAD3A	0.048532877	0.0491502	0.018197633	0.046414725	0
61	TMEM240	0.008680352	0.007396733	-0.22801675	0.25674677	0
62	SSU72	0.27658734	0.2723685	-0.022167217	0.16486996	0
63	AL645728.1	0.009926529	0.010963002	0.1419208	0.18791115	0
64	FNDC10	0.017441105	0.022009952	0.33395624	0.85926414	0
65	AL691432.4	1.4551915e-09	0.0010943183	3.5780945	1.3220861	0
66	AL691432.2	0.010405056	0.011684833	0.16584745	0.22917764	0
67	MIB2	0.0378771	0.036392618	-0.05752514	0.14350359	0
68	MMP23B	0.00406173	0.003337757	-0.27571577	0.24193276	0
69	CDK11B	0.151263	0.16944204	0.16363049	1.4765375	0
70	FO704657.1	0.0011312002	0.00069210085	-0.6363093	0.31727272	0
71	SLC35E2B	0.05817097	0.06474459	0.15420885	0.6401908	0
72	CDK11A	0.1254628	0.13666655	0.123306334	0.80529857	0
73	SLC35E2A	0.032804452	0.031652544	-0.0514106	0.11556624	0
74	NADK	0.074693054	0.06688591	-0.15904665	0.77603036	0
75	GNB1	0.86000526	0.8534258	-0.011078468	0.18270406	0
76	AL109917.1	0.0006317894	0.00076967105	0.24904138	0.091715306	0
77	CALML6	1.4551915e-09	0.00041952147	2.3771625	0.49834082	0
78	TMEM52	0.00017219898	0.000322454	0.63413256	0.16681638	0
79	CFAP74	0.0067940424	0.011587877	0.7615908	1.3773417	0
80	AL391845.2	0.004548213	0.0052873	0.21288624	0.17567103	0
81	GABRD	0.009740485	0.015295912	0.64574605	1.5805671	0
82	AL391845.1	1.4551915e-09	1.3897079e-09	-9.459049e-07	0.8760356	0
83	PRKCZ	0.009186899	0.0071972786	-0.34783852	0.5090546	0
84	AL590822.2	1.4551915e-09	0.0001533195	1.3409373	0.4983038	0
85	PRKCZ-AS1	0.00014248578	0.0005706953	1.4677576	0.6148737	0
86	FAAP20	0.24687372	0.26409024	0.097219594	1.0591995	0
87	AL590822.1	0.0004690591	0.001019532	0.9762453	0.45575762	0
88	SKI	0.15094553	0.14762917	-0.03202876	0.16111161	0
89	AL590822.3	0.00082437176	0.0010966922	0.37250695	0.15550461	0
90	MORN1	0.01242573	0.013351521	0.10287469	0.14409079	0
91	AL589739.1	1.4551915e-09	1.3897079e-09	-9.459049e-07	0.8760356	0
92	AL513477.2	0.0002233703	1.3897079e-09	-1.6931672	0.49838454	0
93	RER1	0.21269637	0.2168125	0.027639613	0.18179871	0
94	PEX10	0.028741373	0.03193291	0.151415	0.3940973	0
95	PLCH2	1.4551915e-09	0.00018592962	1.5156391	0.49834043	0
96	AL139246.1	1.4551915e-09	1.3897079e-09	-9.459049e-07	0.8760356	0
97	AL139246.4	0.00013699746	0.00028372087	0.6951856	0.19282345	0
98	PANK4	0.015039959	0.015760882	0.06711165	0.10357163	0
99	HES5	0.011745779	0.00471819	-1.2978098	2.6819038	0
100	AL139246.5	0.013374528	0.013671134	0.031412635	0.04238823	0
101	TNFRSF14-AS1	0.001598129	0.0004931265	-1.5175343	1.0647397	0
102	TNFRSF14	0.009989165	0.016340883	0.70448107	1.9618176	0
103	AL139246.3	7.4184114e-05	0.0008507292	2.4484215	1.0874554	0
104	PRXL2B	0.074745975	0.08265927	0.14499612	0.72256666	0
105	MMEL1	0.00092126866	0.00025999785	-1.5043021	0.6671979	0
106	AL831784.1	1.4551915e-09	1.3897079e-09	-9.459049e-07	0.8760356	0
107	TTC34	0.0011908484	0.0019972697	0.70019287	0.43595025	0
108	AC242022.2	1.4551915e-09	1.3897079e-09	-9.459049e-07	0.8760356	0
109	AL589702.1	1.4551915e-09	1.3897079e-09	-9.459049e-07	0.8760356	0
110	PRDM16-DT	0.0067670126	0.005432373	-0.31178427	0.3602488	0
111	PRDM16	0.14238349	0.11397362	-0.3208295	2.7958145	0
112	AL008733.1	1.4551915e-09	1.3897079e-09	-9.459049e-07	0.8760356	0
113	AL590438.1	0.00043277687	1.3897079e-09	-2.4135115	0.8017827	0
114	AL354743.2	0.000329225	0.00039378734	0.20215566	0.06424014	0
115	AL354743.1	0.00012461297	1.3897079e-09	-1.1674211	0.49836728	0
116	ARHGEF16	0.012145502	0.013210437	0.120306075	0.17700844	0
117	AL512413.1	0.00018488045	1.3897079e-09	-1.5103366	0.49841958	0
118	MEGF6	0.015605187	0.02499814	0.6763393	2.426389	0
119	AL513320.1	0.0008122624	0.0006469697	-0.28839907	0.08448687	0
120	TPRG1L	0.10041188	0.11034711	0.13598964	0.8446416	0
121	WRAP73	0.051469095	0.04500725	-0.19314736	0.74304414	0
122	TP73	1.4551915e-09	1.3897079e-09	-9.459049e-07	0.8760356	0
123	AL136528.1	1.4551915e-09	1.3897079e-09	-9.459049e-07	0.8760356	0
124	CCDC27	1.4551915e-09	1.3897079e-09	-9.459049e-07	0.8760356	0
125	SMIM1	0.0011583883	0.0022876821	0.92403364	0.82062984	0
126	LRRC47	0.07307463	0.066250704	-0.14123175	0.651459	0
127	AL365330.1	1.4551915e-09	0.0003384263	2.1323133	0.49835154	0
128	CEP104	0.12946297	0.121373765	-0.09300869	0.5424564	0
129	DFFB	0.021445848	0.016833313	-0.34754556	0.89258873	0
130	C1orf174	0.04821895	0.04511283	-0.09585685	0.29384404	0
131	LINC01134	0.0027100553	0.004008678	0.54807556	0.4319796	0
132	AL805961.1	1.4551915e-09	0.00023628623	1.7496687	0.49835154	0
133	LINC01646	0.00021060149	0.0007193132	1.3993503	0.55587053	0
134	AJAP1	0.24055792	0.24142243	0.005173239	0.027763732	0
135	Z98886.1	1.4551915e-09	0.0003151683	2.0536754	0.79268605	0
136	AL365255.1	1.4551915e-09	1.3897079e-09	-9.459049e-07	0.8760356	0
137	NPHP4	0.023699867	0.017140336	-0.46516553	1.4344034	0
138	KCNAB2	0.012125985	0.014770501	0.28250265	0.50648504	0
139	CHD5	0.00047080935	0.0006592933	0.4116483	0.15912129	0
140	RPL22	1.2290623	1.2418561	0.01493871	0.38320124	0
141	AL031847.1	0.00023997776	1.3897079e-09	-1.7654203	0.4983992	0
142	RNF207	0.008465966	0.021718223	1.3488456	5.83306	1
