	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
1	AL627309.1	0.001843051	0.008999012	2.2273862	6.463308	1
48	MXRA8	0.023806268	0.0070291394	-1.7455891	10.262361	1
68	MMP23B	0.00406173	0.014521874	1.8128729	6.161937	1
79	CFAP74	0.0067940424	0.018656872	1.4439973	5.869882	1
99	HES5	0.011745779	0.0011261764	-3.2721345	7.030154	1
110	PRDM16-DT	0.0067670126	0.0007058701	-3.0910635	6.0154696	1
111	PRDM16	0.14238349	0.010668479	-3.7259085	44.55244	1
118	MEGF6	0.015605187	0.0036505507	-2.0660667	7.1541123	1
134	AJAP1	0.24055792	0.011376002	-4.3902917	44.55244	1
177	AL034417.3	0.0018720432	0.01118385	2.5164962	8.111942	1
208	RBP7	0.26474214	0.016060755	-4.034566	44.55244	1
248	NPPA	0.0014700608	0.05182241	5.0474653	25.4315	1
249	NPPB	0.00029986067	0.027066637	6.0861945	18.876562	1
257	TNFRSF1B	0.10375181	0.041474983	-1.3207388	28.21673	1
259	DHRS3	0.13659672	0.004548768	-4.8779864	44.55244	1
301	HSPB7	0.0046618613	0.0421104	3.1480012	20.979353	1
376	CAMK2N1	0.030272245	0.010782327	-1.4807665	7.887633	1
379	CDA	0.059838112	0.023271468	-1.3587253	17.724556	1
406	WNT4	0.04791852	0.0016385755	-4.7876134	42.548122	1
440	FUCA1	0.07458717	0.03635617	-1.0346974	14.555304	1
453	RCAN3	0.03172104	0.07246636	1.1893198	18.034685	1
532	IFI6	0.042332187	0.086103275	1.0225835	17.035736	1
588	FABP3	0.004154221	0.017682461	2.063488	7.6327214	1
592	TINAGL1	0.022279153	0.0006322066	-4.9337606	21.904408	1
597	COL16A1	0.008619534	0.002131105	-1.9664927	5.439957	1
600	SPOCD1	0.01891685	0.006952145	-1.4311442	6.7946143	1
635	FNDC5	0.013445452	0.00076475926	-3.9693663	11.144667	1
652	CSMD2	0.06384303	0.02226076	-1.5158178	17.72715	1
660	GJA4	0.7437621	0.091641255	-3.0193925	44.55244	1
661	DLGAP3	0.0063360254	0.00011065082	-4.9332447	8.093574	1
675	CLSPN	0.049513005	0.10892896	1.1359212	15.319089	1
689	SH3D21	0.010097407	0.048884124	2.264112	27.986666	1
710	MANEAL	0.024917137	0.0027769867	-3.1202862	20.516134	1
738	BMP8A	0.0076704854	0.031080144	2.004551	11.634433	1
741	HEYL	0.037482683	0.014297664	-1.3842334	10.551141	1
812	SLC2A1	0.0395673	0.19958873	2.3317308	44.55244	1
823	CDC20	0.008847274	0.028884804	1.6957767	7.0734	1
831	PTPRF	0.032653637	0.08477689	1.3737167	24.108065	1
850	RNF220	0.40676394	0.11642093	-1.8039571	44.55244	1
943	TTC39A	0.0076208008	0.021831214	1.5061634	8.122491	1
971	ECHDC2	0.034288365	0.0127633065	-1.4186591	11.580273	1
983	LRP8	0.026908446	0.07191609	1.4149086	19.82171	1
1013	DHCR24	0.04949002	0.10828926	1.1281	23.170977	1
1023	AL603840.1	0.01228489	0.17940998	3.8574111	44.55244	1
1030	PRKAA2	0.003936509	0.01744379	2.1197803	6.52279	1
1060	NFIA-AS2	0.026226047	0.0066998606	-1.9529139	11.722605	1
1068	KANK4	0.030840011	0.0032073236	-3.2257376	17.989101	1
1083	PGM1	0.02386262	0.10363833	2.1140914	44.55244	1
1084	ROR1	0.51252675	0.12106111	-2.0809822	44.55244	1
1085	ROR1-AS1	0.013912446	0.0009573185	-3.728227	10.037693	1
1093	AK4	0.02282743	0.28318006	3.6270823	44.55244	1
1094	DNAJC6	0.0075254715	0.017827515	1.2332771	5.052248	1
1120	DEPDC1	0.00850394	0.023418393	1.4507202	5.3565254	1
1141	PTGER3	0.026438335	0.009159244	-1.5191115	7.306517	1
1147	NEGR1	0.04075553	0.0056062113	-2.8399265	15.348738	1
1165	CRYZ	0.0068335203	0.033808775	2.2899988	23.28191	1
1166	TYW3	0.030364366	0.12033688	1.9830827	44.55244	1
1171	SLC44A5	0.25355086	0.08750115	-1.5338222	44.55244	1
1181	ST6GALNAC5	0.05218572	0.022300113	-1.2229111	8.57614	1
1213	LINC01362	0.0022065383	0.010395127	2.1859186	5.405536	1
1271	GBP3	0.022148877	0.057068758	1.3614944	15.632458	1
1273	GBP2	0.021042379	0.050146833	1.248895	12.802468	1
1276	GBP4	0.045509264	0.13954295	1.614344	31.686619	1
1278	GBP5	0.0027174654	0.011531941	2.045622	6.7678437	1
1303	EPHX4	0.093454145	0.045260977	-1.0443498	18.855288	1
1332	F3	0.030064184	0.007201101	-2.0466506	13.32228	1
1355	MIR137HG	0.021381041	0.00267955	-2.9501407	13.751298	1
1363	LINC01708	0.031495236	0.007475633	-2.0602689	14.355045	1
1408	NTNG1	0.1761715	0.021207074	-3.048395	44.55244	1
1418	FNDC7	0.0013857936	0.007995998	2.4459753	5.077563	1
1430	KIAA1324	0.0056433766	0.025218189	2.1402032	13.267338	1
1433	PSRC1	0.002546044	0.009759799	1.897721	5.1795273	1
1456	CSF1	0.019781144	0.0061050504	-1.6798861	8.74306	1
1538	DENND2C	0.06895919	0.03184958	-1.1120363	13.314615	1
1539	AMPD1	0.00030279133	0.009174139	4.525109	9.077024	1
1544	TSPAN2	0.10876067	0.018398082	-2.5570352	44.55244	1
1548	NGF	0.025495708	0.0051641706	-2.2816238	11.663644	1
1581	TBX15	0.15148208	0.009988905	-3.9092577	44.55244	1
1590	LINC00622	0.00942642	0.00084504945	-3.3334723	9.573625	1
1591	ZNF697	0.061727673	0.02699386	-1.1902869	13.542343	1
1592	PHGDH	0.21035728	0.033843115	-2.6323366	44.55244	1
1646	TXNIP	0.10366646	0.5103116	2.298321	44.55244	1
1664	GJA5	0.48643568	0.03961626	-3.614744	44.55244	1
1666	AC241644.2	0.0048012626	0.00012102223	-4.47089	5.077677	1
1686	NBPF9	0.032197166	0.01581075	-1.0214058	6.568694	1
1687	AC245297.3	0.03889975	0.015098433	-1.3595424	11.665522	1
1702	HIST2H2AC	0.032554094	0.06789141	1.0580885	10.918947	1
1707	MTMR11	0.006914005	0.017134411	1.2969816	5.9658623	1
1723	ECM1	0.01914235	0.16290383	3.0825489	44.55244	1
1732	CTSS	0.033476833	0.0077598393	-2.0948946	14.781286	1
1746	MLLT11	0.311455	0.672565	1.1104013	44.55244	1
1788	S100A10	0.73336816	2.0268042	1.4664716	44.55244	1
1807	S100A4	0.016379626	0.25249034	3.938044	44.55244	1
1808	S100A3	0.027817288	0.12833543	2.2018125	44.55244	1
1836	NUP210L	0.009294308	0.025577255	1.4506322	6.008527	1
1845	IL6R	0.0135309445	0.048588652	1.8367001	20.915854	1
1856	KCNN3	0.15477547	0.5116527	1.7243382	44.55244	1
1915	LMNA	0.4382977	0.99267906	1.1792326	44.55244	1
1916	SEMA4A	0.0025115826	0.03155739	3.599546	17.914864	1
1937	BCAN	0.012278421	0.0034821846	-1.7889158	6.434264	1
1943	CRABP2	0.06824306	0.03147741	-1.1139019	10.949294	1
1951	SH2D2A	0.0008164049	0.0058407295	2.696583	5.7788644	1
1967	LINC01704	0.0075762216	0.01843061	1.271442	5.575145	1
1977	SPTA1	0.009646075	0.0020532194	-2.178326	5.458312	1
2050	FCER1G	0.004719655	0.018769475	1.9690526	5.7606153	1
2051	APOA2	1.4551915e-09	0.02600851	8.028356	16.662956	1
2070	OLFML2B	0.017736591	0.0008749668	-4.193343	14.384901	1
2071	NOS1AP	0.051478785	0.023462538	-1.130283	10.565033	1
2080	DDR2	0.060671378	0.029383069	-1.0435053	10.2275505	1
2105	FAM78B	0.057486635	0.020419886	-1.4887114	17.155827	1
2112	ILDR2	0.035219226	0.009193286	-1.926193	13.005635	1
2142	ATP1B1	0.15432829	0.36859587	1.2554941	44.55244	1
2163	PRRX1	0.046294928	0.0065479353	-2.802989	21.654835	1
