	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
48	MXRA8	0.023806268	0.007154544	-1.7204322	9.361137	1
68	MMP23B	0.00406173	0.020373598	2.2985094	10.439422	1
99	HES5	0.011745779	0.0013670272	-3.0134056	6.5091805	1
110	PRDM16-DT	0.0067670126	0.0008134528	-2.9102805	5.599861	1
111	PRDM16	0.14238349	0.0060578003	-4.532236	44.55244	1
118	MEGF6	0.015605187	0.004116418	-1.8971515	6.5425053	1
134	AJAP1	0.24055792	0.0068646236	-5.110795	44.55244	1
194	SPSB1	0.050842915	0.0221311	-1.1963023	10.561241	1
202	CTNNBIP1	0.21547034	0.097947404	-1.1366073	44.55244	1
208	RBP7	0.26474214	0.010017499	-4.710208	44.55244	1
248	NPPA	0.0014700608	0.19687165	6.971024	44.55244	1
249	NPPB	0.00029986067	0.0999776	7.967406	44.55244	1
257	TNFRSF1B	0.10375181	0.03777929	-1.4550451	30.489172	1
259	DHRS3	0.13659672	0.0035410107	-5.230496	44.55244	1
301	HSPB7	0.0046618613	0.099464744	4.386038	44.55244	1
323	BX284668.5	0.026804032	0.0125152515	-1.0926534	6.132159	1
328	ATP13A2	0.14312486	0.054153066	-1.4005054	40.843426	1
376	CAMK2N1	0.030272245	0.008443948	-1.8297789	10.618447	1
379	CDA	0.059838112	0.014106558	-2.0769167	29.079927	1
380	PINK1	0.11311944	0.050330985	-1.1667393	25.251549	1
381	PINK1-AS	0.024541836	0.011924126	-1.0351777	5.0575895	1
406	WNT4	0.04791852	0.0002728346	-7.0089116	44.55244	1
426	TCEA3	0.0038294487	0.013371552	1.7775172	5.1187725	1
440	FUCA1	0.07458717	0.024035996	-1.6296741	27.940409	1
453	RCAN3	0.03172104	0.06613623	1.0576396	12.109829	1
471	LDLRAP1	0.032211754	0.015396753	-1.0600932	6.564822	1
486	TRIM63	1.4551915e-09	0.0066267517	6.0718174	5.7318287	1
488	FAM110D	0.05147098	0.021173647	-1.2774922	13.997017	1
567	EPB41	0.19543137	0.09389046	-1.0568138	33.687843	1
588	FABP3	0.004154221	0.038444042	3.179541	19.132006	1
592	TINAGL1	0.022279153	0.0026441838	-3.0277064	16.229692	1
600	SPOCD1	0.01891685	0.0035643806	-2.375637	11.605313	1
635	FNDC5	0.013445452	0.001906929	-2.7547472	8.647309	1
642	AZIN2	0.019030796	0.006542913	-1.526009	6.5679054	1
652	CSMD2	0.06384303	0.016795311	-1.9201642	23.544258	1
660	GJA4	0.7437621	0.05403901	-3.7802947	44.55244	1
661	DLGAP3	0.0063360254	0.00039925723	-3.6883147	7.0557237	1
675	CLSPN	0.049513005	0.113180146	1.1911048	18.195263	1
689	SH3D21	0.010097407	0.04737434	2.2189457	18.045273	1
708	CDCA8	0.017255606	0.04428493	1.3546681	9.14718	1
710	MANEAL	0.024917137	0.001725478	-3.7765706	22.435417	1
738	BMP8A	0.0076704854	0.021350106	1.4649081	5.718814	1
741	HEYL	0.037482683	0.013139566	-1.5052123	11.461856	1
799	CCDC30	0.032737844	0.013712503	-1.2493848	7.20239	1
812	SLC2A1	0.0395673	0.15553991	1.97219	44.55244	1
820	TIE1	0.67051846	0.294902	-1.1847676	44.55244	1
823	CDC20	0.008847274	0.030824808	1.7892445	9.39135	1
850	RNF220	0.40676394	0.08894782	-2.191894	44.55244	1
896	MOB3C	0.031576764	0.009641341	-1.7012328	12.817364	1
900	EFCAB14	0.712289	0.2719755	-1.3886583	44.55244	1
966	GPX7	0.11025042	0.045078766	-1.2883754	29.72084	1
971	ECHDC2	0.034288365	0.011214092	-1.6037997	12.358616	1
983	LRP8	0.026908446	0.06282372	1.2201934	13.021321	1
1023	AL603840.1	0.01228489	0.18716803	3.9184518	44.55244	1
1030	PRKAA2	0.003936509	0.015207846	1.9230912	5.9128976	1
1047	LINC01358	0.019550184	0.007025688	-1.4634416	6.1941695	1
1060	NFIA-AS2	0.026226047	0.0060778135	-2.0913227	12.725755	1
1068	KANK4	0.030840011	0.006509867	-2.2267807	11.748152	1
