	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	1.3897079e-09	1.4479156e-09	8.59913e-07	0.7401819	0
1	AL627309.1	0.0032245945	0.005565798	0.7691006	0.9097638	0
2	AL627309.3	1.3897079e-09	1.4479156e-09	8.59913e-07	0.7401819	0
3	AL627309.5	0.0055941087	0.010373683	0.87922686	1.5754448	0
4	AL627309.4	1.3897079e-09	1.4479156e-09	8.59913e-07	0.7401819	0
5	AP006222.2	1.3897079e-09	1.4479156e-09	8.59913e-07	0.7401819	0
6	AL669831.2	1.3897079e-09	1.4479156e-09	8.59913e-07	0.7401819	0
7	LINC01409	0.039284803	0.034790877	-0.17478916	0.43625003	0
8	FAM87B	1.3897079e-09	1.4479156e-09	8.59913e-07	0.7401819	0
9	LINC01128	0.05198845	0.051736362	-0.006999016	0.016901564	0
10	LINC00115	0.0029498118	0.0031800608	0.105002426	0.060816854	0
11	FAM41C	0.0033178204	0.003984063	0.2569285	0.17490046	0
12	AL645608.6	0.0033593478	0.002103553	-0.6506685	0.42566067	0
13	AL645608.2	0.0006443502	0.00015961201	-1.5196244	0.46955708	0
14	AL645608.4	1.3897079e-09	1.4479156e-09	8.59913e-07	0.7401819	0
15	LINC02593	0.002707343	0.00090192346	-1.486433	1.0488706	0
16	SAMD11	0.022771178	0.0033228192	-2.7402735	12.330228	1
17	NOC2L	0.09835548	0.09753018	-0.012144362	0.041990764	0
18	KLHL17	0.015197473	0.010886597	-0.47754872	0.96977293	0
19	PLEKHN1	0.0011552991	0.0019357436	0.6975247	0.4301843	0
20	PERM1	1.3897079e-09	1.4479156e-09	8.59913e-07	0.7401819	0
21	AL645608.7	0.0051988526	0.0038457874	-0.42536673	0.4182793	0
22	HES4	0.20928878	0.13726182	-0.608203	13.726837	0
23	ISG15	0.12594762	0.08401161	-0.58359206	8.289991	0
24	AL645608.1	1.3897079e-09	1.4479156e-09	8.59913e-07	0.7401819	0
25	AGRN	0.061533704	0.08062098	0.38922417	2.5495126	0
26	RNF223	1.3897079e-09	0.00028115066	1.9303414	0.49838212	0
27	C1orf159	0.062189814	0.040638138	-0.6126162	4.019043	0
28	AL390719.3	0.0052545695	0.0009100645	-2.4063232	2.834078	0
29	LINC01342	1.3897079e-09	0.00016361222	1.3983973	0.4983796	0
30	AL390719.2	1.3897079e-09	1.4479156e-09	8.59913e-07	0.7401819	0
31	TTLL10	0.0007120047	1.4479156e-09	-3.0214672	1.0515796	0
32	TNFRSF18	0.0011432318	0.00026205037	-1.779833	0.8934136	0
33	TNFRSF4	0.04099856	0.01921775	-1.0891609	6.3908978	1
34	SDF4	0.3371362	0.31723726	-0.08774253	1.0499396	0
35	B3GALT6	0.09783018	0.08310734	-0.23504269	1.5587226	0
36	C1QTNF12	0.002183374	0.0018360165	-0.238076	0.15120043	0
37	AL162741.1	1.3897079e-09	1.4479156e-09	8.59913e-07	0.7401819	0
38	UBE2J2	0.1487598	0.13421984	-0.14828174	1.1172826	0
39	LINC01786	0.0013018908	0.00094458106	-0.4244494	0.16632509	0
40	SCNN1D	0.0037394725	0.0011485106	-1.6207001	1.1150141	0
41	ACAP3	0.05943532	0.04785363	-0.31210577	1.4346709	0
42	PUSL1	0.040146314	0.04895833	0.28564152	1.1653486	0
43	INTS11	0.09592889	0.090757385	-0.0798648	0.35098243	0
44	AL139287.1	1.3897079e-09	1.4479156e-09	8.59913e-07	0.7401819	0
45	CPTP	0.042739864	0.041703552	-0.03532837	0.086060114	0
46	TAS1R3	0.00070981856	0.00039873115	-0.69933647	0.27028516	0
47	DVL1	0.019516284	0.01680149	-0.21490139	0.4126098	0
48	MXRA8	0.028151305	0.007154544	-1.9613608	10.602675	1
49	AURKAIP1	0.3404876	0.3442915	0.016023738	0.12667157	0
50	CCNL2	0.25186506	0.22289312	-0.17622443	2.1721652	0
51	MRPL20-AS1	0.020555586	0.015236948	-0.42952058	1.0635962	0
52	MRPL20	0.40714964	0.38301176	-0.08814815	1.2756602	0
53	AL391244.2	0.001425225	0.0017390044	0.26990286	0.13522603	0
54	ANKRD65	0.0012323547	0.0004083218	-1.3901641	0.7127677	0
55	TMEM88B	1.3897079e-09	1.4479156e-09	8.59913e-07	0.7401819	0
56	LINC01770	0.0004917295	0.00026408795	-0.7006507	0.21734977	0
57	VWA1	0.22345673	0.1547655	-0.5296251	10.594049	0
