	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
17	NOC2L	0.10777617	0.052129418	-1.0464417	5.1466355	1
25	AGRN	0.099603795	0.038180504	-1.3810385	5.3153243	1
36	C1QTNF12	0.024285931	0.0032102114	-2.8810537	6.5984273	1
51	MRPL20-AS1	0.02579224	0.0009945817	-4.5640683	12.4171295	1
57	VWA1	0.1269197	0.046012938	-1.4618088	8.524408	1
111	PRDM16	0.051936675	0.008005589	-2.68254	9.776338	1
118	MEGF6	0.022928737	0.0037441861	-2.5826852	5.5230207	1
138	KCNAB2	0.007976152	0.14308393	4.148058	11.349915	1
150	TNFRSF25	0.005851264	-1.382432e-10	-5.8951263	5.22745	1
200	PIK3CD-AS2	0.022123491	-1.382432e-10	-7.7959437	14.963927	1
216	CORT	0.00861261	-1.382432e-10	-6.445035	6.7154408	1
243	DRAXIN	0.0063211527	-1.382432e-10	-6.004762	5.5391397	1
257	TNFRSF1B	0.0035350209	0.20054854	5.7865634	15.463429	1
269	KAZN	0.71260864	0.32307452	-1.1409991	20.66223	1
279	EFHD2	0.09494517	0.2669115	1.4902165	8.799445	1
305	EPHA2	0.045261495	0.013952941	-1.6905962	5.4390535	1
363	HTR6	0.023604674	0.005206371	-2.159374	5.3213625	1
366	OTUD3	0.18450202	0.07816507	-1.2379779	8.996371	1
372	UBXN10	0.009086851	-1.382432e-10	-6.5215006	6.640778	1
389	ECE1	0.1530721	0.06417434	-1.2528387	7.7551937	1
398	HSPG2	0.16038524	0.060204886	-1.4120938	8.557684	1
410	C1QA	0.002785325	0.84352046	8.191716	24.254032	1
411	C1QC	0.0026960098	0.82199293	8.199788	24.013443	1
412	C1QB	0.001042823	0.929916	9.6685095	24.472717	1
430	ID3	0.79570174	0.3318829	-1.2613002	28.462383	1
440	FUCA1	0.05028261	0.62231034	3.6268682	20.500437	1
449	GRHL3	0.006006903	-1.382432e-10	-5.932371	6.58587	1
459	RUNX3	0.0041416655	0.16114657	5.2484937	11.215947	1
497	CD52	0.002323353	0.15361562	5.9871154	7.3511925	1
508	SFN	0.057101954	0.0009945817	-5.707613	27.272608	1
547	PTAFR	0.024660636	0.13181587	2.413498	8.382638	1
560	RAB42	0.0060302657	0.09230607	3.9139662	8.047133	1
572	PTPRU	0.030085599	0.003824392	-2.9433193	7.9390955	1
579	LAPTM5	0.004630491	0.46256387	6.6118307	22.34869	1
659	GJB3	0.0059482493	-1.382432e-10	-5.9184475	7.0084352	1
703	DNALI1	0.12262787	0.05351326	-1.1948011	5.659165	1
710	MANEAL	0.007188684	-1.382432e-10	-6.187588	5.414365	1
755	PPT1	0.08300754	0.21049371	1.3414112	7.9388604	1
761	SMAP2	0.08104967	0.23064877	1.5076658	8.835516	1
799	CCDC30	0.16157761	0.075512275	-1.0964276	6.6359863	1
812	SLC2A1	0.19551662	0.024487073	-2.992057	44.55244	1
817	CFAP57	0.01692722	0.0007755809	-4.281459	7.3222437	1
864	ZSWIM5	0.07601019	0.022446342	-1.7551963	5.5501385	1
867	MUTYH	0.043051276	0.008962949	-2.2513509	9.2568445	1
895	MKNK1	0.041994445	0.19052827	2.1790602	9.963801	1
918	TRABD2B	0.17840283	0.029097334	-2.6120384	31.18041	1
952	RAB3B	0.10938341	0.021203248	-2.361567	17.668634	1
966	GPX7	0.06802768	0.019964697	-1.7635818	6.312476	1
971	ECHDC2	0.1406296	0.06723468	-1.0635042	6.8465843	1
1030	PRKAA2	0.16514318	0.0671246	-1.2975296	7.358349	1
1035	DAB1	0.5372481	0.19337821	-1.4736859	18.812376	1
1038	OMA1	0.05253851	0.017863534	-1.5510476	6.3470173	1
1040	TACSTD2	0.081471115	0.012385462	-2.7078092	17.479544	1
1053	HOOK1	0.49844506	0.14618117	-1.7689799	37.377598	1
1056	LINC02778	0.010344931	-1.382432e-10	-6.706661	5.9769397	1
1066	PATJ	0.69785416	0.24309793	-1.5210013	34.93817	1
1079	ITGB3BP	0.17956296	0.07718664	-1.217002	9.120899	1
1084	ROR1	0.26729202	0.12937412	-1.0462925	8.268029	1
1093	AK4	0.1119664	0.029875536	-1.9024963	9.641442	1
1141	PTGER3	0.0322633	0.0062036216	-2.360106	5.314271	1
1147	NEGR1	0.10816654	0.039825164	-1.4392172	5.9625826	1
1149	AL513166.1	0.044669513	0.011749971	-1.9176333	5.22268	1
1207	LINC01781	0.13856584	0.0058697457	-4.5377994	44.55244	1
1232	SSX2IP	0.1501404	0.07465665	-1.006999	6.2817893	1
1237	SYDE2	0.091204695	0.03611939	-1.3339268	6.204538	1
