	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
57	VWA1	0.046012938	0.11097695	1.268316	5.184941	1
110	PRDM16-DT	0.0029062843	0.041568454	3.7929022	10.420439	1
111	PRDM16	0.008005589	0.15595867	4.267028	30.404562	1
125	SMIM1	0.010678272	0.044676874	2.054628	5.459093	1
138	KCNAB2	0.14308393	0.01869206	-2.9296744	9.3973055	1
149	ESPN	0.0050985254	0.11614042	4.4828653	33.79723	1
178	ERRFI1	0.2023588	0.42335358	1.0645756	10.856895	1
200	PIK3CD-AS2	-1.382432e-10	0.04209427	8.720905	11.806953	1
239	FBXO2	0.01103469	0.12082556	3.440986	23.307026	1
248	NPPA	-1.382432e-10	0.13111134	10.357678	17.114086	1
249	NPPB	-1.382432e-10	0.091918565	9.845783	14.697544	1
257	TNFRSF1B	0.20054854	0.034198917	-2.5484357	10.935443	1
269	KAZN	0.32307452	0.09176977	-1.8146514	9.340368	1
273	TMEM51-AS1	0.0010951794	0.020095669	4.078747	7.085738	1
279	EFHD2	0.2669115	0.11731819	-1.185246	6.489415	1
286	AGMAT	0.0013623434	0.11043937	6.2401342	36.125122	1
294	TMEM82	-1.382432e-10	0.013976752	7.1371727	10.623742	1
301	HSPB7	-1.382432e-10	0.104160465	10.025978	13.940288	1
349	ALDH4A1	0.015991768	0.11569817	2.8472178	22.890745	1
367	PLA2G2A	-1.382432e-10	0.05952188	9.2197	11.65458	1
389	ECE1	0.06417434	0.22999334	1.8399044	16.57618	1
395	RAP1GAP	0.0036446177	0.06790376	4.182724	20.307821	1
410	C1QA	0.84352046	0.0887488	-3.24717	19.837412	1
411	C1QC	0.82199293	0.10934205	-2.9091341	18.419474	1
412	C1QB	0.929916	0.10861614	-3.0966895	19.456905	1
413	EPHB2	0.12056855	0.025554243	-2.2337804	5.65679	1
426	TCEA3	0.012359093	0.10228572	3.0387435	15.009874	1
430	ID3	0.3318829	0.89963174	1.4383861	33.03088	1
440	FUCA1	0.62231034	0.11203803	-2.4725904	16.402893	1
459	RUNX3	0.16114657	0.018926574	-3.0831807	9.157957	1
497	CD52	0.15361562	0.012475969	-3.6115224	6.4367423	1
498	CRYBG2	-1.382432e-10	0.008444587	6.4169407	5.9770336	1
513	NR0B2	-1.382432e-10	0.06539919	9.355335	19.470333	1
515	TRNP1	0.016721105	0.15656254	3.2193158	25.21236	1
536	STX12	0.23661579	0.114738084	-1.0435548	5.0049524	1
547	PTAFR	0.13181587	0.016727615	-2.9707155	9.411439	1
560	RAB42	0.09230607	0.013354823	-2.7798643	6.718614	1
579	LAPTM5	0.46256387	0.061205138	-2.9158845	17.418442	1
755	PPT1	0.21049371	0.068336494	-1.6216246	9.181988	1
790	HIVEP3	0.39465177	0.024774622	-3.9881992	18.761738	1
805	P3H1	0.06912937	0.15719555	1.1840218	5.9550476	1
812	SLC2A1	0.024487073	0.10247261	2.0606737	9.658673	1
864	ZSWIM5	0.022446342	0.112947114	2.325959	11.065422	1
895	MKNK1	0.19052827	0.059993204	-1.6654882	7.562708	1
918	TRABD2B	0.029097334	0.0917317	1.6531556	6.2487955	1
923	SLC5A9	-1.382432e-10	0.024476646	7.9411464	12.544431	1
971	ECHDC2	0.06723468	0.18440136	1.4542098	12.285804	1
1013	DHCR24	0.07056019	0.21589947	1.6120583	16.08525	1
1020	PCSK9	-1.382432e-10	0.03394635	8.411359	17.049433	1
1028	LINC01767	-1.382432e-10	0.016069826	7.3371625	8.019014	1
