	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	1.02591e-09	9.895302e-10	-5.1594805e-07	0.33647248	0
1	AL627309.1	0.006425156	0.005440797	-0.23591879	0.13316633	0
2	AL627309.3	1.02591e-09	0.00064448797	2.8962338	0.49812222	0
3	AL627309.5	0.0038874105	0.010692872	1.4365548	1.7774832	0
4	AL627309.4	1.02591e-09	9.895302e-10	-5.1594805e-07	0.33647248	0
5	AP006222.2	1.02591e-09	0.0006267722	2.8614883	0.4981219	0
6	AL669831.2	1.02591e-09	9.895302e-10	-5.1594805e-07	0.33647248	0
7	LINC01409	0.014261326	0.024575043	0.7808637	1.1383191	0
8	FAM87B	1.02591e-09	9.895302e-10	-5.1594805e-07	0.33647248	0
9	LINC01128	0.018741067	0.021519255	0.19843605	0.20177126	0
10	LINC00115	0.0013081136	0.0034900287	1.3502318	0.73100275	0
11	FAM41C	0.000810306	0.00044716377	-0.73437893	0.20836309	0
12	AL645608.6	0.0053493353	0.011754576	1.121292	1.0227894	0
13	AL645608.2	0.002547557	0.0021585594	-0.2292589	0.1090426	0
14	AL645608.4	1.02591e-09	0.00026716184	1.8764013	0.4980938	0
15	LINC02593	0.0057070632	0.0027751033	-1.0141948	0.57072175	0
16	SAMD11	0.07011137	0.076873094	0.13264956	0.2572857	0
17	NOC2L	0.094392896	0.05994661	-0.65412307	2.4813044	0
18	KLHL17	0.013213907	0.006341808	-1.0473965	1.1661536	0
19	PLEKHN1	0.0017414019	0.006473251	1.8358027	1.2896267	0
20	PERM1	9.424476e-05	9.895302e-10	-0.95786136	0.49812898	0
21	AL645608.7	0.006226856	0.0016623295	-1.8440051	0.9322629	0
22	HES4	0.1445122	0.13105115	-0.14095885	0.42145145	0
23	ISG15	0.07833994	0.07381999	-0.085623994	0.16475101	0
24	AL645608.1	1.02591e-09	9.895302e-10	-5.1594805e-07	0.33647248	0
25	AGRN	0.033198483	0.05481985	0.72187114	2.064236	0
26	RNF223	0.0015556337	0.006615533	2.0201185	1.5221378	0
27	C1orf159	0.028631365	0.0313927	0.132391	0.16328673	0
28	AL390719.3	0.0014070432	0.0010871477	-0.34422123	0.12485639	0
29	LINC01342	0.0027897158	9.895302e-10	-4.8528414	1.1630747	0
30	AL390719.2	0.0017829149	0.00064716506	-1.3334688	0.37603134	0
31	TTLL10	1.02591e-09	9.895302e-10	-5.1594805e-07	0.33647248	0
32	TNFRSF18	0.0017360904	0.0027350802	0.62675256	0.299889	0
33	TNFRSF4	1.02591e-09	9.895302e-10	-5.1594805e-07	0.33647248	0
34	SDF4	0.2561783	0.27934104	0.124832675	0.6547494	0
35	B3GALT6	0.05750822	0.038620755	-0.5731676	1.4903685	0
36	C1QTNF12	0.0077995053	0.006047494	-0.36176395	0.17978647	0
37	AL162741.1	1.02591e-09	9.895302e-10	-5.1594805e-07	0.33647248	0
38	UBE2J2	0.122626215	0.11441549	-0.099900745	0.25242645	0
39	LINC01786	0.0011305768	0.0015217705	0.39823496	0.12534048	0
40	SCNN1D	0.004320288	0.002081635	-1.0187306	0.43210262	0
41	ACAP3	0.028489009	0.04331964	0.6028872	1.4022998	0
42	PUSL1	0.040913135	0.051173214	0.32211933	0.59361494	0
43	INTS11	0.09098489	0.07357467	-0.30604306	0.9138322	0
44	AL139287.1	1.02591e-09	9.895302e-10	-5.1594805e-07	0.33647248	0
45	CPTP	0.037698917	0.029055756	-0.37456426	0.6073519	0
46	TAS1R3	0.0013056288	9.895302e-10	-3.8131294	0.67999023	0
47	DVL1	0.011784448	0.016757246	0.504294	0.59797686	0
48	MXRA8	0.017761445	0.008528323	-1.0496967	0.9906952	0
49	AURKAIP1	0.4056795	0.3645616	-0.15413778	1.1633632	0
50	CCNL2	0.20273755	0.2059167	0.022436563	0.06638793	0
51	MRPL20-AS1	0.019184092	0.025048206	0.38304424	0.4579124	0
52	MRPL20	0.36850086	0.37823412	0.03760141	0.17778708	0
53	AL391244.2	0.00054244604	0.00060939114	0.14300603	0.033403493	0
54	ANKRD65	0.0065613245	0.009238562	0.48739135	0.45283264	0
55	TMEM88B	0.00084125076	9.895302e-10	-3.2345648	1.0726775	0
56	LINC01770	0.0004098281	0.0012160396	1.3681201	0.36512676	0
57	VWA1	0.11097695	0.12791458	0.20474859	0.77878726	0
58	ATAD3C	0.0036818113	0.0028076742	-0.37921166	0.17139393	0
59	ATAD3B	0.016293855	0.017918296	0.13630746	0.14155944	0
