	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	1.0644726e-08	4.1289728e-05	0.49850303	0.49787024	0
1	AL627309.1	0.001488948	0.0013168594	-0.16537532	0.2267724	0
2	AL627309.3	0.00011554098	4.1552667e-05	-0.6066233	0.5629571	0
3	AL627309.5	0.0030599758	0.0034316287	0.1604202	0.31927624	0
4	AL627309.4	3.1831987e-05	-1.36424205e-08	-0.39889732	0.49836615	0
5	AP006222.2	1.0644726e-08	-1.36424205e-08	-0.0003503712	44.55244	0
6	AL669831.2	8.789336e-05	0.00014349545	0.37398067	0.19997628	0
7	LINC01409	0.055153172	0.0477958	-0.20615819	3.203336	0
8	FAM87B	0.00012293225	6.0645492e-05	-0.47272488	0.29863662	0
9	LINC01128	0.04251179	0.039655916	-0.100083135	0.9393505	0
10	LINC00115	0.0022232598	0.0022995607	0.046619795	0.06470534	0
11	FAM41C	0.0013218488	0.0011376295	-0.20018856	0.2642298	0
12	AL645608.6	0.014166612	0.018026706	0.345474	3.1585407	0
13	AL645608.2	0.0059583033	0.006797485	0.18715662	0.6394542	0
14	AL645608.4	0.00030767763	7.5353404e-05	-1.2171634	1.3065034	0
15	LINC02593	0.010616152	0.018212603	0.77305007	11.811476	0
16	SAMD11	0.10416467	0.15559727	0.5784933	44.55244	0
17	NOC2L	0.09087449	0.08445079	-0.10564386	1.9009451	0
18	KLHL17	0.009524091	0.010645802	0.1590509	0.6904463	0
19	PLEKHN1	0.0011025053	0.0010663681	-0.04402008	0.045252677	0
20	PERM1	4.4962864e-05	8.146537e-05	0.32401088	0.1580574	0
21	AL645608.7	0.0048080967	0.004516327	-0.08841829	0.18525621	0
22	HES4	0.17351583	0.18263973	0.07389182	1.9231874	0
23	ISG15	0.061589334	0.054099515	-0.18674117	3.5324602	0
24	AL645608.1	0.00032005156	0.00020031538	-0.4840881	0.37082285	0
25	AGRN	0.050378002	0.042467255	-0.24591072	4.1018486	0
26	RNF223	5.797331e-05	2.6591391e-05	-0.31950152	0.2829246	0
27	C1orf159	0.07620473	0.06627174	-0.20120351	4.4567676	0
28	AL390719.3	0.006102778	0.004710826	-0.3666299	1.371732	0
29	LINC01342	2.9512703e-05	-1.36424205e-08	-0.37329045	0.4984237	0
30	AL390719.2	0.0001287061	-1.36424205e-08	-1.1936918	1.2417939	0
31	TTLL10	0.00019215175	3.6167934e-05	-1.101331	0.9793693	0
32	TNFRSF18	0.0016358332	0.001487629	-0.12875444	0.19151282	0
33	TNFRSF4	0.00076487614	0.00092676777	0.24754454	0.27258933	0
34	SDF4	0.19434556	0.18518278	-0.069637485	2.0006058	0
35	B3GALT6	0.0667701	0.06568955	-0.023502827	0.20676212	0
36	C1QTNF12	0.017315406	0.020611102	0.25004014	2.2144341	0
37	AL162741.1	4.620925e-05	0.00016025067	0.83186734	0.70704967	0
38	UBE2J2	0.108144805	0.1064961	-0.022143116	0.25937673	0
39	LINC01786	0.0022232414	0.003028659	0.42940533	1.09727	0
40	SCNN1D	0.0026710026	0.002908991	0.118871704	0.20547558	0
41	ACAP3	0.05532493	0.04919156	-0.1691944	2.5710874	0
42	PUSL1	0.03000397	0.029541465	-0.02233707	0.12434505	0
43	INTS11	0.07493038	0.078966	0.07558262	1.0577097	0
44	AL139287.1	1.0644726e-08	0.00015329549	1.340668	1.4722595	0
45	CPTP	0.021598646	0.023590926	0.12672952	0.91808605	0
46	TAS1R3	0.00023293725	0.00018872981	-0.2055302	0.117271565	0
47	DVL1	0.01483066	0.013363861	-0.14918585	0.7661364	0
48	MXRA8	0.16247648	0.1930732	0.24877639	17.136038	0
49	AURKAIP1	0.24859083	0.23708357	-0.0683492	2.4699106	0
50	CCNL2	0.26488096	0.2952195	0.15638803	11.625067	0
51	MRPL20-AS1	0.01488862	0.013617212	-0.12788032	0.6673808	0
52	MRPL20	0.2883465	0.29012662	0.00887618	0.1691601	0
53	AL391244.2	0.0010154791	0.0009949126	-0.026847795	0.02491844	0
54	ANKRD65	0.00088261726	0.0011657617	0.3653043	0.52947474	0
55	TMEM88B	1.0644726e-08	-1.36424205e-08	-0.0003503712	44.55244	0
56	LINC01770	0.00012494772	0.00035928798	1.0298094	1.1712135	0
57	VWA1	0.044791352	0.06188409	0.46546042	17.49564	0
58	ATAD3C	0.0012566868	0.0015017997	0.2396061	0.32628483	0
