	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
1	AL627309.1	0.001488948	0.017704863	3.4861276	44.55244	1
3	AL627309.5	0.0030599758	0.0200363	2.6718132	44.55244	1
68	MMP23B	0.021287313	0.15329964	2.842468	44.55244	1
79	CFAP74	0.00033609578	0.006438661	3.9062781	22.407131	1
99	HES5	0.0059169848	0.0010084062	-2.4405541	11.9658575	1
111	PRDM16	0.05735669	0.024848828	-1.2035029	36.20053	1
118	MEGF6	0.017422976	0.005783795	-1.5744289	24.707438	1
134	AJAP1	0.009274399	0.0020677964	-2.1124969	18.747742	1
142	RNF207	0.033910424	0.01087755	-1.6314211	44.55244	1
169	VAMP3	0.11722176	0.23546425	1.0056499	44.55244	1
174	TNFRSF9	0.0017203133	0.014304873	2.9842982	35.449585	1
177	AL034417.3	0.0010691046	0.0051412405	2.1645043	7.6286087	1
178	ERRFI1	0.14683855	0.32448423	1.1433799	44.55244	1
179	AL034417.2	0.014177096	0.03443126	1.2742006	26.749838	1
185	ENO1	0.7035187	1.4824197	1.0751857	44.55244	1
194	SPSB1	0.111345254	0.04753312	-1.2262982	44.55244	1
200	PIK3CD-AS2	0.006973736	0.018744817	1.4136236	26.45757	1
221	CASZ1	0.0019343413	0.0068302685	1.7683495	6.9743896	1
248	NPPA	0.0010051175	0.06000581	5.765233	44.55244	1
249	NPPB	0.00018227627	0.051908325	7.5254908	44.55244	1
252	PLOD1	0.1574097	0.49393964	1.6491861	44.55244	1
256	TNFRSF8	0.0032070458	0.00066914817	-2.1042097	9.742615	1
259	DHRS3	0.055878706	0.0024461446	-4.458492	44.55244	1
267	PDPN	0.0024137562	0.0130461315	2.3867216	25.229343	1
273	TMEM51-AS1	0.0022062259	0.00981103	2.103501	15.24479	1
274	TMEM51	0.021190003	0.10008905	2.2344768	44.55244	1
301	HSPB7	0.010744257	0.062244598	2.5233333	44.55244	1
323	BX284668.5	0.006059133	0.013039653	1.093128	12.333572	1
341	ACTL8	0.00010505944	0.0025301324	3.6810215	11.150459	1
367	PLA2G2A	0.00032532788	0.0027725399	2.7556796	8.045385	1
368	PLA2G5	0.0024008313	0.09277352	5.2147875	44.55244	1
378	FAM43B	0.018843934	0.0061469804	-1.6005051	33.22193	1
379	CDA	0.041931238	0.006139017	-2.7520714	44.55244	1
389	ECE1	0.22236335	0.734073	1.7225523	44.55244	1
393	ALPL	0.005663979	0.0021360873	-1.3660885	7.9743805	1
406	WNT4	0.019700408	0.0032920127	-2.5453167	44.55244	1
423	ZNF436	0.061064944	0.020701315	-1.5560303	44.55244	1
453	RCAN3	0.02002321	0.040565915	1.0149597	29.945478	1
486	TRIM63	2.8613846e-05	0.005693571	5.493335	16.574295	1
497	CD52	0.004810824	0.001616143	-1.5167953	7.3862195	1
552	SESN2	0.047899045	0.124612495	1.3775284	44.55244	1
565	OPRD1	0.002826021	0.0008789299	-1.5796627	5.813969	1
577	MATN1-AS1	0.0016517304	0.0045271874	1.4013548	6.9966264	1
579	LAPTM5	0.0012716388	0.004798177	1.8363444	8.055627	1
581	LINC01778	0.0002985817	0.0023101089	2.5961509	8.667704	1
582	SDC3	0.049874917	0.21365575	2.096687	44.55244	1
592	TINAGL1	0.03603941	0.004950237	-2.8391502	44.55244	1
598	ADGRB2	0.005618999	0.0137013765	1.2709776	12.886627	1
624	FAM229A	0.0062625385	0.015829483	1.324025	19.256985	1
626	ZBTB8B	0.0029686568	0.0074917865	1.306832	7.9745636	1
635	FNDC5	0.16929197	0.012179558	-3.7860348	44.55244	1
642	AZIN2	0.03974131	0.017804759	-1.1539221	34.453213	1
660	GJA4	0.03644878	0.016669272	-1.1240033	24.467363	1
685	COL8A2	0.0039303354	0.001107139	-1.739308	8.513073	1
689	SH3D21	0.019264935	0.05616341	1.5387504	44.55244	1
696	CSF3R	0.00043625588	0.0029028866	2.4853566	5.651295	1
744	HPCAL4	0.0043826834	0.0019277342	-1.1444939	5.273327	1
785	AC093151.8	0.00013132946	0.004999669	4.462383	13.564762	1
796	RIMKLA	0.00028317724	0.0018913337	2.3776512	6.0896983	1
805	P3H1	0.18800685	0.43920425	1.223668	44.55244	1
812	SLC2A1	0.028769758	0.15083267	2.386274	44.55244	1
813	SLC2A1-AS1	0.0021609627	0.005462553	1.2988099	5.969414	1
824	ELOVL1	0.06182667	0.12689582	1.0361481	44.55244	1
831	PTPRF	0.044040106	0.13100854	1.5705996	44.55244	1
845	AL139220.2	0.011061204	0.026147516	1.2336882	25.303226	1
850	RNF220	0.21408659	0.08547484	-1.3236096	44.55244	1
864	ZSWIM5	0.028066752	0.07279388	1.3718045	44.55244	1
866	HPDL	0.003592893	0.00044544303	-2.759251	14.466365	1
