	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
1	AL627309.1	0.001488948	0.015383596	3.2845967	31.203962	1
3	AL627309.5	0.0030599758	0.015591769	2.3120224	24.76073	1
15	LINC02593	0.010616152	0.0041815997	-1.3235651	11.289458	1
32	TNFRSF18	0.0016358332	0.0002306288	-2.392344	6.6499734	1
36	C1QTNF12	0.017315406	0.0019585	-3.0806987	44.55244	1
48	MXRA8	0.16247648	0.074452974	-1.1247808	44.55244	1
68	MMP23B	0.021287313	0.17375319	3.0230424	44.55244	1
73	SLC35E2A	0.040910125	0.019654986	-1.0537634	30.763498	1
79	CFAP74	0.00033609578	0.0054585477	3.671991	13.63887	1
99	HES5	0.0059169848	0.00077683356	-2.7786658	14.543054	1
111	PRDM16	0.05735669	0.013720948	-2.0556183	44.55244	1
118	MEGF6	0.017422976	0.0026157158	-2.6898434	44.55244	1
134	AJAP1	0.009274399	0.0003838039	-4.276232	39.969933	1
142	RNF207	0.033910424	0.0062924307	-2.4115405	44.55244	1
171	PER3	0.025885386	0.012702491	-1.0212759	16.918036	1
174	TNFRSF9	0.0017203133	0.015059906	3.0580022	30.342104	1
177	AL034417.3	0.0010691046	0.0047783935	2.061002	7.4666257	1
179	AL034417.2	0.014177096	0.029002823	1.0274565	15.254624	1
185	ENO1	0.7035187	1.4371289	1.0304241	44.55244	1
194	SPSB1	0.111345254	0.03210105	-1.7911555	44.55244	1
200	PIK3CD-AS2	0.006973736	0.017978188	1.3537058	18.167118	1
221	CASZ1	0.0019343413	0.008434252	2.068703	9.953198	1
239	FBXO2	0.0034946983	0.0097368695	1.4523284	9.821404	1
248	NPPA	0.0010051175	0.26040736	7.8809805	44.55244	1
249	NPPB	0.00018227627	0.118656985	8.716689	44.55244	1
252	PLOD1	0.1574097	0.43964434	1.4812243	44.55244	1
256	TNFRSF8	0.0032070458	0.00058931654	-2.2623045	8.859236	1
259	DHRS3	0.055878706	0.0018083567	-4.8744755	44.55244	1
267	PDPN	0.0024137562	0.012741927	2.352945	21.483952	1
273	TMEM51-AS1	0.0022062259	0.009944828	2.122847	14.346514	1
274	TMEM51	0.021190003	0.08813913	2.0512424	44.55244	1
282	CELA2B	0.00057346304	0.0029091637	2.159692	5.5357924	1
301	HSPB7	0.010744257	0.13000475	3.5846705	44.55244	1
305	EPHA2	0.007814576	0.003844159	-1.0047944	6.4420705	1
309	AL109627.1	0.002315833	0.00057854765	-1.8319987	5.0678554	1
341	ACTL8	0.00010505944	0.0028327724	3.8381512	8.0085335	1
367	PLA2G2A	0.00032532788	0.0038789848	3.225753	6.9623466	1
368	PLA2G5	0.0024008313	0.071325846	4.8359666	44.55244	1
378	FAM43B	0.018843934	0.0038078737	-2.2772803	44.55244	1
379	CDA	0.041931238	0.0029518807	-3.7836914	44.55244	1
389	ECE1	0.22236335	0.7020847	1.658283	44.55244	1
393	ALPL	0.005663979	0.000796685	-2.6843917	17.512405	1
406	WNT4	0.019700408	0.0024484904	-2.9578152	44.55244	1
413	EPHB2	0.1714171	0.07500676	-1.1913377	44.55244	1
423	ZNF436	0.061064944	0.013964447	-2.1206522	44.55244	1
427	ASAP3	0.07427473	0.03420337	-1.1164623	44.55244	1
440	FUCA1	0.042808246	0.02000586	-1.093639	37.256226	1
486	TRIM63	2.8613846e-05	0.012852257	6.6540136	27.873804	1
497	CD52	0.004810824	0.0010497813	-2.0946057	11.303639	1
552	SESN2	0.047899045	0.11005169	1.198414	44.55244	1
565	OPRD1	0.002826021	0.0002120575	-3.2290564	12.419628	1
581	LINC01778	0.0002985817	0.002488436	2.6991332	5.215857	1
582	SDC3	0.049874917	0.19662987	1.9769399	44.55244	1
588	FABP3	0.025326809	0.06263544	1.3029302	43.64935	1
592	TINAGL1	0.03603941	0.0058375453	-2.6056345	44.55244	1
598	ADGRB2	0.005618999	0.014228994	1.3251028	10.863701	1
600	SPOCD1	0.026530057	0.011365698	-1.2157314	21.711077	1
624	FAM229A	0.0062625385	0.013813796	1.1288418	10.157909	1
635	FNDC5	0.16929197	0.0076261084	-4.4544797	44.55244	1
642	AZIN2	0.03974131	0.013306239	-1.5713607	44.55244	1
643	TRIM62	0.027857456	0.013369332	-1.0535548	19.88219	1
650	AL513327.2	0.004869869	0.0015951972	-1.5517546	6.4936347	1
660	GJA4	0.03644878	0.015643038	-1.2151093	27.910105	1
685	COL8A2	0.0039303354	0.00032461065	-3.2466874	14.601847	1
689	SH3D21	0.019264935	0.053958483	1.4810745	44.55244	1
697	GRIK3	0.0047421567	0.00056372356	-2.8669953	13.866141	1
744	HPCAL4	0.0043826834	0.00052487856	-2.8427148	15.734319	1
781	CTPS1	0.07972366	0.039156575	-1.0238822	44.55244	1
785	AC093151.8	0.00013132946	0.0029211633	3.7070832	8.07199	1
790	HIVEP3	0.29914021	0.12168082	-1.2970171	44.55244	1
796	RIMKLA	0.00028317724	0.006466062	4.0989447	14.151228	1
805	P3H1	0.18800685	0.39571866	1.0732872	44.55244	1
812	SLC2A1	0.028769758	0.11327027	1.9734114	44.55244	1
831	PTPRF	0.044040106	0.11141668	1.3370975	44.55244	1
836	ARTN	0.0048146127	0.0016321145	-1.5045433	7.3058805	1
850	RNF220	0.21408659	0.0648318	-1.721871	44.55244	1
864	ZSWIM5	0.028066752	0.062635705	1.1552936	36.067852	1
866	HPDL	0.003592893	0.00015834667	-3.8373713	17.92672	1
903	CYP4X1	0.019189956	0.003074569	-2.6032171	44.55244	1
904	CYP4Z1	0.0019348921	9.2376875e-05	-3.402945	8.297771	1
916	FOXD2	0.002431438	0.00021201279	-3.0202801	10.365327	1
917	LINC01738	0.0015011247	4.8457878e-09	-4.0009437	7.673249	1
926	AGBL4	0.011102336	0.0039514215	-1.4672996	13.674921	1
971	ECHDC2	0.007646132	0.01836167	1.2529851	13.525617	1
973	PODN	0.007580227	0.0011750639	-2.5905795	21.660948	1
1005	ACOT11	0.025093546	0.060758743	1.2724104	44.55244	1
1008	MROH7	0.009951924	0.02745821	1.4550104	23.833088	1
1020	PCSK9	0.0020277356	0.00013632549	-3.1704717	10.116058	1
1023	AL603840.1	0.0080228085	0.023891607	1.5624793	20.63933	1
1027	AC119674.1	0.06996491	0.019221518	-1.8584836	44.55244	1
