	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	1.3387762e-09	5.315805e-05	0.6150019	0.4985281	0
1	AL627309.1	0.0016921347	0.0015639898	-0.107032485	0.0739994	0
2	AL627309.3	0.00019919782	0.000107865424	-0.5254499	0.16315337	0
3	AL627309.5	0.0034524042	0.0024718798	-0.46597254	0.46345156	0
4	AL627309.4	1.3387762e-09	-5.828042e-09	-0.00010336528	44.55244	0
5	AP006222.2	1.3387762e-09	-5.828042e-09	-0.00010336528	44.55244	0
6	AL669831.2	9.796273e-05	-5.828042e-09	-0.9853129	0.4983378	0
7	LINC01409	0.05510537	0.067375146	0.28954753	2.5744586	0
8	FAM87B	1.3387762e-09	7.58755e-05	0.81453526	0.49858886	0
9	LINC01128	0.04728052	0.047412913	0.0040256516	0.012836484	0
10	LINC00115	0.0006700756	0.0021458676	1.544201	1.7265226	0
11	FAM41C	0.0043740077	0.0032910816	-0.39982212	0.5449261	0
12	AL645608.6	0.0060961	0.009472981	0.62760776	1.6081629	0
13	AL645608.2	0.002757367	0.004300121	0.62285686	1.0050486	0
14	AL645608.4	0.00029144564	0.00043428672	0.44880217	0.19346915	0
15	LINC02593	0.0037493133	0.008200794	1.1086483	2.9881864	0
16	SAMD11	0.04595231	0.09077933	0.9806786	20.896435	0
17	NOC2L	0.11813515	0.106896825	-0.14409092	1.3401442	0
18	KLHL17	0.016238539	0.013371277	-0.2783924	0.8022336	0
19	PLEKHN1	0.0017754178	0.0023563772	0.3893202	0.42266923	0
20	PERM1	1.3387762e-09	-5.828042e-09	-0.00010336528	44.55244	0
21	AL645608.7	0.005280381	0.0067655025	0.35165694	0.6009915	0
22	HES4	0.44795376	0.38950992	-0.20164144	8.144208	0
23	ISG15	0.16813436	0.12288946	-0.45193774	11.833799	0
24	AL645608.1	0.0002499611	0.00028490977	0.13732576	0.051062338	0
25	AGRN	0.05382063	0.04114595	-0.38658482	3.0946124	0
26	RNF223	1.3387762e-09	-5.828042e-09	-0.00010336528	44.55244	0
27	C1orf159	0.062028527	0.06601316	0.08968161	0.4745723	0
28	AL390719.3	0.004622838	0.0018709841	-1.2607379	2.3246982	0
29	LINC01342	1.3387762e-09	7.844438e-05	0.8354551	0.49845073	0
30	AL390719.2	0.00021260601	6.725819e-05	-0.90226877	0.42308712	0
31	TTLL10	1.3387762e-09	-5.828042e-09	-0.00010336528	44.55244	0
32	TNFRSF18	0.00042624044	0.0012916873	1.4030409	1.1278536	0
33	TNFRSF4	0.00033147732	0.0007136101	0.91505283	0.52254355	0
34	SDF4	0.31073216	0.29587647	-0.07065327	1.1170969	0
35	B3GALT6	0.107806094	0.094920486	-0.18346581	1.9118938	0
36	C1QTNF12	0.0034684502	0.008799084	1.3183593	4.066759	0
37	AL162741.1	1.3387762e-09	0.00037851755	2.2585526	1.0599757	0
38	UBE2J2	0.16094273	0.14817752	-0.11914369	1.4031738	0
39	LINC01786	0.0012343604	0.0025195351	0.97316253	1.110891	0
40	SCNN1D	0.0017490962	0.0026216377	0.55765474	0.58286566	0
41	ACAP3	0.07142905	0.06031567	-0.24360657	2.0631568	0
42	PUSL1	0.06678136	0.05797971	-0.2035699	1.5539559	0
43	INTS11	0.10981872	0.09846264	-0.15732424	1.5330225	0
44	AL139287.1	1.3387762e-09	-5.828042e-09	-0.00010336528	44.55244	0
45	CPTP	0.045273997	0.04044022	-0.16251181	0.7761455	0
46	TAS1R3	0.00050140667	0.00015189085	-1.2555422	0.5020961	0
47	DVL1	0.021127809	0.01964026	-0.104814515	0.2696863	0
48	MXRA8	0.22833252	0.21800692	-0.06673248	0.71910334	0
49	AURKAIP1	0.4531151	0.4012319	-0.17540003	7.662216	0
50	CCNL2	0.2585901	0.27857035	0.10733474	1.8463345	0
51	MRPL20-AS1	0.022120684	0.019139096	-0.20786227	0.6691874	0
52	MRPL20	0.43243346	0.41432583	-0.061697792	1.3035036	0
53	AL391244.2	0.00093282847	0.0017242489	0.82070184	0.7871168	0
54	ANKRD65	0.0004543052	0.0005671555	0.2673425	0.13262573	0
55	TMEM88B	1.3387762e-09	-5.828042e-09	-0.00010336528	44.55244	0
56	LINC01770	1.3387762e-09	4.9403192e-05	0.5791916	0.4984327	0
57	VWA1	0.04468539	0.059832282	0.42030516	4.049552	0
58	ATAD3C	0.0005513552	0.0012296619	1.029543	0.84772027	0
59	ATAD3B	0.04976934	0.049335416	-0.012608032	0.043409217	0
60	ATAD3A	0.08071392	0.06720121	-0.2639713	2.615438	0
61	TMEM240	0.009811184	0.013749449	0.48269916	1.4756154	0
62	SSU72	0.37092876	0.33567548	-0.14403419	4.2679725	0
63	AL645728.1	0.005079821	0.0074967286	0.5524759	1.210073	0
64	FNDC10	0.049308322	0.04182121	-0.23707362	1.4706297	0
65	AL691432.4	0.0006817696	0.00079165236	0.18973786	0.093837656	0
66	AL691432.2	0.012454462	0.010387712	-0.2595002	0.55467623	0
67	MIB2	0.03708186	0.037969153	0.034023464	0.10808463	0
68	MMP23B	0.0199098	0.037762303	0.92005557	9.242264	0
69	CDK11B	0.13046685	0.13004556	-0.004662494	0.025347747	0
70	FO704657.1	0.000649813	0.0010894476	0.665689	0.4410019	0
71	SLC35E2B	0.060628828	0.058623087	-0.048453722	0.1937927	0
72	CDK11A	0.093481556	0.09810385	0.06955531	0.43638197	0
73	SLC35E2A	0.0325571	0.03710895	0.18825305	0.8279629	0
74	NADK	0.0870497	0.07383299	-0.23727745	2.2508087	0
75	GNB1	0.7267241	0.6593568	-0.14032815	9.168733	0
76	AL109917.1	0.0005315971	0.0017395614	1.5422853	1.5647076	0
77	CALML6	0.00016161398	-5.828042e-09	-1.3875238	0.49843028	0
78	TMEM52	0.0005866075	0.0012566958	0.9825397	0.8135958	0
79	CFAP74	0.00014128626	0.00017818774	0.20531316	0.07279002	0
80	AL391845.2	1.3387762e-09	-5.828042e-09	-0.00010336528	44.55244	0
81	GABRD	1.3387762e-09	8.953036e-05	0.92240965	0.49840668	0
82	AL391845.1	1.3387762e-09	-5.828042e-09	-0.00010336528	44.55244	0
83	PRKCZ	0.0016214187	0.0025891338	0.64354354	0.82913464	0
84	AL590822.2	0.00036191763	0.00023299165	-0.47214955	0.16265424	0
85	PRKCZ-AS1	0.00076628756	0.0020129203	1.2863204	1.3755877	0
86	FAAP20	0.36732894	0.3677821	0.0017782361	0.018151652	0
87	AL590822.1	0.001160606	0.0023487303	0.95791656	1.2469978	0
88	SKI	0.120669805	0.121595696	0.011018366	0.060945928	0
89	AL590822.3	0.002041546	0.002899509	0.4860737	0.5531217	0
90	MORN1	0.016651582	0.019653015	0.23777553	0.7238749	0
91	AL589739.1	1.3387762e-09	-5.828042e-09	-0.00010336528	44.55244	0
92	AL513477.2	0.00038303883	0.00036013298	-0.07008833	0.026490552	0
93	RER1	0.30908385	0.26126307	-0.24240969	8.434008	0
94	PEX10	0.0487169	0.045596156	-0.095307864	0.41242492	0
95	PLCH2	0.00051443896	0.0001860041	-1.1032338	0.6147582	0
96	AL139246.1	0.00011564178	-5.828042e-09	-1.1087208	0.49839035	0
97	AL139246.4	1.3387762e-09	-5.828042e-09	-0.00010336528	44.55244	0
98	PANK4	0.019503865	0.014535249	-0.42169085	1.6509775	0
99	HES5	0.0016440123	0.0022779463	0.447306	0.3040522	0
100	AL139246.5	0.002528897	0.0013111015	-0.89763594	0.960102	0
101	TNFRSF14-AS1	1.3387762e-09	-5.828042e-09	-0.00010336528	44.55244	0
102	TNFRSF14	1.3387762e-09	0.0002798083	1.9252522	1.2916743	0
103	AL139246.3	1.3387762e-09	-5.828042e-09	-0.00010336528	44.55244	0
104	PRXL2B	0.030792836	0.025005227	-0.2992846	1.4554756	0
105	MMEL1	0.00019308017	0.00035569223	0.63676447	0.32355505	0
106	AL831784.1	1.3387762e-09	-5.828042e-09	-0.00010336528	44.55244	0
107	TTC34	0.0011873413	0.0019270099	0.6549586	0.62062985	0
108	AC242022.2	0.00012631988	-5.828042e-09	-1.1784475	0.49842674	0
109	AL589702.1	1.3387762e-09	9.866713e-05	0.9903339	0.4984615	0
110	PRDM16-DT	0.0037190516	0.00196895	-0.88431555	1.1530312	0
111	PRDM16	0.07613273	0.05168355	-0.5579167	6.899301	0
112	AL008733.1	0.00028199365	-5.828042e-09	-1.9336329	0.7396545	0
113	AL590438.1	0.000119669414	-5.828042e-09	-1.1354182	0.49843645	0
114	AL354743.2	0.0005729721	0.0011512818	0.89478797	0.72240293	0
115	AL354743.1	0.00014290071	0.00024472238	0.5050683	0.19978963	0
116	ARHGEF16	0.0041080625	0.0035791995	-0.19376409	0.22016364	0
117	AL512413.1	0.00038771	-5.828042e-09	-2.2861078	1.0680625	0
118	MEGF6	0.0054236646	0.0070938757	0.38114357	0.6548268	0
119	AL513320.1	0.0014168129	0.0006086876	-1.0978215	0.9171811	0
120	TPRG1L	0.10809627	0.088603444	-0.28658873	3.8643985	0
121	WRAP73	0.03448487	0.034020398	-0.019506589	0.0558306	0
122	TP73	9.916952e-05	0.0003771683	1.2605014	0.5706202	0
123	AL136528.1	1.3387762e-09	-5.828042e-09	-0.00010336528	44.55244	0
124	CCDC27	0.00030406177	0.00043595018	0.40752295	0.13172631	0
125	SMIM1	0.009503164	0.01621514	0.76462954	3.2411506	0
126	LRRC47	0.08594704	0.08169922	-0.07303836	0.42013308	0
127	AL365330.1	0.00034047698	0.00038532756	0.13989213	0.050027434	0
128	CEP104	0.10624023	0.09337916	-0.18597072	1.8031901	0
129	DFFB	0.019198624	0.017944267	-0.0969575	0.23301588	0
130	C1orf174	0.06471548	0.05908902	-0.13100888	0.7720221	0
131	LINC01134	0.0008918356	0.0010843652	0.25594094	0.16517751	0
132	AL805961.1	1.3387762e-09	-5.828042e-09	-0.00010336528	44.55244	0
133	LINC01646	0.00014863047	-5.828042e-09	-1.3140873	0.49843362	0
134	AJAP1	0.004379728	0.0031684134	-0.45482057	0.55961347	0
135	Z98886.1	0.00016563621	-5.828042e-09	-1.409536	0.49842808	0
