	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
11	FAM41C	0.0043740077	-7.275958e-12	-5.4834957	6.9258885	1
21	AL645608.7	0.005280381	-7.275958e-12	-5.7496367	7.5322647	1
90	MORN1	0.016651582	-7.275958e-12	-7.3881536	21.496084	1
104	PRXL2B	0.030792836	-7.275958e-12	-8.271129	42.397106	1
116	ARHGEF16	0.0041080625	-7.275958e-12	-5.3950844	6.0466256	1
118	MEGF6	0.0054236646	-7.275958e-12	-5.787554	7.241427	1
134	AJAP1	0.004379728	-7.275958e-12	-5.485339	5.8873687	1
138	KCNAB2	0.007093587	-7.275958e-12	-6.1686397	10.490904	1
150	TNFRSF25	0.0039266385	-7.275958e-12	-5.3315043	6.4138618	1
154	ZBTB48	0.025718477	-7.275958e-12	-8.01226	30.119595	1
194	SPSB1	0.19730505	0.05359169	-1.878388	6.418054	1
199	PIK3CD	0.005635626	-7.275958e-12	-5.8418794	7.9507318	1
226	AL109811.2	0.004172727	-7.275958e-12	-5.417085	6.278439	1
230	EXOSC10-AS1	0.0053187413	-7.275958e-12	-5.759886	8.668699	1
259	DHRS3	0.03534761	-7.275958e-12	-8.469544	34.848423	1
305	EPHA2	0.016587323	-7.275958e-12	-7.382609	24.047459	1
349	ALDH4A1	0.020311024	-7.275958e-12	-7.673205	27.70321	1
392	NBPF3	0.01733048	-7.275958e-12	-7.4454684	22.854223	1
405	CDC42-IT1	0.0036957706	-7.275958e-12	-5.246321	5.755678	1
406	WNT4	0.0059125223	-7.275958e-12	-5.9098988	6.6482663	1
420	LINC01355	0.013442318	-7.275958e-12	-7.081331	15.785246	1
432	MDS2	0.003903263	-7.275958e-12	-5.323105	5.7824507	1
451	NIPAL3	0.027893778	-7.275958e-12	-8.1289625	38.295456	1
471	LDLRAP1	0.016408307	-7.275958e-12	-7.3670483	22.575045	1
480	PAQR7	0.017326938	-7.275958e-12	-7.4451756	20.19819	1
487	PDIK1L	0.017440455	-7.275958e-12	-7.4545426	21.554298	1
488	FAM110D	0.009495818	-7.275958e-12	-6.584334	13.016845	1
494	CEP85	0.013171168	-7.275958e-12	-7.0521517	15.732713	1
503	RPS6KA1	0.0035817733	-7.275958e-12	-5.202329	5.8241944	1
511	GPATCH3	0.029435346	-7.275958e-12	-8.206299	35.269676	1
516	TENT5B	0.0051569697	-7.275958e-12	-5.71616	6.113724	1
525	GPR3	0.004283059	-7.275958e-12	-5.453866	6.3964972	1
560	RAB42	0.01185112	-7.275958e-12	-6.901002	14.193231	1
568	TMEM200B	0.015731253	-7.275958e-12	-7.3066316	20.647455	1
584	NKAIN1	0.008157449	-7.275958e-12	-6.3676243	10.262732	1
602	AL136115.2	0.0046745194	-7.275958e-12	-5.577284	7.2633834	1
648	AL513327.1	0.015310493	-7.275958e-12	-7.2677693	21.72918	1
650	AL513327.2	0.0036498315	-7.275958e-12	-5.228754	6.0915766	1
660	GJA4	0.04355362	-7.275958e-12	-8.769958	40.08473	1
668	ZMYM4-AS1	0.010719563	-7.275958e-12	-6.7574987	11.116782	1
670	NCDN	0.039999325	-7.275958e-12	-8.647434	43.32199	1
682	AL138787.2	0.013434713	-7.275958e-12	-7.0805206	15.371206	1
707	C1orf109	0.04763049	0.0069186753	-2.7656405	5.299148	1
708	CDCA8	0.018093672	-7.275958e-12	-7.507293	17.347982	1
738	BMP8A	0.010635104	-7.275958e-12	-6.7461925	14.431375	1
753	MFSD2A	0.0057767243	-7.275958e-12	-5.8769403	9.281172	1
758	AL050341.2	0.0072162566	-7.275958e-12	-6.1930337	10.509665	1
765	ZFP69	0.0059700315	-7.275958e-12	-5.923632	8.262811	1
811	ZNF691	0.013985433	-7.275958e-12	-7.13806	18.089367	1
820	TIE1	0.0062395735	-7.275958e-12	-5.986314	8.3672695	1
887	LURAP1	0.008717736	-7.275958e-12	-6.4623365	11.54076	1
888	RAD54L	0.0050989687	-7.275958e-12	-5.700154	6.92193	1
