	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	1.3387762e-09	-7.275958e-12	-1.943417e-05	43.32199	0
1	AL627309.1	0.0016921347	-7.275958e-12	-4.163607	3.0912087	0
2	AL627309.3	0.00019919782	-7.275958e-12	-1.5810999	0.4984046	0
3	AL627309.5	0.0034524042	0.007922737	1.1752987	0.23658088	0
4	AL627309.4	1.3387762e-09	-7.275958e-12	-1.943417e-05	43.32199	0
5	AP006222.2	1.3387762e-09	-7.275958e-12	-1.943417e-05	43.32199	0
6	AL669831.2	9.796273e-05	-7.275958e-12	-0.98522896	0.4982985	0
7	LINC01409	0.05510537	0.083280094	0.5948944	0.41228786	0
8	FAM87B	1.3387762e-09	-7.275958e-12	-1.943417e-05	43.32199	0
9	LINC01128	0.04728052	0.06309044	0.41541234	0.27496213	0
10	LINC00115	0.0006700756	-7.275958e-12	-2.9450004	1.5065818	0
11	FAM41C	0.0043740077	-7.275958e-12	-5.4834957	6.9258885	1
12	AL645608.6	0.0060961	0.02762449	2.1617286	0.3528995	0
13	AL645608.2	0.002757367	0.0069186753	1.2965124	0.25594085	0
14	AL645608.4	0.00029144564	-7.275958e-12	-1.9688122	0.72533786	0
15	LINC02593	0.0037493133	0.0079330765	1.0613514	0.21831886	0
16	SAMD11	0.04595231	0.17722833	1.9450777	1.0292728	0
17	NOC2L	0.11813515	0.12017992	0.02473692	0.021123935	0
18	KLHL17	0.016238539	0.026710313	0.7145091	0.23175858	0
19	PLEKHN1	0.0017754178	0.013853878	2.8953822	0.40652153	0
20	PERM1	1.3387762e-09	-7.275958e-12	-1.943417e-05	43.32199	0
21	AL645608.7	0.005280381	-7.275958e-12	-5.7496367	7.5322647	1
22	HES4	0.44795376	0.36934447	-0.2783143	0.7042739	0
23	ISG15	0.16813436	0.18848653	0.16475427	0.19658577	0
24	AL645608.1	0.0002499611	-7.275958e-12	-1.8071947	0.7841364	0
25	AGRN	0.05382063	0.026387762	-1.0255114	1.0707884	0
26	RNF223	1.3387762e-09	-7.275958e-12	-1.943417e-05	43.32199	0
27	C1orf159	0.062028527	0.07216668	0.21807481	0.15395175	0
28	AL390719.3	0.004622838	0.008751006	0.90618736	0.1918376	0
29	LINC01342	1.3387762e-09	-7.275958e-12	-1.943417e-05	43.32199	0
30	AL390719.2	0.00021260601	-7.275958e-12	-1.6443456	0.8030729	0
31	TTLL10	1.3387762e-09	-7.275958e-12	-1.943417e-05	43.32199	0
32	TNFRSF18	0.00042624044	-7.275958e-12	-2.3957224	0.95339376	0
33	TNFRSF4	0.00033147732	-7.275958e-12	-2.1092849	0.77519536	0
34	SDF4	0.31073216	0.35382763	0.1873187	0.23815799	0
35	B3GALT6	0.107806094	0.08154243	-0.40238523	0.39851505	0
36	C1QTNF12	0.0034684502	0.0567256	3.9931715	0.90125406	0
37	AL162741.1	1.3387762e-09	-7.275958e-12	-1.943417e-05	43.32199	0
38	UBE2J2	0.16094273	0.24733263	0.61959225	1.073255	0
39	LINC01786	0.0012343604	-7.275958e-12	-3.7380764	2.2151558	0
40	SCNN1D	0.0017490962	-7.275958e-12	-4.2087483	2.8862462	0
41	ACAP3	0.07142905	0.10039286	0.49049187	0.4751317	0
42	PUSL1	0.06678136	0.0821686	0.29873776	0.19608916	0
43	INTS11	0.10981872	0.16313231	0.5704896	0.9214871	0
44	AL139287.1	1.3387762e-09	-7.275958e-12	-1.943417e-05	43.32199	0
45	CPTP	0.045273997	0.028695617	-0.6560165	0.34622762	0
46	TAS1R3	0.00050140667	-7.275958e-12	-2.588341	0.8928079	0
47	DVL1	0.021127809	0.034801397	0.7173294	0.23581237	0
48	MXRA8	0.22833252	0.31434888	0.46105734	0.68753517	0
49	AURKAIP1	0.4531151	0.36692062	-0.3043348	0.73709667	0
50	CCNL2	0.2585901	0.36105222	0.4813821	1.2195961	0
51	MRPL20-AS1	0.022120684	0.016684083	-0.40480947	0.18925187	0
52	MRPL20	0.43243346	0.30855355	-0.48682338	1.3048147	0
53	AL391244.2	0.00093282847	0.0056823045	2.4850438	0.38456824	0
54	ANKRD65	0.0004543052	-7.275958e-12	-2.4706807	1.3029797	0
55	TMEM88B	1.3387762e-09	-7.275958e-12	-1.943417e-05	43.32199	0
56	LINC01770	1.3387762e-09	-7.275958e-12	-1.943417e-05	43.32199	0
57	VWA1	0.04468539	0.045294713	0.019496053	0.008073051	0
58	ATAD3C	0.0005513552	-7.275958e-12	-2.7034445	1.2830485	0
59	ATAD3B	0.04976934	0.055338196	0.15272722	0.074264094	0
60	ATAD3A	0.08071392	0.0798195	-0.01605623	0.009965829	0
