	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	5.315805e-05	0.0	-0.61502117	0.49854472	0
1	AL627309.1	0.0015639898	0.0	-4.056575	3.9073222	0
2	AL627309.3	0.000107865424	0.0	-1.0556499	0.49845752	0
3	AL627309.5	0.0024718798	0.0	-4.6847515	5.0686913	1
4	AL627309.4	-5.828042e-09	0.0	8.409706e-05	44.55244	0
5	AP006222.2	-5.828042e-09	0.0	8.409706e-05	44.55244	0
6	AL669831.2	-5.828042e-09	0.0	8.409706e-05	44.55244	0
7	LINC01409	0.067375146	0.01840546	-1.8664052	1.8716365	0
8	FAM87B	7.58755e-05	0.0	-0.8145545	0.49860054	0
9	LINC01128	0.047412913	0.019782322	-1.2568336	0.75429296	0
10	LINC00115	0.0021458676	0.0	-4.489201	4.0711308	0
11	FAM41C	0.0032910816	0.0	-5.0836735	7.5925407	1
12	AL645608.6	0.009472981	0.0	-6.5808964	17.838455	1
13	AL645608.2	0.004300121	0.0	-5.459471	9.272164	1
14	AL645608.4	0.00043428672	0.0	-2.4176142	1.4019182	0
15	LINC02593	0.008200794	0.0	-6.3751774	14.863528	1
16	SAMD11	0.09077933	0.12308416	0.43879262	0.2993475	0
17	NOC2L	0.106896825	0.054369822	-0.97403896	1.0172617	0
18	KLHL17	0.013371277	0.016326064	0.28610027	0.06648982	0
19	PLEKHN1	0.0023563772	0.023909431	3.2889972	0.42582485	0
20	PERM1	-5.828042e-09	0.0	8.409706e-05	44.55244	0
21	AL645608.7	0.0067655025	0.0	-6.1012936	13.826121	1
22	HES4	0.38950992	0.21228158	-0.8753716	2.0232103	0
23	ISG15	0.12288946	0.111222245	-0.14379278	0.0817889	0
24	AL645608.1	0.00028490977	0.0	-1.9445202	0.9881077	0
25	AGRN	0.04114595	0.025160486	-0.70737016	0.27427807	0
26	RNF223	-5.828042e-09	0.0	8.409706e-05	44.55244	0
27	C1orf159	0.06601316	0.0	-9.3687935	44.55244	1
28	AL390719.3	0.0018709841	0.0	-4.300844	4.777971	0
29	LINC01342	7.844438e-05	0.0	-0.8354745	0.49846202	0
30	AL390719.2	6.725819e-05	0.0	-0.7420769	0.49849105	0
31	TTLL10	-5.828042e-09	0.0	8.409706e-05	44.55244	0
32	TNFRSF18	0.0012916873	0.0	-3.798763	2.846771	0
33	TNFRSF4	0.0007136101	0.0	-3.0243375	1.9662204	0
34	SDF4	0.29587647	0.28114375	-0.07366148	0.07848212	0
35	B3GALT6	0.094920486	0.04176133	-1.1826204	1.0861738	0
36	C1QTNF12	0.008799084	0.0	-6.475585	15.52698	1
37	AL162741.1	0.00037851755	0.0	-2.2585719	1.0599812	0
38	UBE2J2	0.14817752	0.097276725	-0.60665107	0.63460773	0
39	LINC01786	0.0025195351	0.0	-4.711239	4.9619346	0
40	SCNN1D	0.0026216377	0.0	-4.766403	5.6218796	1
41	ACAP3	0.06031567	0.06349217	0.073926456	0.031669497	0
42	PUSL1	0.05797971	0.07296255	0.3310979	0.1298479	0
43	INTS11	0.09846264	0.084621035	-0.21832071	0.1025406	0
44	AL139287.1	-5.828042e-09	0.0	8.409706e-05	44.55244	0
45	CPTP	0.04044022	0.017888311	-1.1722943	0.65647197	0
46	TAS1R3	0.00015189085	0.0	-1.3327987	0.7645075	0
47	DVL1	0.01964026	0.03635342	0.8849133	0.2889912	0
48	MXRA8	0.21800692	0.1152725	-0.91873616	1.3004508	0
49	AURKAIP1	0.4012319	0.25885975	-0.63206804	1.2791836	0
50	CCNL2	0.27857035	0.16815193	-0.7279364	0.7994869	0
51	MRPL20-AS1	0.019139096	0.023909431	0.31956023	0.07387915	0
52	MRPL20	0.41432583	0.29520357	-0.48891515	0.8107748	0
53	AL391244.2	0.0017242489	0.0	-4.189231	4.5622773	0
54	ANKRD65	0.0005671555	0.0	-2.738023	1.7035131	0
55	TMEM88B	-5.828042e-09	0.0	8.409706e-05	44.55244	0
56	LINC01770	4.9403192e-05	0.0	-0.57921094	0.49845064	0
57	VWA1	0.059832282	0.03804375	-0.6518866	0.37794966	0
58	ATAD3C	0.0012296619	0.017888311	3.7579286	0.4439731	0
59	ATAD3B	0.049335416	0.0	-8.949401	44.55244	1
60	ATAD3A	0.06720121	0.061908726	-0.11816123	0.040479995	0
61	TMEM240	0.013749449	0.032734707	1.2453932	0.38354397	0
62	SSU72	0.33567548	0.27791733	-0.27232212	0.32676563	0
63	AL645728.1	0.0074967286	0.0	-6.2473063	15.594515	1
64	FNDC10	0.04182121	0.019782322	-1.0761943	0.5571411	0
65	AL691432.4	0.00079165236	0.0	-3.1564813	1.9283184	0
66	AL691432.2	0.010387712	0.0	-6.7125564	19.722328	1
67	MIB2	0.037969153	0.03776267	-0.00784625	0.0027020304	0
68	MMP23B	0.037762303	0.0393983	0.06102849	0.020878684	0
69	CDK11B	0.13004556	0.075631805	-0.78115493	0.82939065	0
70	FO704657.1	0.0010894476	0.03298809	4.7979484	0.4661553	0
71	SLC35E2B	0.058623087	0.05774354	-0.021771962	0.009260844	0
72	CDK11A	0.09810385	0.08436798	-0.21737495	0.13302548	0
73	SLC35E2A	0.03710895	0.016326064	-1.179663	0.6639919	0
74	NADK	0.07383299	0.06393376	-0.20738554	0.08092141	0
75	GNB1	0.6593568	0.61618674	-0.097676314	0.17498298	0
76	AL109917.1	0.0017395614	0.0	-4.20129	3.6544225	0
77	CALML6	-5.828042e-09	0.0	8.409706e-05	44.55244	0
78	TMEM52	0.0012566958	0.0	-3.7620254	3.2410605	0
79	CFAP74	0.00017818774	0.0	-1.4760588	0.7990726	0
