,interaction_group,celltype_group,scaled_means,pvals,x_means,y_means,x_stroke,neglog10p,significant,is_integrin,directionality,classification
CPI-SS0C3906934---RSPO3-LGR5---CM-CM,RSPO3-LGR5,CM-CM,0.9675425038639877,1.0,0.9675425038639877,,0.0,0.0,no,False,Ligand-Receptor,Signaling by R-spondin
CPI-SS0D681D90E---SDC2-ADGRA2---CM-CM,SDC2-ADGRA2,CM-CM,0.2814814814814815,1.0,0.2814814814814815,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Syndecan
CPI-SS0FC01B947---EFNA5-EPHA4---CM-CM,EFNA5-EPHA4,CM-CM,0.8372093023255816,1.0,0.8372093023255816,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS087E0E3FB---EFNB2-EPHA4---CM-CM,EFNB2-EPHA4,CM-CM,0.6171428571428571,0.001,,0.6171428571428571,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0A28DCA72---CXCL12-CXCR4---CM-CM,CXCL12-CXCR4,CM-CM,0.4251207729468599,1.0,0.4251207729468599,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS01F67987A---FGF2-FGFR1---CM-CM,FGF2-FGFR1,CM-CM,0.3774193548387097,1.0,0.3774193548387097,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Fibroblast growth factor
CPI-SS052119104---AREG-EGFR---CM-CM,AREG-EGFR,CM-CM,0.1725663716814159,1.0,0.1725663716814159,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Epidermal growth factor
CPI-SS0786D3749---WNT2B-FRZB---CM-CM,WNT2B-FRZB,CM-CM,0.8384615384615386,1.0,0.8384615384615386,,0.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS007954822---WNT5A-FRZB---CM-CM,WNT5A-FRZB,CM-CM,0.5767195767195767,1.0,0.5767195767195767,,0.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS05ABE6795---EFNB2-EPHB6---CM-CM,EFNB2-EPHB6,CM-CM,0.15286624203821658,1.0,0.15286624203821658,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0B99F22A2---JAG1-NOTCH3---CM-CM,JAG1-NOTCH3,CM-CM,0.17647058823529413,1.0,0.17647058823529413,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS04829AC68---GJA1-GJA1---CM-CM,GJA1-GJA1,CM-CM,0.20361990950226244,0.944,0.20361990950226244,,0.0,0.0,no,False,Gap-Gap,Adhesion by GAP junction
CPI-SS065D9259F---PGF-NRP2---CM-CM,PGF-NRP2,CM-CM,0.11851015801354403,1.0,0.11851015801354403,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS05207EFF8---WNT2B-SFRP1---CM-CM,WNT2B-SFRP1,CM-CM,0.97111416781293,1.0,0.97111416781293,,0.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS0F1E79A03---WNT5A-SFRP1---CM-CM,WNT5A-SFRP1,CM-CM,0.8993630573248408,1.0,0.8993630573248408,,0.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS0B9B3870A---VEGFA-FLT1---CM-CM,VEGFA-FLT1,CM-CM,0.11781285231116125,1.0,0.11781285231116125,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---CM-CM,VEGFA-FLT1-complex,CM-CM,0.20816733067729085,1.0,0.20816733067729085,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---CM-CM,VEGFA-NRP2,CM-CM,0.21190716448032296,1.0,0.21190716448032296,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---CM-CM,VEGFA-KDR,CM-CM,0.24217844727694096,0.996,0.24217844727694096,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C3906934---RSPO3-LGR5---CM-EC,RSPO3-LGR5,CM-EC,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by R-spondin
CPI-SS0D681D90E---SDC2-ADGRA2---CM-EC,SDC2-ADGRA2,CM-EC,0.3506172839506173,0.068,0.3506172839506173,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Syndecan
CPI-SS0FC01B947---EFNA5-EPHA4---CM-EC,EFNA5-EPHA4,CM-EC,0.031007751937984503,1.0,0.031007751937984503,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS087E0E3FB---EFNB2-EPHA4---CM-EC,EFNB2-EPHA4,CM-EC,0.022857142857142857,1.0,0.022857142857142857,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0A28DCA72---CXCL12-CXCR4---CM-EC,CXCL12-CXCR4,CM-EC,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Chemokines
