id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EC	CM|EP	CM|FB	CM|PR	CM|UN	EC|CM	EC|EC	EC|EP	EC|FB	EC|PR	EC|UN	EP|CM	EP|EC	EP|EP	EP|FB	EP|PR	EP|UN	FB|CM	FB|EC	FB|EP	FB|FB	FB|PR	FB|UN	PR|CM	PR|EC	PR|EP	PR|FB	PR|PR	PR|UN	UN|CM	UN|EC	UN|EP	UN|FB	UN|PR	UN|UN
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.001	0.394	0.0	0.004	0.0	0.002	0.394	0.787	0.0	0.396	0.0	0.395	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.396	0.0	0.006	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.395	0.0	0.004	0.0	0.002
CPI-SS0C53F7672	CDH6_CDH6	simple:P55285	simple:P55285	CDH6	CDH6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.002	0.0	0.023	0.013	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.044	0.034	0.0	0.023	0.013	0.0	0.034	0.024	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.023	0.013	0.0	0.001
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.009	0.018	0.007	0.037	0.0	0.008	0.018	0.028	0.016	0.047	0.0	0.017	0.007	0.016	0.005	0.036	0.0	0.006	0.037	0.047	0.036	0.066	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.017	0.006	0.037	0.0	0.007
CPI-SS001BF66E8	CEACAM6_CEACAM6	simple:P40199	simple:P40199	CEACAM6	CEACAM6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS01A7DC3C1	CLSTN2_NRXN3	simple:Q9H4D0	simple:Q9HDB5	CLSTN2	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.007	0.0	0.0	0.01	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.009	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.009	0.0	0.004
CPI-SS0EEFFA23C	LRRTM1_NRXN3	simple:Q86UE6	simple:Q9HDB5	LRRTM1	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.004	0.0	0.0	0.008	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.011	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.01	0.0	0.005
CPI-SS026EC3854	LRRTM3_NRXN3	simple:Q86VH5	simple:Q9HDB5	LRRTM3	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.008	0.0	0.0	0.012	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.008	0.0	0.003	0.169	0.0	0.0	0.172	0.0	0.167	0.033	0.0	0.0	0.036	0.0	0.031
CPI-SS0F97A06CD	LRRTM4_NRXN3	simple:Q86VH4	simple:Q9HDB5	LRRTM4	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.006	0.0	0.0	0.01	0.0	0.005	0.007	0.0	0.0	0.011	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.016	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.009	0.0	0.004
CPI-SC034EE8AAA	FN1_integrin_a4b7_complex	simple:P02751	complex:integrin_a4b7_complex	FN1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Fibronectin	0.148	0.154	0.0	0.0	0.0	0.0	0.381	0.387	0.0	0.0	0.0	0.0	0.896	0.902	0.0	0.0	0.0	0.0	1.442	1.448	0.0	0.0	0.0	0.0	1.109	1.115	0.0	0.0	0.0	0.0	0.162	0.169	0.0	0.0	0.0	0.0
CPI-SC06C0A2080	VCAM1_integrin_a4b7_complex	simple:P19320	complex:integrin_a4b7_complex	VCAM1		False	False	False	curated	True	Ligand-Receptor	Adhesion by VCAM	0.724	0.731	0.0	0.0	0.0	0.0	0.013	0.02	0.0	0.0	0.0	0.0	0.077	0.083	0.0	0.0	0.0	0.0	0.017	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.271	0.277	0.0	0.0	0.0	0.0
CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	0.198	0.55	0.108	0.366	0.146	0.126	0.55	0.903	0.461	0.719	0.499	0.479	0.108	0.461	0.018	0.277	0.057	0.037	0.366	0.719	0.277	0.535	0.315	0.295	0.146	0.499	0.057	0.315	0.095	0.075	0.126	0.479	0.037	0.295	0.075	0.055
