	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-3.3469405e-10	-1.1787051e-09	-1.22108195e-05	44.55244	0
1	FAM138A	-3.3469405e-10	-1.1787051e-09	-1.22108195e-05	44.55244	0
2	OR4F5	-3.3469405e-10	-1.1787051e-09	-1.22108195e-05	44.55244	0
3	AL627309.1	0.0013642878	0.0025654975	0.8642058	0.9318158	0
4	AL627309.3	0.000108496904	-1.1787051e-09	-1.060043	0.49848142	0
5	AL627309.2	-3.3469405e-10	-1.1787051e-09	-1.22108195e-05	44.55244	0
6	AL627309.5	0.021118242	0.020083468	-0.07213101	0.17169774	0
7	AL627309.4	0.0010167599	0.0011478846	0.16016549	0.086158276	0
8	AP006222.2	0.0006727508	0.0010372007	0.55741155	0.3580031	0
9	AL732372.1	-3.3469405e-10	-1.1787051e-09	-1.22108195e-05	44.55244	0
10	OR4F29	-3.3469405e-10	-1.1787051e-09	-1.22108195e-05	44.55244	0
11	AC114498.1	9.798812e-05	-1.1787051e-09	-0.98543084	0.49847484	0
12	OR4F16	-3.3469405e-10	-1.1787051e-09	-1.22108195e-05	44.55244	0
13	AL669831.2	0.0010591883	0.0010151154	-0.055921845	0.027972538	0
14	LINC01409	0.074806415	0.06562032	-0.18874978	1.3823752	0
15	FAM87B	0.00014634224	0.00018521628	0.21139239	0.060888536	0
16	LINC01128	0.15332076	0.13281922	-0.20694397	2.925286	0
17	LINC00115	0.01598085	0.011855734	-0.427641	1.3271146	0
18	FAM41C	0.0050386097	0.006591701	0.38099486	0.6070817	0
19	AL645608.6	0.00064109324	-1.1787051e-09	-2.8896723	1.3213787	0
20	AL645608.2	0.0058133276	0.0042875297	-0.4305613	0.6752938	0
21	AL645608.4	0.0011859442	0.0014495025	0.2689771	0.1741631	0
22	LINC02593	0.043309335	0.051646937	0.2534681	1.5699977	0
23	SAMD11	0.24472591	0.3236222	0.40299997	18.513641	0
24	NOC2L	0.2328526	0.22967102	-0.019839585	0.16837451	0
25	KLHL17	0.01643015	0.010817263	-0.5984886	2.3084536	0
26	PLEKHN1	0.0019545364	0.0010922751	-0.78509575	0.66508865	0
27	PERM1	0.0020406283	0.00069625775	-1.4267269	1.5419315	0
