	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
109	PANK4	0.04974436	0.019871997	-1.3194517	19.939066	1
172	RNF207	0.048172582	0.18421209	1.9328748	44.55244	1
204	PER3	0.104677126	0.04899793	-1.0935897	28.351423	1
288	NPPB	0.027745865	0.12992433	2.2232466	34.153835	1
336	PDPN	0.23573714	0.112466924	-1.067008	44.55244	1
350	EFHD2	0.21349122	0.089987546	-1.2454528	44.55244	1
354	CASP9	0.108743794	0.050791048	-1.0967753	30.839321	1
484	RAP1GAP	0.018087838	0.0074404352	-1.2702544	6.46254	1
576	AUNIP	0.007494317	0.017856304	1.2414984	6.330849	1
581	EXTL1	0.015281669	0.03240515	1.0794563	8.586966	1
627	BX293535.1	0.016692655	0.0066647986	-1.3117114	6.467006	1
681	MATN1-AS1	0.0158136	0.0071491115	-1.1343843	5.000441	1
737	KIAA1522	0.020676905	0.009375553	-1.1326988	6.882936	1
783	CLSPN	0.04758253	0.11359147	1.2535913	24.310297	1
854	HEYL	0.0011956722	0.008338792	2.7033358	6.9572515	1
887	RIMS3	0.026077066	0.012088386	-1.1027963	8.172378	1
955	ARTN	0.23504841	0.111157194	-1.0796729	44.55244	1
963	SLC6A9	0.02075924	0.007844419	-1.392673	8.66438	1
964	AL139220.2	0.025447182	0.011151759	-1.1830137	8.300343	1
973	KIF2C	0.032799095	0.07264355	1.1447713	14.339968	1
1034	STIL	0.00813597	0.018627016	1.1851106	6.312234	1
1121	GLIS1	0.05520818	0.009984688	-2.4553266	40.049496	1
1206	AC099791.2	0.028696572	0.013405944	-1.0923027	8.367953	1
1209	KANK4	0.004569102	0.020533042	2.1437397	11.721975	1
1244	LEPR	0.0786888	0.03449887	-1.1872656	24.899887	1
1269	DEPDC1	0.07104321	0.14429995	1.0212723	20.234556	1
1288	CTH	0.03491219	0.009296014	-1.8977367	21.093208	1
1353	IFI44L	0.022744672	0.0029234062	-2.9176111	21.999485	1
1379	AL359504.2	0.10126798	0.048370346	-1.0644276	26.94481	1
1432	GBP1	0.022416806	0.009764056	-1.1907493	7.497037	1
1433	GBP2	0.105530314	0.031752728	-1.729535	44.55244	1
1919	MTMR11	0.01740254	0.0064020567	-1.4285964	8.303075	1
1927	CA14	0.07568072	0.031784907	-1.248957	26.18744	1
2061	S100A8	0.0053343545	0.014596409	1.4352832	5.572665	1
2075	S100A1	0.02076483	0.0063132746	-1.7019401	12.175859	1
2088	CRTC2	0.028423848	0.009397562	-1.5865395	14.623158	1
2133	EFNA3	0.07948471	0.031499	-1.3326124	29.732853	1
2193	IQGAP3	0.009385088	0.022399403	1.2461536	7.6853695	1
2477	DNM3OS	0.0017553199	0.0076705115	2.0663416	5.1835127	1
2621	NIBAN1	0.025348319	0.010480026	-1.2662272	8.583561	1
2693	ASPM	0.094989896	0.19384994	1.0283204	23.213116	1
2721	DDX59-AS1	0.01097521	0.0028550683	-1.9060706	7.717965	1
2863	PFKFB2	0.025912978	0.012722474	-1.0205569	7.0422363	1
2870	CD55	0.103124596	0.049414616	-1.0598603	27.258642	1
2898	HSD11B1-AS1	0.018692067	0.008516924	-1.1248789	6.146426	1
2931	DTL	0.0241359	0.06351317	1.3921798	19.641943	1
2992	C1orf143	0.04864851	0.020187663	-1.2647555	17.941664	1
3059	CNIH3	0.014423984	0.0044799205	-1.6650429	8.414069	1
3079	LEFTY2	0.028723799	0.203741	2.8221118	44.55244	1
3086	MIXL1	0.018592892	0.051750053	1.4718556	18.434656	1
3091	ITPKB	0.06426754	0.020871848	-1.6178793	29.00987	1
3146	ACTA1	0.01755383	0.047088336	1.418449	7.5948553	1
3208	COA6-AS1	0.024033226	0.009111126	-1.3895713	10.036794	1
3470	COLEC11	0.03503056	0.011596103	-1.5866987	14.326821	1
3584	LRATD1	0.03045219	0.012098151	-1.3246133	11.436191	1
3606	FAM49A	0.02615073	0.007749512	-1.7416826	15.211951	1
3781	ALK	0.054700308	0.011748948	-2.2094252	40.550056	1
4227	MTHFD2	0.28486213	0.096028455	-1.5677346	44.55244	1
4485	ADRA2B	0.02383181	0.009135131	-1.3737253	9.753205	1
4758	DPP10	0.009976769	0.002410354	-2.0050702	7.671271	1
4981	KIF5C	0.01894598	0.0072729653	-1.3691697	8.0519705	1
4983	LYPD6B	0.03869395	0.0146506615	-1.3950521	15.099682	1
5011	FMNL2	0.048346244	0.021991571	-1.1328888	14.805141	1
5119	DHRS9	0.0016729705	0.009345003	2.4133828	5.6514626	1
5260	ITGA4	0.002637564	0.012342224	2.1842797	7.295725	1
5334	STAT4	0.0018611794	0.013853003	2.8307824	12.428684	1
5361	HECW2	0.010410244	0.0342584	1.7088667	16.303877	1
5377	RFTN2	0.045048706	0.01744197	-1.3638741	17.804249	1
5429	FZD7	0.038767934	0.016446823	-1.2320262	13.116212	1
5516	ACADL	0.04599397	0.09754033	1.0828991	22.61736	1
5558	LINC01963	0.005371195	0.0144381365	1.4099145	5.8781667	1
5651	SPEGNB	0.03579879	0.01730281	-1.0446151	9.681215	1
5788	SNORC	0.017479122	0.007906751	-1.1345743	5.243268	1
5819	ARL4C	0.07648985	0.036340315	-1.0716178	19.550014	1
5850	AC012076.1	0.010087166	0.02085224	1.0403517	5.169261	1
5973	LRRN1	0.08929809	0.04146591	-1.1048433	23.168917	1
5980	AC018816.1	0.002258946	0.018074235	2.9456804	15.025256	1
5982	BHLHE40	0.14683849	0.04143936	-1.8226614	44.55244	1
6083	FBLN2	0.056711797	0.027756257	-1.0281892	13.660542	1
6110	SH3BP5	0.0817496	0.17638119	1.108467	43.950382	1
6198	GADL1	0.008890274	0.002007476	-2.0928488	6.5116105	1
6300	LYZL4	0.01891498	0.005209168	-1.8405789	12.776542	1
6310	HHATL	0.11009708	0.040095046	-1.4549963	43.51105	1
6407	CDC25A	0.017420297	0.03690133	1.0785499	9.361224	1
6507	CYB561D2-1	0.021226328	0.005636578	-1.8943733	13.704785	1
6538	DUSP7	0.08236831	0.04051121	-1.0219618	21.0691	1
6648	CADPS	0.082224004	0.16903289	1.0387722	37.311066	1
6690	TAFA4	0.08351356	0.021555109	-1.9490294	44.55244	1
6764	CADM2	0.071198106	0.012586022	-2.490624	44.55244	1
6827	FILIP1L	0.003083828	0.02071586	2.708849	13.5259905	1
6852	ZPLD1	0.019304674	0.0032081988	-2.5522864	18.950932	1
7071	KLF15	0.01409585	0.005507677	-1.3399942	5.6028047	1
7183	AMOTL2	0.031427912	0.066262536	1.0737394	15.648621	1
7197	SLC35G2	0.04219705	0.016255839	-1.3707514	17.682266	1
7660	LIPH	0.09589244	0.047405988	-1.0148113	23.352129	1
7729	FGF12	0.0020625717	0.017872233	3.0549498	14.773841	1
7858	AC107464.3	0.03590988	0.016293062	-1.1353076	11.111592	1
7877	RNF212	0.01177541	0.0045366706	-1.3568162	5.015042	1
7937	TMEM128	0.14633377	0.060928542	-1.2626922	44.55244	1
8052	LINC01182	0.0041206325	0.024326798	2.5329337	17.439735	1
8073	PROM1	0.010015804	0.02974785	1.561016	11.576723	1
8091	NCAPG	0.04559624	0.09537257	1.0630109	16.678078	1
8193	KLF3-AS1	0.01652862	0.0071714027	-1.1933628	5.5962963	1
8357	HOPX	0.005360019	0.13923343	4.6734915	44.55244	1
8427	SULT1E1	0.00051190116	0.029912064	5.6161003	19.04112	1
8457	ADAMTS3	0.18880758	0.083596304	-1.1744447	44.55244	1
8462	ALB	0.03116834	0.11384828	1.8656046	44.55244	1
8484	AREG	0.17997657	0.08702549	-1.0474436	21.76496	1
8519	SHROOM3	0.0141851725	0.0391839	1.4594197	15.493275	1
8681	MTTP	0.018158395	0.007597089	-1.2461752	6.4883795	1
8759	COL25A1	0.02653413	0.008326172	-1.660327	13.380183	1
8800	ARSJ	0.00022662201	0.006402164	4.315226	6.700786	1
8841	QRFPR	0.010464166	0.0020718656	-2.2821722	8.776393	1
8884	PLK4	0.009311056	0.018841242	1.0091025	5.0386543	1
8889	LINC02615	0.005152173	0.014774554	1.5018601	6.112127	1
8940	SLC7A11	0.039847422	0.005546519	-2.8226688	34.69492	1
9114	TDO2	0.016948406	0.0070405547	-1.2555288	5.0688953	1
9211	GALNTL6	0.011674985	0.0012368426	-3.1388237	13.806187	1
9218	SCRG1	0.10009552	0.049217008	-1.0226607	23.927507	1
9309	CENPU	0.036594633	0.0743596	1.0208887	15.001543	1
9324	ANKRD37	0.31996778	0.13010018	-1.2976459	44.55244	1
9332	AC108472.1	0.0052273804	0.014345549	1.439127	5.877941	1
9441	IRX1	0.13532147	0.048666034	-1.4735079	42.60796	1
9565	MYO10	0.030789323	0.01195014	-1.3580585	11.834955	1
9674	RAI14	0.06941072	0.1838337	1.4038786	44.55244	1
9787	AC093297.2	0.031594943	0.014924418	-1.0769436	9.338614	1
9807	ITGA1	0.011893884	0.02757231	1.2061441	7.285966	1
9826	ESM1	0.0031054972	0.010411147	1.7133	5.012497	1
9849	LINC01948	0.019957963	0.009711806	-1.0315846	5.851714	1
9997	FOXD1	0.014110859	0.0055684443	-1.325969	5.744963	1
10013	ENC1	0.029645316	0.06829565	1.2012421	17.793118	1
10041	S100Z	0.009364129	0.0024729443	-1.8790494	6.878707	1
10144	MEF2C-AS1	0.02824593	0.011611291	-1.2752415	10.388213	1
10157	LUCAT1	0.1908873	0.09173863	-1.0563037	42.55681	1
10164	ARRDC3	0.4422598	0.20833008	-1.0856566	44.55244	1
10167	AC114316.1	0.0068473374	0.018074721	1.3874011	6.8100305	1
10176	NR2F1	0.00055799424	0.0105662495	4.018834	8.185185	1
10280	TSLP	0.026606098	0.010095466	-1.3892416	11.154051	1
10311	TRIM36	0.0068498747	0.019543435	1.4989884	7.9838324	1
10330	AC034236.2	0.023814738	0.01065874	-1.1523908	7.5122395	1
10526	TGFBI	0.0014344951	0.008969903	2.5633233	6.7120156	1
10552	CDC25C	0.011553568	0.024088155	1.053529	6.3561716	1
10709	SPRY4-AS1	0.06339104	0.02650644	-1.2547774	22.996159	1
10711	AC005592.1	0.008448017	0.0026760185	-1.6225724	5.1859694	1
10723	KCTD16	0.027567226	0.012624168	-1.1206067	7.882166	1
10748	DPYSL3	0.0833497	0.21497788	1.3658804	44.55244	1
10755	C5orf46	0.00034992464	0.03603902	6.32773	35.29941	1
10774	ABLIM3	0.025978452	0.0073143304	-1.8144699	15.193119	1
10795	PDGFRB	0.0045189136	0.02545684	2.468084	13.175707	1
10806	SYNPO	0.0106421355	0.03947624	1.8813537	19.896341	1
10841	GRIA1	0.047152743	0.013628043	-1.7832721	23.949863	1
