	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
172	RNF207	0.07225271	0.18421209	1.3490316	44.55244	1
336	PDPN	0.22669628	0.112466924	-1.010614	44.55244	1
854	HEYL	0.0015642057	0.008338792	2.3422027	6.296734	1
1121	GLIS1	0.029533751	0.009984688	-1.5550748	13.584039	1
1209	KANK4	0.005578963	0.020533042	1.8612572	10.486707	1
1433	GBP2	0.079539135	0.031752728	-1.3220606	29.99206	1
2061	S100A8	0.0054950444	0.014596409	1.3932422	5.4681993	1
2309	ITLN1	0.0018774952	0.009184327	2.2311232	5.6320934	1
2383	LRRC52-AS1	0.087530985	0.03971325	-1.1381924	27.75459	1
2477	DNM3OS	0.0013644281	0.0076705115	2.4076722	5.9674716	1
2777	MYBPH	0.0028900565	-4.8894435e-09	-4.902171	6.3990297	1
2847	IKBKE	0.09181645	0.044050533	-1.0578922	27.299124	1
2912	KCNH1	0.0054322565	0.019052802	1.7916155	8.715403	1
2992	C1orf143	0.0576111	0.020187663	-1.5082462	30.02589	1
3079	LEFTY2	0.03770338	0.203741	2.430857	44.55244	1
3091	ITPKB	0.045981176	0.020871848	-1.1357236	14.359815	1
3470	COLEC11	0.025531823	0.011596103	-1.1319082	8.064367	1
3606	FAM49A	0.02108224	0.007749512	-1.4321803	10.224711	1
3781	ALK	0.052115675	0.011748948	-2.139724	42.359318	1
4227	MTHFD2	0.19309399	0.096028455	-1.0070148	44.55244	1
5159	ITGA6	0.12244126	0.05914377	-1.0485322	31.87053	1
5260	ITGA4	0.0028980977	0.012342224	2.053125	6.967197	1
5458	NRP2	0.2039445	0.41167223	1.0129626	44.55244	1
5729	PID1	0.024167841	0.04908292	1.0191116	11.193994	1
5846	RAB17	0.014530814	0.006811121	-1.0820184	5.1639566	1
5980	AC018816.1	0.005985985	0.018074235	1.578332	8.423842	1
5982	BHLHE40	0.092836075	0.04143936	-1.1617597	29.06856	1
6300	LYZL4	0.0153618185	0.005209168	-1.5421523	9.068846	1
6310	HHATL	0.09734563	0.040095046	-1.2775798	34.520924	1
6378	CCRL2	0.017443089	0.007949203	-1.1239848	6.5677805	1
6690	TAFA4	0.055577915	0.021555109	-1.3623978	23.162098	1
6852	ZPLD1	0.009897557	0.0032081988	-1.5955296	6.564891	1
7729	FGF12	0.0048295083	0.017872233	1.8662541	9.705802	1
8052	LINC01182	0.003717901	0.024326798	2.677613	18.571848	1
8073	PROM1	0.008605576	0.02974785	1.7776153	13.5561075	1
8107	KCNIP4-IT1	0.08560314	0.19182144	1.163096	44.55244	1
8357	HOPX	0.019771596	0.13923343	2.8097618	44.55244	1
8427	SULT1E1	0.0022329232	0.029912064	3.6853318	16.577293	1
8691	EMCN	0.005701607	0.015188514	1.3979237	5.5191	1
8816	NDST3	0.010931502	0.024127068	1.1349906	6.0809913	1
