	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
177	ACOT7	0.060077794	0.23862427	1.9880421	8.871623	1
250	PGD	0.21681565	0.46720004	1.107215	6.08216	1
439	MICOS10	0.59338945	1.1876214	1.000902	12.859611	1
570	MAN1C1	-7.2759576e-11	0.06653703	9.380181	10.14314	1
723	FAM167B	0.03998843	0.21169174	2.4013886	10.717358	1
767	GJA4	0.024099464	0.47024095	4.2806597	41.011738	1
893	CITED4	0.26464084	0.59102803	1.1588899	7.505006	1
1023	EFCAB14	0.28437856	1.0339366	1.8618956	28.306551	1
1187	LINC01358	-7.2759576e-11	0.03732216	8.54775	6.928533	1
1192	FGGY	-7.2759576e-11	0.027139332	8.089549	5.391509	1
1201	NFIA-AS2	-7.2759576e-11	0.054509707	9.093015	9.182132	1
1354	IFI44	0.017344417	0.14085919	3.0144403	10.327519	1
1430	RBMXL1	0.009797679	0.06469088	2.7106287	5.7490597	1
1442	LRRC8B	0.5036122	0.15860718	-1.6662323	6.267749	1
1488	GCLM	0.19538721	0.5083081	1.3789129	9.827715	1
1531	PALMD	0.03917739	0.19611757	2.320683	8.1289835	1
1714	PHTF1	0.09471451	0.24821317	1.3889811	5.7716646	1
1737	TSPAN2	0.029425886	0.16902277	2.5180187	8.50427	1
1872	GJA5	-7.2759576e-11	0.15407884	10.59039	19.216484	1
2066	S100A6	1.3849318	2.8196127	1.0256292	14.8730755	1
2131	ADAM15	0.33452654	0.7864261	1.2329428	15.01708	1
2203	NES	0.38257292	0.7886828	1.0435165	9.196878	1
2375	PBX1	0.28264228	0.64056337	1.180079	8.315048	1
2497	GAS5	2.0707128	1.0140909	-1.0298679	16.013899	1
2543	ABL2	0.24477804	0.55467814	1.1798476	7.567771	1
2616	C1orf21	0.602909	0.16563307	-1.8633181	8.827471	1
2620	EDEM3	0.17258291	0.37194282	1.1073433	5.0741315	1
2621	NIBAN1	0.08643849	0.25392944	1.5535817	5.105874	1
2630	HMCN1	0.08228137	0.23288605	1.4998535	5.821954	1
2740	CSRP1	0.116203	0.37821156	1.7016865	9.65599	1
2770	CYB5R1	0.21370007	0.43107653	1.0120163	5.0599837	1
2786	ATP2B4	0.32172725	0.71423787	1.1503203	9.648355	1
2879	CD34	0.29208207	0.9802068	1.7463658	15.127266	1
3173	FAM89A	0.116952606	0.49951553	2.0936613	18.239868	1
3232	RBM34	-7.2759576e-11	0.035997517	8.495757	6.275486	1
3268	CHRM3	0.016029384	0.11851702	2.878548	9.628693	1
3344	ZNF670	-7.2759576e-11	0.03001993	8.234575	5.4007196	1
3606	FAM49A	0.09425031	0.3236398	1.7787355	9.810176	1
3638	RHOB	0.20695171	0.45058298	1.1221218	5.00071	1
3675	TP53I3	0.21435708	0.5403621	1.3335047	8.732811	1
3733	SLC5A6	0.004873645	0.059066527	3.5724058	7.279459	1
3761	RBKS	-7.2759576e-11	0.028433222	8.1565	5.441268	1
3796	EHD3	0.8922475	0.16695094	-2.4173176	9.624727	1
3819	LTBP1	0.18888429	0.52845365	1.4837836	9.876535	1
3833	CRIM1	0.23078209	0.6989349	1.5982083	15.99382	1
3852	CDC42EP3	0.22645171	0.7841213	1.7914203	18.794176	1
3883	TMEM178A	-7.2759576e-11	0.058083333	9.1844635	9.429613	1
4096	SLC1A4	0.07332309	0.41353935	2.4940677	18.836143	1
4149	ANXA4	0.06444334	0.22803354	1.8215384	6.8946476	1
