	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
1	FAM138A	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
2	OR4F5	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
3	AL627309.1	0.002991515	0.0016735134	-0.8017038	0.2535275	0
4	AL627309.3	6.693881e-10	0.0002955225	1.9837502	0.498409	0
5	AL627309.2	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
6	AL627309.5	0.020029332	0.012614459	-0.66282934	0.77789843	0
7	AL627309.4	0.0012401054	0.0004432086	-1.3027681	0.27276176	0
8	AP006222.2	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
9	AL732372.1	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
10	OR4F29	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
11	AC114498.1	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
12	OR4F16	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
13	AL669831.2	0.0010340019	0.00037447148	-1.2570298	0.2605258	0
14	LINC01409	0.032870892	0.028408827	-0.20978437	0.26185626	0
15	FAM87B	6.693881e-10	0.00016276917	1.3937864	0.4984005	0
16	LINC01128	0.13639197	0.099945515	-0.44815955	1.9905113	0
17	LINC00115	0.004541614	0.008864138	0.9495384	0.9085524	0
18	FAM41C	0.015462152	0.018139424	0.22901855	0.24184412	0
19	AL645608.6	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
20	AL645608.2	6.693881e-10	0.0015336786	4.0300426	2.0092397	0
21	AL645608.4	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
22	LINC02593	0.002652247	0.005638063	1.0599537	0.8634067	0
23	SAMD11	0.019764973	0.035227194	0.83055246	2.064781	0
24	NOC2L	0.23108223	0.23221812	0.0070710797	0.0226791	0
25	KLHL17	0.010760061	0.019149434	0.8257837	1.1229426	0
26	PLEKHN1	0.0010994335	0.0005278498	-0.9338617	0.20429842	0
27	PERM1	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
28	AL645608.7	0.0030308033	0.0061000213	0.98574024	0.7395462	0
29	HES4	0.45276177	0.4701952	0.05449585	0.30748045	0
30	ISG15	0.39288765	0.42921433	0.12755027	0.9274471	0
31	AL645608.1	0.0013688497	-1.1568773e-09	-3.8766315	0.4979249	0
32	AGRN	0.24170662	0.14714023	-0.71568185	6.7295537	0
33	AL645608.5	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
34	AL645608.8	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
35	RNF223	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
36	C1orf159	0.031465005	0.021352902	-0.5571533	0.7702536	0
37	AL390719.3	6.693881e-10	0.00014503693	1.2929895	0.49845198	0
38	LINC01342	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
39	AL390719.2	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
40	TTLL10-AS1	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
41	TTLL10	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
42	TNFRSF18	0.002802939	0.0013715816	-0.9801468	0.3096634	0
43	TNFRSF4	0.05067527	0.036737476	-0.46295178	0.8771766	0
44	SDF4	0.7189877	0.666676	-0.108965605	1.3707664	0
45	B3GALT6	0.20743808	0.21482582	0.050462812	0.17653444	0
46	C1QTNF12	0.00097184145	0.003939233	1.9139897	1.4742099	0
47	AL162741.1	0.0018198243	0.00094569294	-0.8765149	0.26234758	0
48	UBE2J2	0.3445034	0.32551268	-0.08178004	0.43799785	0
49	LINC01786	0.0010615811	0.00060558843	-0.719191	0.16082923	0
50	SCNN1D	6.693881e-10	0.004147062	5.408384	3.926873	0
51	ACAP3	0.09986179	0.107585356	0.10737337	0.27703893	0
52	PUSL1	0.086718574	0.09151458	0.077573486	0.16064018	0
53	INTS11	0.22717465	0.19545339	-0.21687427	1.1548963	0
54	AL139287.1	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
55	CPTP	0.10429977	0.09301915	-0.16496871	0.42741165	0
56	TAS1R3	6.693881e-10	0.00029477203	1.9810102	0.49847013	0
57	DVL1	0.08327593	0.055621855	-0.58138764	1.8758142	0
58	MXRA8	0.009459718	0.043943483	2.2038887	12.655532	1
59	AURKAIP1	0.93412346	1.0554092	0.17609963	5.1593647	0
60	CCNL2	0.3635614	0.3282769	-0.14724316	0.9797419	0
61	MRPL20-AS1	0.06302005	0.042507045	-0.5670063	1.4159466	0
62	MRPL20	0.8434177	0.9626736	0.19077823	5.0056973	0
63	AL391244.2	0.0032095362	0.0041806167	0.37118956	0.18573757	0
64	ANKRD65	0.0014333698	-1.1568773e-09	-3.9386504	0.49792555	0
65	AL391244.1	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
66	TMEM88B	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
67	LINC01770	0.0010765346	-1.1568773e-09	-3.5564885	0.49792513	0
68	VWA1	0.2862895	0.072104275	-1.9878224	24.077442	1
69	ATAD3C	0.006904502	0.0014714367	-2.1561983	1.0545168	0
70	ATAD3B	0.030869422	0.038157433	0.3048956	0.47990558	0
71	ATAD3A	0.09936727	0.090846896	-0.12919742	0.3135347	0
72	TMEM240	0.05850244	0.03900166	-0.5837309	1.4569519	0
73	SSU72	0.70295095	0.78557307	0.16029985	2.7095582	0
74	AL645728.1	0.020633075	0.021911079	0.0862958	0.08385065	0
75	FNDC10	0.06080921	0.04723652	-0.36370674	0.77062464	0
76	AL691432.4	0.004048884	0.0023923235	-0.7352319	0.29487473	0
77	AL691432.2	0.018001603	0.025989844	0.5273708	0.8829152	0
78	MIB2	0.09715788	0.10078054	0.0527609	0.111950256	0
79	MMP23B	0.019967714	0.014902437	-0.41967943	0.43580338	0
80	CDK11B	0.21119545	0.19959314	-0.08147693	0.3040191	0
81	FO704657.1	0.0027962027	0.0023577895	-0.2368012	0.0767532	0
82	SLC35E2B	0.092674986	0.08612629	-0.10560805	0.23602766	0
83	CDK11A	0.14946026	0.1372559	-0.1228079	0.40448022	0
84	SLC35E2A	0.04442614	0.038630653	-0.20117672	0.3136415	0
85	NADK	0.15452965	0.16714376	0.11313551	0.3810049	0
86	GNB1	1.2501549	1.1870848	-0.074677646	1.776948	0
87	AL109917.1	6.693881e-10	0.0004912004	2.5636377	0.78859335	0
88	CALML6	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
89	TMEM52	0.001408362	0.0014270082	0.017725095	0.004167119	0
90	CFAP74	0.017133884	0.012836232	-0.41383046	0.37703475	0
91	AL391845.2	0.008277188	0.006158881	-0.42056137	0.27027544	0
92	GABRD	0.029346783	0.009902992	-1.5576785	2.7161689	0
93	AL391845.1	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
94	PRKCZ	0.02338836	0.015387031	-0.60088533	0.6431089	0
95	AL590822.2	0.0016105974	0.0010250753	-0.60447866	0.13687651	0
96	PRKCZ-AS1	0.0014941036	0.00052615994	-1.3481423	0.27808645	0
97	FAAP20	0.6882974	0.544433	-0.33822212	8.023131	0
98	AL590822.1	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
99	SKI	0.27903658	0.24711604	-0.17519873	1.021699	0
100	AL590822.3	0.0024427196	0.0043756813	0.8157348	0.46189785	0
101	MORN1	0.0065733353	0.011883138	0.8445258	0.78842	0
102	AL589739.1	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
103	AL513477.2	6.693881e-10	0.0032570204	5.0691	2.9035094	0
104	RER1	0.5476071	0.6849301	0.32276273	7.8687205	0
105	PEX10	0.062301714	0.06872451	0.1413368	0.28894192	0
106	PLCH2	0.0012151684	-1.1568773e-09	-3.7171922	0.49792546	0
107	AL139246.1	6.693881e-10	0.00041880965	2.3751957	0.7810553	0
108	AL139246.4	6.693881e-10	0.00031097364	2.0390363	0.4984101	0
109	PANK4	0.02241305	0.033356525	0.5715261	1.1165053	0
110	HES5	6.693881e-10	0.0023384106	4.6078596	2.3442316	0
111	AL139246.5	0.04018875	0.043870877	0.12617132	0.19126572	0
112	TNFRSF14-AS1	0.011418001	0.0029767815	-1.9043964	1.2475418	0
113	TNFRSF14	0.029091503	0.013376952	-1.1150542	1.8092911	0
114	AL139246.3	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
115	PRXL2B	0.16872604	0.1312594	-0.36201802	1.820946	0
116	MMEL1	6.693881e-10	0.00037403946	2.2449975	0.7365592	0
117	AL831784.1	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
118	TTC34	0.0021102084	0.0041067353	0.92851853	0.5472106	0
119	AC242022.2	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
120	AC242022.1	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
121	AL592464.2	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
122	AL592464.3	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
123	AL592464.1	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
124	AL589702.1	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
125	ACTRT2	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
126	PRDM16-DT	0.0027845602	0.0003744224	-2.6041074	0.856559	0
127	PRDM16	0.010175569	0.008644559	-0.23276065	0.1498517	0
128	AL008733.1	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
129	AL590438.1	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
130	AL354743.2	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
131	AL354743.1	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
132	ARHGEF16	0.011450714	0.011082216	-0.046775907	0.032742627	0
133	AL512413.1	6.693881e-10	0.0007227585	3.0404594	1.0700625	0
134	MEGF6	0.011035631	0.028012943	1.3360512	3.2899718	0
135	AL513320.1	6.693881e-10	0.0009004515	3.3225696	1.038479	0
136	TPRG1L	0.19272669	0.21091479	0.13003945	0.5411585	0
137	WRAP73	0.09896158	0.098118894	-0.012325007	0.024385743	0
138	TP73	0.00069852005	-1.1568773e-09	-2.9973452	0.49791068	0
139	AL136528.1	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
140	AL136528.2	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
141	CCDC27	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
142	SMIM1	0.007344501	0.016934797	1.1942377	1.9784	0
143	LRRC47	0.15221047	0.13438284	-0.17959304	0.64232785	0
144	AL365330.1	6.693881e-10	0.00014353497	1.2841191	0.4984335	0
145	CEP104	0.1546995	0.15819906	0.03225176	0.08758827	0
146	DFFB	0.020590063	0.02345444	0.187061	0.22021969	0
147	C1orf174	0.0993687	0.11558078	0.21783467	0.7344131	0
148	LINC01134	6.693881e-10	0.0027794533	4.8477135	2.7230983	0
149	LINC01346	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
150	LINC01345	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
151	LINC02780	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
152	AL805961.1	0.0014503398	0.00026194679	-2.0987349	0.37637997	0
153	LINC01777	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
154	AL355602.1	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
155	Z98747.1	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
156	LINC01646	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
157	AJAP1	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
158	Z98886.1	0.0013049433	-1.1568773e-09	-3.8124566	0.49792394	0
159	BX005132.1	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
160	LINC02781	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
161	LINC02782	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
162	AL139823.1	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
163	Z98259.3	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
164	Z98259.2	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
165	Z98259.1	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
166	AL365255.1	6.693881e-10	-1.1568773e-09	-2.6313584e-05	44.55244	0
167	NPHP4	0.026503602	0.018609194	-0.5078742	0.666343	0
168	KCNAB2	0.02452819	0.030383497	0.30771777	0.47218952	0
169	CHD5	0.0012875358	0.00030734946	-1.768186	0.33791858	0
170	RPL22	2.236316	2.2002425	-0.023460437	1.1822382	0
