	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
1	FAM138A	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
2	OR4F5	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
3	AL627309.1	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
4	AL627309.3	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
5	AL627309.2	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
6	AL627309.5	0.009199793	0.023948587	1.3706815	0.46726823	0
7	AL627309.4	-5.820766e-11	0.006682381	6.0837207	0.4949808	0
8	AP006222.2	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
9	AL732372.1	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
10	OR4F29	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
11	AC114498.1	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
12	OR4F16	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
13	AL669831.2	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
14	LINC01409	0.011074283	0.007185821	-0.61701876	0.15797275	0
15	FAM87B	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
16	LINC01128	0.07480618	0.07159618	-0.06318848	0.036677487	0
17	LINC00115	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
18	FAM41C	0.0054553584	-8.731149e-11	-5.7958093	0.49368963	0
19	AL645608.6	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
20	AL645608.2	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
21	AL645608.4	0.007994856	-8.731149e-11	-6.338935	0.49369037	0
22	LINC02593	0.0054553584	0.0032176399	-0.7437226	0.13995479	0
23	SAMD11	0.10960692	0.03156569	-1.7926621	1.8597133	0
24	NOC2L	0.17938416	0.082123026	-1.126242	1.4753442	0
25	KLHL17	0.015785018	0.005244985	-1.5714089	0.4879355	0
26	PLEKHN1	0.013174878	0.024180444	0.8710962	0.3280666	0
27	PERM1	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
28	AL645608.7	0.008575209	-8.731149e-11	-6.438828	0.49369138	0
29	HES4	0.2734106	0.25686643	-0.09001685	0.09448722	0
30	ISG15	0.27174	0.38102326	0.48749992	0.69749075	0
31	AL645608.1	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
32	AGRN	0.08454774	0.081394635	-0.054766495	0.031068673	0
33	AL645608.5	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
34	AL645608.8	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
35	RNF223	-5.820766e-11	0.0065121795	6.047055	0.49497995	0
36	C1orf159	0.030325774	0.017343221	-0.80262744	0.31104246	0
37	AL390719.3	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
38	LINC01342	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
39	AL390719.2	-5.820766e-11	0.0071925027	6.188343	0.4949792	0
40	TTLL10-AS1	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
41	TTLL10	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
42	TNFRSF18	0.015384317	0.008511115	-0.8465358	0.20220906	0
43	TNFRSF4	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
44	SDF4	0.40135095	0.47580796	0.24545884	0.51942855	0
45	B3GALT6	0.16131766	0.105941944	-0.6061634	0.4785718	0
46	C1QTNF12	0.02551937	0.02572099	0.011309336	0.0033665681	0
47	AL162741.1	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
48	UBE2J2	0.26890206	0.22625417	-0.24903527	0.3156011	0
49	LINC01786	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
50	SCNN1D	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
51	ACAP3	0.05738705	0.032231566	-0.8302936	0.47418517	0
52	PUSL1	0.0911721	0.10711346	0.23224011	0.17507058	0
53	INTS11	0.13276832	0.16339445	0.2992445	0.3207464	0
54	AL139287.1	-5.820766e-11	-8.731149e-11	-4.2995669e-07	1.949199	0
55	CPTP	0.06319932	0.045125995	-0.4850377	0.29653013	0
