	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
1212	ANGPTL3	0.5135719	1.3060111	1.3463584	11.3447275	1
2688	CFHR1	0.023328852	0.23598334	3.3329382	7.376108	1
2899	G0S2	0.8611652	0.19876286	-2.1146836	5.540567	1
4576	CNOT11	0.61153746	0.22391489	-1.4490821	6.789329	1
4771	INSIG2	0.89689314	0.39107376	-1.1972874	6.959779	1
4931	HNMT	1.0208561	0.36714715	-1.4750978	8.739738	1
6581	SELENOK	0.72766125	0.35170442	-1.0486917	5.502804	1
7519	SLC2A2	-5.820766e-11	0.13512282	10.401124	5.523402	1
8418	UGT2A3	0.12382393	0.4018794	1.6976668	5.630432	1
8454	GC	0.02013154	0.66467965	5.0381985	15.374185	1
8462	ALB	2.4052634	5.127535	1.0920389	15.100743	1
8767	CFI	0.20960657	0.50575906	1.2703635	5.8021784	1
9324	ANKRD37	1.0020041	0.20542766	-2.285628	7.7638173	1
9682	PRLR	0.045840356	0.23052843	2.3277364	6.14999	1
9752	GHR	0.026102083	0.19851266	2.9222043	6.7072244	1
9768	HMGCS1	0.5130397	1.1416422	1.1538134	7.514264	1
10291	EPB41L4A-AS1	0.9691846	0.3366382	-1.5252929	8.934547	1
10323	CDO1	0.24853136	0.7309758	1.5560127	8.272438	1
10525	LECT2	-5.820766e-11	0.13651392	10.41589	5.4462647	1
13178	ARL4A	0.07648543	0.2781654	1.8613195	5.2160673	1
13884	PEG10	0.42633337	1.0878665	1.3512421	8.431043	1
13934	CYP3A7	0.01199016	0.33453277	4.7906733	9.550908	1
14236	HILPDA	0.8994901	0.11936682	-2.912658	8.559307	1
14652	INSIG1	0.1682057	0.45814863	1.4450465	5.368286	1
15552	TPD52	0.57093763	0.16133569	-1.8226262	6.876766	1
16862	FBP1	0.13934854	0.44719738	1.6815015	5.451003	1
16954	ALDOB	0.07279351	0.34289336	2.2343183	5.630984	1
17316	ASS1	0.20025676	0.5401684	1.4311051	7.7198257	1
17626	ITIH2	0.43307212	1.3532082	1.6434782	16.393929	1
18170	DDIT4	1.7079393	0.77572215	-1.1385432	8.318721	1
18338	GLUD1	0.6261818	1.3729609	1.1325119	8.7332945	1
18493	LOXL4	-5.820766e-11	0.2153806	11.073343	9.874604	1
18639	MXI1	0.6837885	0.18778709	-1.8638952	8.447073	1
19039	SLC22A18	0.20635208	0.5044728	1.2892554	6.115246	1
19841	FADS1	0.6283725	1.3884029	1.1436087	8.8525505	1
19982	TM7SF2	0.44530806	1.0641153	1.2565905	11.606993	1
21158	SLC2A3	1.1183265	0.3161311	-1.8224195	6.148393	1
21359	SLCO1B1	0.017547376	0.33859757	4.262472	10.74357	1
21963	DDIT3	0.77205795	0.21837619	-1.82142	7.111303	1
22454	ISCU	0.56651187	0.14559124	-1.9594467	8.403221	1
24567	ERG28	0.3691907	0.7461768	1.014954	5.9072566	1
24769	SERPINA5	0.48132068	1.0523736	1.1284142	8.188065	1
26245	ANPEP	0.08213452	0.3572257	2.1194234	6.451025	1
26573	NPW	0.14264864	1.226339	3.1029265	21.774277	1
26860	NTAN1	0.16735691	0.40716755	1.2821869	5.322839	1
28130	SERPINF1	0.37305796	0.8317527	1.1565417	8.089898	1
28684	VTN	0.9731027	2.0539212	1.0776389	14.480082	1
29123	ACLY	0.111554116	0.36672232	1.7160449	5.5901914	1
29653	APOH	0.23384203	0.89821786	1.941075	9.470495	1
30054	WDR45B	0.73548377	0.33701453	-1.1256509	5.5132403	1
30401	TTR	0.8077318	1.9145753	1.244973	11.206712	1
34531	SERPIND1	0.33733222	0.7200311	1.0936619	5.674395	1
34964	TST	0.39516506	0.84966826	1.104249	7.660698	1
34968	TMPRSS6	0.16412301	0.4889052	1.5741935	6.633171	1
35592	RGN	0.2727464	0.6082115	1.1567214	5.0467567	1
36042	ACSL4	0.77951545	1.8184949	1.2219896	11.921981	1
