	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-7.2759576e-11	-5.820766e-11	1.7198263e-07	0.74127346	0
1	FAM138A	-7.2759576e-11	-5.820766e-11	1.7198263e-07	0.74127346	0
2	OR4F5	-7.2759576e-11	-5.820766e-11	1.7198263e-07	0.74127346	0
3	AL627309.1	-7.2759576e-11	-5.820766e-11	1.7198263e-07	0.74127346	0
4	AL627309.3	-7.2759576e-11	-5.820766e-11	1.7198263e-07	0.74127346	0
5	AL627309.2	-7.2759576e-11	-5.820766e-11	1.7198263e-07	0.74127346	0
6	AL627309.5	0.014134	0.009199793	-0.6140706	0.18960682	0
7	AL627309.4	0.006103028	-5.820766e-11	-5.9549017	0.494249	0
8	AP006222.2	-7.2759576e-11	-5.820766e-11	1.7198263e-07	0.74127346	0
9	AL732372.1	-7.2759576e-11	-5.820766e-11	1.7198263e-07	0.74127346	0
10	OR4F29	-7.2759576e-11	-5.820766e-11	1.7198263e-07	0.74127346	0
11	AC114498.1	-7.2759576e-11	-5.820766e-11	1.7198263e-07	0.74127346	0
12	OR4F16	-7.2759576e-11	-5.820766e-11	1.7198263e-07	0.74127346	0
13	AL669831.2	-7.2759576e-11	-5.820766e-11	1.7198263e-07	0.74127346	0
14	LINC01409	0.030195216	0.011074283	-1.4389077	0.663229	0
15	FAM87B	-7.2759576e-11	-5.820766e-11	1.7198263e-07	0.74127346	0
16	LINC01128	0.059894916	0.07480618	0.32024455	0.20401916	0
17	LINC00115	0.004834728	-5.820766e-11	-5.6248994	0.4942472	0
18	FAM41C	0.0026307607	0.0054553584	1.024577	0.19247892	0
19	AL645608.6	-7.2759576e-11	-5.820766e-11	1.7198263e-07	0.74127346	0
20	AL645608.2	-7.2759576e-11	-5.820766e-11	1.7198263e-07	0.74127346	0
21	AL645608.4	-7.2759576e-11	0.007994856	6.3389344	0.49369037	0
22	LINC02593	0.0021042328	0.0054553584	1.3336034	0.24563503	0
23	SAMD11	0.314731	0.10960692	-1.520923	3.1907203	0
24	NOC2L	0.10261881	0.17938416	0.8051561	1.0784532	0
25	KLHL17	0.02293114	0.015785018	-0.53591913	0.19647124	0
26	PLEKHN1	0.029491875	0.013174878	-1.1565025	0.5133734	0
27	PERM1	-7.2759576e-11	-5.820766e-11	1.7198263e-07	0.74127346	0
28	AL645608.7	0.017298993	0.008575209	-1.0040333	0.28607288	0
29	HES4	0.38079217	0.2734106	-0.47778594	0.81344306	0
30	ISG15	0.36554548	0.27174	-0.42768788	0.6929773	0
31	AL645608.1	-7.2759576e-11	-5.820766e-11	1.7198263e-07	0.74127346	0
32	AGRN	0.09787224	0.08454774	-0.21090144	0.15937698	0
33	AL645608.5	-7.2759576e-11	-5.820766e-11	1.7198263e-07	0.74127346	0
34	AL645608.8	-7.2759576e-11	-5.820766e-11	1.7198263e-07	0.74127346	0
35	RNF223	-7.2759576e-11	-5.820766e-11	1.7198263e-07	0.74127346	0
36	C1orf159	0.023449223	0.030325774	0.3696145	0.13146533	0
37	AL390719.3	-7.2759576e-11	-5.820766e-11	1.7198263e-07	0.74127346	0
38	LINC01342	-7.2759576e-11	-5.820766e-11	1.7198263e-07	0.74127346	0
39	AL390719.2	-7.2759576e-11	-5.820766e-11	1.7198263e-07	0.74127346	0
40	TTLL10-AS1	-7.2759576e-11	-5.820766e-11	1.7198263e-07	0.74127346	0
41	TTLL10	-7.2759576e-11	-5.820766e-11	1.7198263e-07	0.74127346	0
42	TNFRSF18	-7.2759576e-11	0.015384317	7.274665	0.7503898	0
43	TNFRSF4	-7.2759576e-11	-5.820766e-11	1.7198263e-07	0.74127346	0
44	SDF4	0.483388	0.40135095	-0.2682564	0.61276954	0
45	B3GALT6	0.12501332	0.16131766	0.367563	0.2840671	0
46	C1QTNF12	0.04632481	0.02551937	-0.85766107	0.3700879	0
47	AL162741.1	0.0038239483	-5.820766e-11	-5.294235	0.49424726	0
48	UBE2J2	0.23844565	0.26890206	0.17335172	0.2282606	0
