	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
1	FAM138A	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
2	OR4F5	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
3	AL627309.1	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
4	AL627309.3	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
5	AL627309.2	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
6	AL627309.5	0.00649452	0.023948587	1.8666127	0.620471	0
7	AL627309.4	-1.1641532e-10	0.006682381	6.0837216	0.4949808	0
8	AP006222.2	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
9	AL732372.1	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
10	OR4F29	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
11	AC114498.1	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
12	OR4F16	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
13	AL669831.2	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
14	LINC01409	0.025202904	0.007185821	-1.7961396	0.83183575	0
15	FAM87B	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
16	LINC01128	0.041296992	0.07159618	0.7923703	0.643957	0
17	LINC00115	0.0039049818	-8.731149e-11	-5.323725	0.4962885	0
18	FAM41C	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
19	AL645608.6	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
20	AL645608.2	0.0033112552	-8.731149e-11	-5.092232	0.4962885	0
21	AL645608.4	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
22	LINC02593	0.003304268	0.0032176399	-0.03718729	0.006550282	0
23	SAMD11	0.18413453	0.03156569	-2.540551	4.584792	0
24	NOC2L	0.11124058	0.082123026	-0.43736508	0.36896095	0
25	KLHL17	0.0041713463	0.005244985	0.32349506	0.059045643	0
26	PLEKHN1	0.007043996	0.024180444	1.7649916	0.72649425	0
27	PERM1	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
28	AL645608.7	0.0061194794	-8.731149e-11	-5.958723	0.7118985	0
29	HES4	0.29593313	0.25686643	-0.20417883	0.29262128	0
30	ISG15	0.22906074	0.38102326	0.7338977	1.434017	0
31	AL645608.1	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
32	AGRN	0.0960909	0.081394635	-0.23919532	0.16895142	0
33	AL645608.5	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
34	AL645608.8	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
35	RNF223	0.0057040052	0.0065121795	0.18807703	0.03352512	0
36	C1orf159	0.017105196	0.017343221	0.019822132	0.005888547	0
37	AL390719.3	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
38	LINC01342	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
39	AL390719.2	-1.1641532e-10	0.0071925027	6.1883435	0.4949792	0
40	TTLL10-AS1	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
41	TTLL10	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
42	TNFRSF18	0.003600727	0.008511115	1.2183912	0.22467332	0
43	TNFRSF4	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
44	SDF4	0.5129094	0.47580796	-0.10830277	0.23694736	0
45	B3GALT6	0.11088031	0.105941944	-0.0656687	0.050456602	0
46	C1QTNF12	0.015804943	0.02572099	0.69906914	0.25609297	0
47	AL162741.1	0.004674264	-8.731149e-11	-5.5772076	0.4962892	0
48	UBE2J2	0.23883216	0.22625417	-0.07801918	0.091601916	0
49	LINC01786	0.0074610375	-8.731149e-11	-6.240514	0.74842143	0
50	SCNN1D	0.0017577857	-8.731149e-11	-4.215513	0.49628618	0
51	ACAP3	0.075971	0.032231566	-1.2344033	1.3617284	0
52	PUSL1	0.14111984	0.10711346	-0.39745674	0.40959507	0
53	INTS11	0.13574861	0.16339445	0.2672419	0.3037067	0
54	AL139287.1	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
55	CPTP	0.06233801	0.045125995	-0.46527228	0.29397118	0
56	TAS1R3	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
57	DVL1	0.07088943	0.09857082	0.47501928	0.36048654	0
58	MXRA8	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
59	AURKAIP1	0.84638774	0.88580537	0.06566347	0.19194418	0
60	CCNL2	0.24029024	0.11809405	-1.024221	2.2187936	0
61	MRPL20-AS1	0.043051343	0.028369885	-0.5999689	0.35977763	0
62	MRPL20	0.7114271	0.64587134	-0.13944852	0.41406307	0
63	AL391244.2	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
64	ANKRD65	0.015903106	-8.731149e-11	-7.3222094	1.2945756	0
65	AL391244.1	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
66	TMEM88B	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
67	LINC01770	0.0020989673	-8.731149e-11	-4.4587555	0.49628717	0
68	VWA1	0.3203512	0.21750093	-0.55842	1.1967751	0
69	ATAD3C	0.0060937833	0.006121315	0.0063986783	0.0011047156	0
70	ATAD3B	0.010374925	0.0155066345	0.5752196	0.1743007	0
71	ATAD3A	0.04122448	0.011311678	-1.8564858	1.2441645	0
72	TMEM240	0.009440534	0.011006855	0.21930857	0.05479339	0
73	SSU72	0.4869897	0.55403477	0.18604955	0.48581713	0
74	AL645728.1	0.0030174947	0.004587492	0.58842903	0.11054022	0
75	FNDC10	-1.1641532e-10	0.007052987	6.1604757	0.7904241	0
76	AL691432.4	-1.1641532e-10	0.0038947274	5.320027	0.494978	0
77	AL691432.2	0.0040946584	0.035019156	3.065633	1.2767509	0
78	MIB2	0.082418844	0.0843931	0.03410997	0.019686794	0
79	MMP23B	0.019185292	0.003063109	-2.6080856	0.85094476	0
80	CDK11B	0.07867034	0.10734869	0.44792354	0.39178738	0
81	FO704657.1	-1.1641532e-10	0.0090162	6.5103626	0.7851868	0
82	SLC35E2B	0.057949692	0.097236544	0.7456931	0.67463064	0
83	CDK11A	0.09772517	0.109123535	0.15900622	0.11895629	0
84	SLC35E2A	0.012558173	0.007968881	-0.64962864	0.1897343	0
85	NADK	0.12365209	0.12637328	0.03137965	0.027533237	0
86	GNB1	0.5483083	0.42254314	-0.3758105	1.1609166	0
87	AL109917.1	0.026393315	-8.731149e-11	-8.049486	0.9029888	0
88	CALML6	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
89	TMEM52	0.02083319	0.020151319	-0.047776338	0.017849406	0
90	CFAP74	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
91	AL391845.2	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
92	GABRD	0.0035026434	-8.731149e-11	-5.170985	0.49628833	0
93	AL391845.1	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
94	PRKCZ	0.13333979	0.055228774	-1.2700871	1.8174858	0
95	AL590822.2	-1.1641532e-10	0.009415327	6.572183	0.49497887	0
96	PRKCZ-AS1	0.007940301	-8.731149e-11	-6.329179	0.49628752	0
97	FAAP20	0.4364934	0.31682825	-0.46213406	1.2850845	0
98	AL590822.1	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
99	SKI	0.17130403	0.0726722	-1.2359416	2.2001472	0
100	AL590822.3	-1.1641532e-10	0.010741961	6.7604837	0.4949791	0
101	MORN1	0.0066825296	0.0046129436	-0.525195	0.12173362	0
102	AL589739.1	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
103	AL513477.2	0.0045037274	-8.731149e-11	-5.5247316	0.49628827	0
104	RER1	0.5340079	0.344785	-0.6310159	2.5309596	0
105	PEX10	0.049426954	0.051630724	0.062807545	0.03257733	0
106	PLCH2	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
107	AL139246.1	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
108	AL139246.4	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
109	PANK4	0.0109059485	0.015519531	0.50506765	0.14923725	0
110	HES5	0.0059757186	-8.731149e-11	-5.9249845	0.4962877	0
111	AL139246.5	0.03876389	0.025346607	-0.610957	0.2905191	0
112	TNFRSF14-AS1	0.021022826	-8.731149e-11	-7.7226605	0.9737095	0
113	TNFRSF14	0.036191255	0.035797156	-0.015752358	0.005736175	0
114	AL139246.3	-1.1641532e-10	-8.731149e-11	3.4396527e-07	1.5661306	0
