	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
23	SAMD11	0.06026967	0.23326346	1.9506829	16.061213	1
180	ESPN	0.13806878	0.02309146	-2.5747662	5.1416416	1
291	PLOD1	1.465244	0.6389997	-1.1971265	40.43193	1
339	KAZN	0.10747036	0.21697895	1.0129392	5.5062	1
464	CAMK2N1	0.1753044	0.36237788	1.047208	8.723265	1
467	CDA	0.009471719	0.07364209	2.9456384	10.391852	1
477	ECE1	0.85651684	0.32716376	-1.3881963	24.841208	1
547	RCAN3	0.16394117	0.063117065	-1.3756721	5.0425305	1
570	MAN1C1	0.1243503	0.02866951	-2.1129572	5.3111186	1
687	SDC3	0.45801365	0.18134958	-1.3361368	12.24054	1
697	TINAGL1	-1.3096724e-10	0.04688362	8.876016	11.6019945	1
767	GJA4	0.0020275884	0.17834108	6.3900847	33.49305	1
832	POU3F1	0.007870299	0.052681405	2.727324	5.5449204	1
854	HEYL	0.08538603	0.1878887	1.1368854	5.7891827	1
875	COL9A2	0.19014606	0.047113992	-2.01058	6.4066257	1
922	P3H1	0.7935794	0.38402084	-1.0469962	15.645764	1
930	SLC2A1	0.6932184	0.25579622	-1.4379593	14.831986	1
1026	CYP4X1	-1.3096724e-10	0.025332721	7.990544	6.9670835	1
1166	PLPP3	0.0587829	0.18211366	1.6297104	9.702154	1
1209	KANK4	0.0104818875	0.057981744	2.456488	6.624796	1
1230	PGM1	0.44301924	0.22105312	-1.0026493	8.19066	1
1231	ROR1	0.02913737	0.14317784	2.29293	12.933437	1
1240	AK4	0.55442935	0.19072668	-1.539001	18.075996	1
1247	PDE4B	0.27236176	0.09330636	-1.5444609	7.1198754	1
1263	GADD45A	0.7180888	0.35023192	-1.0356408	13.288741	1
1336	PIGK	0.29027	0.12191512	-1.2508324	7.3325386	1
1352	PTGFR	-1.3096724e-10	0.020984042	7.72001	5.0458074	1
1376	TTLL7	0.27563712	0.12941158	-1.0902123	5.838745	1
1432	GBP1	0.010312208	0.080911726	2.9598548	12.310792	1
1433	GBP2	0.3238522	0.07543096	-2.1006408	10.621929	1
1436	GBP4	0.47544727	0.09175117	-2.3722186	15.989284	1
1484	BCAR3	0.18444104	0.05190838	-1.8271257	6.0937147	1
1551	VCAM1	0.033118863	0.12368954	1.8978149	7.7055936	1
1565	COL11A1	0.618626	0.2285639	-1.436072	12.786521	1
1708	SLC16A1	0.4662179	0.18649974	-1.3213668	10.79822	1
1741	NGF	0.020351315	0.07429244	1.8629625	5.3569818	1
1752	ATP1A1	0.78696406	0.3713623	-1.0832654	16.580093	1
1759	IGSF3	0.20556518	0.07154712	-1.5213169	6.9263787	1
1790	LINC00622	-1.3096724e-10	0.022685608	7.831981	6.863196	1
1844	ITGA10	0.20950398	0.05251983	-1.9939874	6.53525	1
1935	ECM1	0.7814458	0.1468135	-2.4113634	34.443115	1
2004	S100A10	2.1976745	0.64358467	-1.7716173	44.55244	1
2072	S100A16	0.62858397	0.18242373	-1.7842511	20.92848	1
2080	NPR1	0.24771829	0.08179783	-1.5973855	6.4916396	1
2084	SLC27A3	0.62753445	0.26738405	-1.2304717	10.989435	1
2297	NCSTN	0.30462554	0.14776905	-1.0431902	6.7693224	1
2342	FCGR2A	0.005593303	0.041169256	2.8577297	5.9892726	1
2354	OLFML2B	-1.3096724e-10	0.024617177	7.949372	6.596071	1
2370	RGS5	0.86017835	0.41812754	-1.0405155	9.787665	1
2375	PBX1	0.20746478	0.517305	1.3177323	21.633127	1
2414	CREG1	0.40902612	0.17992835	-1.1843215	8.677697	1
2437	ATP1B1	0.8535505	0.31616247	-1.4325233	18.975033	1
2477	DNM3OS	0.16132428	0.49251118	1.6095917	24.675056	1
2536	C1orf220	-1.3096724e-10	0.017592661	7.467009	5.086428	1
2561	QSOX1	0.58241045	0.20050626	-1.5379174	15.247447	1
2640	PTGS2	0.31705153	0.08062533	-1.9740788	10.343619	1
2686	CFH	0.27191436	0.1185035	-1.1975361	5.974186	1
2740	CSRP1	0.10024069	0.20808807	1.0529805	5.5056977	1
2798	REN	0.005580436	0.09534095	4.0705347	9.970483	1
2896	CAMK1G	-1.3096724e-10	0.04983605	8.96394	12.477501	1
3155	GALNT2	0.40854484	0.15838377	-1.3665124	11.285422	1
3180	EGLN1	0.3427322	0.16122216	-1.0875579	7.3549185	1
3268	CHRM3	-1.3096724e-10	0.030748114	8.26904	6.827743	1
3269	CHRM3-AS2	-1.3096724e-10	0.020884968	7.7132144	5.3903656	1
3325	KIF26B	0.0844515	0.18560891	1.1351408	5.99476	1
3470	COLEC11	1.0450962	0.278061	-1.9097818	23.246656	1
3545	ODC1	0.38300863	0.1718311	-1.1559229	8.394119	1
3623	OSR1	0.016012168	0.08510978	2.4028685	8.337907	1
3819	LTBP1	0.6049002	0.18729587	-1.6908464	16.706388	1
3849	QPCT	0.15699561	0.03342626	-2.2282794	5.17119	1
3886	SLC8A1	0.05881473	0.19901325	1.7568889	12.395492	1
3914	PLEKHH2	0.06055093	0.23888204	1.9783005	17.861824	1
3983	NRXN1	0.14472102	0.38251233	1.4016124	12.325058	1
4007	EML6	-1.3096724e-10	0.051211778	9.003148	11.737765	1
4026	CCDC85A	-1.3096724e-10	0.03854591	8.594173	9.611293	1
4111	MEIS1	0.058378037	0.35935032	2.6198256	38.09734	1
4112	MEIS1-AS2	0.0025167565	0.038409684	3.8793697	7.2966385	1
4227	MTHFD2	0.6009479	0.25739598	-1.2229302	11.261083	1
4250	LOXL3	0.61667883	0.19390866	-1.6686323	19.120102	1
4361	CYTOR	0.15859544	0.34747204	1.1310512	9.123915	1
4377	IGKC	0.20737205	0.046805933	-2.1450746	5.9055567	1
4542	MGAT4A	0.008616414	0.04347697	2.3217592	5.108136	1
4557	AFF3	0.0057639075	0.07258932	3.6318092	12.355826	1
4574	TBC1D8	0.012349404	0.053555563	2.1076512	5.3368363	1
4659	SLC5A7	-1.3096724e-10	0.07845263	9.617517	18.148224	1
4664	SULT1C4	0.111378916	0.24819262	1.1552706	7.9756804	1
4692	MIR4435-2HG	0.10990524	0.31125644	1.5009948	12.761011	1
4696	AC108463.3	0.0026822265	0.07751428	4.8020105	17.03349	1
4707	TMEM87B	0.29685727	0.13788234	-1.1057717	5.9953647	1
4720	SLC20A1	0.30286258	0.09171846	-1.7222834	8.832471	1
4771	INSIG2	0.48273963	0.20588943	-1.2289736	10.8023205	1
4912	MGAT5	0.21669567	0.096516915	-1.1659882	5.0831714	1
4929	CXCR4	0.23899767	0.06787316	-1.814563	5.9433393	1
4946	LRP1B	0.018871296	0.11531899	2.6049905	10.683868	1
4981	KIF5C	0.031924073	0.255073	2.994247	33.245403	1
5035	GALNT5	0.1096383	0.019831102	-2.4609737	5.4722667	1
5096	CSRNP3	0.12185147	0.24962117	1.034011	6.4213753	1
5111	B3GALT1	-1.3096724e-10	0.017179044	7.4328814	5.154413	1
5128	KLHL23	0.1033007	0.27746266	1.4245676	11.141446	1
5138	AC007405.3	0.12103387	0.021293659	-2.5013473	5.574048	1
5163	PDK1	0.3960467	0.16408862	-1.2706805	10.594519	1
5196	HOXD11	0.003012543	0.086921394	4.8052044	18.765247	1
5197	HOXD10	-1.3096724e-10	0.032361932	8.3426075	8.283132	1
5198	HOXD-AS2	-1.3096724e-10	0.063430175	9.3113	16.663733	1
5199	HOXD9	-1.3096724e-10	0.043710005	8.775119	11.386037	1
5200	HOXD8	0.004951197	0.06717965	3.735473	12.861205	1
5208	LINC01117	-1.3096724e-10	0.019383669	7.6061234	5.115932	1
5212	LINC01116	0.014247936	0.09595434	2.7430077	12.757933	1
5260	ITGA4	0.15648624	0.5543707	1.8241538	31.868477	1
5268	PDE1A	0.020301625	0.31120396	3.931568	44.55244	1
5271	FRZB	0.09413119	0.3315754	1.8154954	16.383516	1
5309	SLC40A1	0.07934347	0.17403866	1.132236	5.799459	1
5361	HECW2	0.26684695	0.10359007	-1.3642752	6.441529	1
5382	PLCL1	0.02762653	0.1658021	2.5809934	17.432198	1
5458	NRP2	0.1499423	0.6101708	2.0240803	35.21038	1
5569	IGFBP2	2.6755743	1.3106	-1.0295649	44.55244	1
5583	DIRC3	0.0027422418	0.09461879	5.0585494	18.655882	1
5642	PTPRN	0.21241486	0.04897015	-2.114646	7.512897	1
5655	CHPF	1.1221845	0.32379073	-1.7928594	44.55244	1
5674	EPHA4	0.028005645	0.15106457	2.4271884	12.409969	1
5683	ACSL3	0.74040824	0.35582414	-1.056946	16.282782	1
5688	SCG2	0.35668483	0.099075004	-1.8470057	5.194471	1
5693	SERPINE2	1.970982	0.56946677	-1.7910508	41.25952	1
5698	DOCK10	-1.3096724e-10	0.024416868	7.9376326	7.499407	1
5729	PID1	0.04373037	0.12837122	1.5514424	6.122754	1
5978	ITPR1	0.052913923	0.12792419	1.2719731	5.1193905	1
5982	BHLHE40	0.22311151	0.07148424	-1.6406975	6.969353	1
6083	FBLN2	0.77447593	0.16664001	-2.2158062	28.777525	1
6177	LRRC3B	0.006369893	0.041449636	2.6830223	5.2751718	1
6196	TGFBR2	0.7402207	0.328994	-1.1696508	16.168776	1
6420	PFKFB4	0.26528868	0.07622214	-1.7979333	9.61356	1
6605	IL17RD	0.0020771206	0.050821487	4.5477815	10.929135	1
6644	PTPRG	0.19260153	0.41979626	1.1236649	13.22915	1
6671	ADAMTS9	0.10246639	0.21247357	1.0514041	5.786745	1
6697	FRMD4B	0.47173116	0.112391874	-2.0684497	16.57732	1
6754	GBE1	0.48916003	0.13859667	-1.8186684	18.06942	1
6781	PROS1	0.43307778	0.17726514	-1.2882367	11.823147	1
6818	DCBLD2	0.1687195	0.34409967	1.0277641	8.946804	1
6827	FILIP1L	0.030962547	0.1547059	2.3172123	14.03652	1
6833	TMEM45A	0.5823057	0.25584203	-1.1862075	13.0403	1
6922	BOC	0.041004173	0.16690835	2.0225635	12.868662	1
7007	HCLS1	0.003012543	0.042442326	3.7727332	7.818341	1
7029	SEMA5B	0.047104232	0.18246043	1.951386	13.311762	1
7037	MYLK	0.038896754	0.18047757	2.2111928	16.725471	1
7096	MGLL	0.35102835	0.13101155	-1.4212037	8.273688	1
7275	CHST2	0.07497317	0.2714146	1.8546603	16.2695	1
7281	DIPK2A	0.27354342	0.12621629	-1.1152563	5.2555327	1
7287	PLOD2	0.87098193	0.37180683	-1.2278672	20.39559	1
7308	AGTR1	0.015297917	0.07257719	2.2387676	6.224369	1
7321	TM4SF1	0.978684	0.25557372	-1.9366868	23.907646	1
7325	WWTR1	1.2703601	0.48890477	-1.3774307	34.289642	1
7371	P2RY1	0.39751893	0.1895817	-1.0678058	6.7455535	1
7373	RAP2B	0.59689516	0.28883886	-1.0469551	11.108158	1
7407	TIPARP	0.3947347	0.1901287	-1.0535138	6.920194	1
7451	PPM1L	0.018351726	0.13507429	2.872993	18.680838	1
7467	SLITRK3	-1.3096724e-10	0.053781874	9.073658	12.110154	1
7487	MECOM	0.0741144	0.29586664	1.9956635	19.708477	1
7520	TNIK	0.35998803	0.15972716	-1.1718371	7.5224385	1
7686	ST6GAL1	0.15964864	0.046542667	-1.7760814	5.7809296	1
7690	MASP1	0.88511145	0.20696792	-2.0959182	32.73182	1
7760	ATP13A3	0.46959093	0.23001091	-1.0293822	8.092081	1
7767	LSG1	0.21867192	0.09818665	-1.1543602	5.237737	1
7791	TFRC	0.4053318	0.16031621	-1.3376392	8.487756	1
7902	C4orf48	1.1850629	0.56064737	-1.0796626	25.43018	1
7947	CYTL1	0.3964171	0.10493272	-1.9165442	11.527461	1
8049	NKX3-2	0.0022010254	0.03444263	3.908029	6.7913423	1
8107	KCNIP4-IT1	0.0065644346	0.100931905	3.9221847	13.674987	1
8118	SOD3	0.23296319	0.04155425	-2.4841855	8.622387	1
8267	GABRA2	0.025140017	0.111575104	2.1455228	10.264842	1
8427	SULT1E1	-1.3096724e-10	0.08105111	9.664469	16.517925	1
8488	PARM1	-1.3096724e-10	0.026130987	8.0351305	7.4830227	1
8517	STBD1	0.20642854	0.08139796	-1.3415053	5.8459015	1
