	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	1.4479156e-09	1.2732926e-09	-2.4937506e-06	3.9291143	0
1	FAM138A	1.4479156e-09	1.2732926e-09	-2.4937506e-06	3.9291143	0
2	OR4F5	1.4479156e-09	1.2732926e-09	-2.4937506e-06	3.9291143	0
3	AL627309.1	0.0019253808	0.003561854	0.85438114	0.45204568	0
4	AL627309.3	1.4479156e-09	0.00033163998	2.1098077	0.4982803	0
5	AL627309.2	1.4479156e-09	1.2732926e-09	-2.4937506e-06	3.9291143	0
6	AL627309.5	0.012868805	0.042151686	1.7039634	6.8223267	1
7	AL627309.4	1.4479156e-09	0.0039628353	5.344394	2.0276706	0
8	AP006222.2	1.4479156e-09	1.2732926e-09	-2.4937506e-06	3.9291143	0
9	AL732372.1	1.4479156e-09	1.2732926e-09	-2.4937506e-06	3.9291143	0
10	OR4F29	1.4479156e-09	1.2732926e-09	-2.4937506e-06	3.9291143	0
11	AC114498.1	1.4479156e-09	1.2732926e-09	-2.4937506e-06	3.9291143	0
12	OR4F16	1.4479156e-09	1.2732926e-09	-2.4937506e-06	3.9291143	0
13	AL669831.2	0.002189634	0.0004461154	-2.0678391	0.7112666	0
14	LINC01409	0.021356873	0.047259368	1.14221	4.234541	0
15	FAM87B	1.4479156e-09	0.00030799967	2.0285473	0.49829763	0
16	LINC01128	0.048038833	0.091718614	0.93158543	6.0488963	0
17	LINC00115	0.00916696	0.0108186435	0.23662564	0.20801885	0
18	FAM41C	0.0061227563	0.006998993	0.19006066	0.12305807	0
19	AL645608.6	0.0014086871	0.0010914889	-0.34052816	0.095864855	0
20	AL645608.2	0.0030349507	0.008047831	1.3779733	1.1912519	0
21	AL645608.4	0.000580169	0.0012064815	0.9417213	0.2635044	0
22	LINC02593	0.020694068	0.006315558	-1.6965255	3.3934133	0
23	SAMD11	0.11113922	0.059977733	-0.88876325	6.390592	0
24	NOC2L	0.1701715	0.22728476	0.41729861	4.0865803	0
25	KLHL17	0.013568683	0.025892679	0.9272311	1.9737427	0
26	PLEKHN1	0.0010228491	0.004048344	1.8853716	1.1212428	0
27	PERM1	1.4479156e-09	0.0003813892	2.2671828	0.498279	0
28	AL645608.7	0.00947963	0.014208532	0.57883376	0.6084822	0
29	HES4	0.4830997	0.5366854	0.15172592	1.7335557	0
30	ISG15	0.16391164	0.24941832	0.6053475	7.625947	0
31	AL645608.1	1.4479156e-09	1.2732926e-09	-2.4937506e-06	3.9291143	0
32	AGRN	0.13851497	0.15754433	0.1855902	0.87926805	0
33	AL645608.5	1.4479156e-09	1.2732926e-09	-2.4937506e-06	3.9291143	0
34	AL645608.8	1.4479156e-09	1.2732926e-09	-2.4937506e-06	3.9291143	0
35	RNF223	1.4479156e-09	1.2732926e-09	-2.4937506e-06	3.9291143	0
36	C1orf159	0.030392943	0.021491583	-0.49800637	0.96950555	0
