	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
20	AL645608.2	0.024915587	0.00050681486	-5.365427	8.43758	1
23	SAMD11	0.48292813	0.16849858	-1.5185148	44.55244	1
58	MXRA8	0.33067608	0.15398884	-1.1020924	22.383947	1
79	MMP23B	0.23749821	0.07139584	-1.7325928	29.051565	1
142	SMIM1	0.15770698	0.047666285	-1.7240963	19.234459	1
173	ICMT	0.07192331	0.15958887	1.1487281	10.571084	1
177	ACOT7	0.020866036	0.1020832	2.285032	15.360236	1
252	CENPS	0.036661215	0.15248264	2.0533345	21.41616	1
253	CORT	0.0033081803	0.025997737	2.936851	5.5379395	1
374	HSPB7	0.07913799	0.0123937	-2.6649914	15.954949	1
519	E2F2	0.0013142567	0.05942815	5.3954563	14.808942	1
530	HMGCL	0.16714312	0.080791	-1.0478958	10.414004	1
576	AUNIP	0.00300193	0.052144192	4.074033	12.188786	1
641	RPA2	0.13640475	0.34527484	1.3392117	29.647005	1
654	RCC1	0.037796855	0.09776446	1.368707	8.485427	1
694	SERINC2	0.1749685	0.067020044	-1.383104	15.47186	1
729	FAM229A	0.08174048	0.02645132	-1.6240311	9.811582	1
767	GJA4	0.0021635434	0.0973977	5.4287133	23.781403	1
783	CLSPN	0.022157647	0.72772247	5.0312138	44.55244	1
797	SH3D21	0.09143557	0.028391184	-1.6838168	11.187391	1
820	CDCA8	0.006178033	0.5084522	6.3399396	44.55244	1
832	POU3F1	0.17816687	0.058934078	-1.5944185	17.23938	1
842	MYCBP	0.081014976	0.16897756	1.0596449	10.26753	1
854	HEYL	0.08313638	0.20807198	1.3224897	16.567251	1
930	SLC2A1	0.13375981	0.04393281	-1.604072	14.823529	1
942	CDC20	0.0115471715	0.42575717	5.192318	44.55244	1
973	KIF2C	0.003071572	0.53641623	7.40228	44.55244	1
988	TOE1	0.05579023	0.11208815	1.0052522	6.3702965	1
1008	RAD54L	0.0030888312	0.06639492	4.3821445	16.214762	1
1034	STIL	0.010821467	0.14639474	3.7456102	33.494366	1
1041	TRABD2B	0.052938122	0.012215859	-2.1065125	8.384529	1
1066	CDKN2C	0.0014396593	0.08723628	5.825898	22.642105	1
1090	ORC1	0.0031953636	0.06135249	4.220962	15.155497	1
1122	NDC1	0.021835689	0.06507833	1.5711125	7.0897775	1
1149	DHCR24	0.05201258	0.16205437	1.6376643	17.017195	1
1209	KANK4	0.05679836	0.020597251	-1.458948	6.1583824	1
1210	USP1	0.13387541	0.6575916	2.2954428	44.55244	1
1226	ITGB3BP	0.12496872	0.5366638	2.1015663	44.55244	1
1240	AK4	0.13084345	0.046831794	-1.4803063	12.607835	1
1247	PDE4B	0.06310991	0.022399059	-1.4902862	6.5354757	1
1269	DEPDC1	0.0042916257	0.4231187	6.5905046	44.55244	1
1352	PTGFR	0.077596754	0.024588566	-1.6540112	8.136495	1
1376	TTLL7	0.0682175	0.14693353	1.105818	9.46947	1
1445	LRRC8C	0.009069345	0.042551145	2.217694	6.515291	1
1463	CDC7	0.065325595	0.16160774	1.3054618	12.905865	1
1479	TMED5	0.115377635	0.23170716	1.0053117	12.968387	1
1480	CCDC18	0.022538349	0.28176516	3.6381645	44.55244	1
1481	CCDC18-AS1	0.28724873	0.12125682	-1.2435474	23.374874	1
1538	SASS6	0.03886952	0.18764591	2.2683635	28.33578	1
1562	OLFM3	0.097373456	0.04377903	-1.1514777	6.430828	1
1580	NTNG1	0.11006811	0.050733037	-1.1158683	6.9665875	1
1599	GPSM2	0.12804082	0.3121004	1.2847422	24.655869	1
1604	TMEM167B	0.18460539	0.09124704	-1.0157961	11.038015	1
1610	PSRC1	0.025065439	0.28868774	3.5204937	44.55244	1
1612	SORT1	0.05347761	0.11972854	1.1612694	8.415458	1
1626	GSTM2	0.14224231	0.054140475	-1.3919228	13.175963	1
1649	RBM15	0.0425357	0.114208706	1.4228014	10.021048	1
1721	DCLRE1B	0.01787855	0.07209929	2.0057082	10.048417	1
1743	VANGL1	0.037884235	0.08156943	1.1043954	5.4740176	1
1766	TTF2	0.034959767	0.21435753	2.6128037	37.14216	1
1792	PHGDH	0.25061673	0.72997963	1.5419958	44.55244	1
1829	SRGAP2B	0.058921624	0.13714503	1.2174383	10.235625	1
1853	TXNIP	1.6713899	0.6357431	-1.394392	44.55244	1
1903	HIST2H2BF	0.003441377	0.035149734	3.31523	8.186886	1
1914	HIST2H2AC	0.09456135	0.3110204	1.7166255	33.83601	1
1915	HIST2H2AB	0.003934062	0.038414907	3.255112	8.3821535	1
1925	ANP32E	0.47192508	1.1265279	1.2550757	44.55244	1
2072	S100A16	0.14088595	0.057008497	-1.303774	11.371119	1
2117	KCNN3	0.05980407	0.024579933	-1.2793156	5.066774	1
2120	PBXIP1	0.23911543	0.10078516	-1.2455965	19.665068	1
2124	CKS1B	0.3229989	1.3180777	2.0284972	44.55244	1
2133	EFNA3	0.05923792	0.015508928	-1.9265829	8.216279	1
2193	IQGAP3	0.0019184375	0.11062195	5.7775583	30.052717	1
2279	TAGLN2	0.13205472	0.36075878	1.4492064	32.405544	1
2331	APOA2	0.033299524	0.007771167	-2.0851781	5.6563125	1
2354	OLFML2B	0.005748806	0.039515186	2.7598395	7.600861	1
2370	RGS5	0.039400384	0.37951422	3.2645953	44.55244	1
2374	NUF2	0.0028467188	0.5053599	7.4223433	44.55244	1
2391	UCK2	0.024320878	0.062114913	1.3491454	5.2884192	1
2446	C1orf112	0.009442656	0.08301414	3.122631	16.690615	1
2495	CENPL	0.04000415	0.22163741	2.4670286	37.40451	1
2496	DARS2	0.024274228	0.063498944	1.3836462	5.7037168	1
2589	RGS16	0.050179522	0.16045727	1.6750451	16.766209	1
2621	NIBAN1	0.0049149627	0.08474087	4.0804486	19.85451	1
2675	B3GALT2	0.045563307	0.0046044337	-3.2789423	10.587709	1
2693	ASPM	0.015934557	1.1465422	6.160087	44.55244	1
2705	PTPRC	0.018603804	0.0015710976	-3.4844637	5.288461	1
2719	KIF14	0.006384453	0.3660224	5.8191977	44.55244	1
2725	KIF21B	0.024886167	0.07502479	1.5881596	8.083948	1
2734	TNNT2	0.1911683	0.032241076	-2.564158	34.199306	1
2737	TNNI1	0.21693623	0.05188449	-2.0617826	31.611696	1
2759	UBE2T	0.030438183	0.6130439	4.3275394	44.55244	1
2766	PCAT6	0.07877334	0.027238954	-1.5285798	8.5386	1
2772	PPFIA4	0.040709153	0.010246439	-1.9797586	6.4488816	1
2801	PLEKHA6	0.08689843	0.035913974	-1.2724326	7.395626	1
2870	CD55	0.015283612	0.06259199	2.026887	8.759371	1
2882	PLXNA2	0.115977556	0.055902813	-1.0515178	7.2928534	1
2899	G0S2	0.40428853	0.18539777	-1.1243402	21.901537	1
2909	HHAT	0.043950412	0.015555739	-1.4924641	5.001823	1
2925	NEK2	0.0013977377	0.2566825	7.421618	44.55244	1
2930	INTS7	0.022529736	0.07072878	1.646116	7.6045666	1
2931	DTL	0.016628852	0.24800888	3.890563	44.55244	1
2964	PROX1	0.0651961	0.021805275	-1.5757184	7.0392537	1
2971	CENPF	0.0689091	1.9163787	4.7955275	44.55244	1
3010	MARK1	0.037690174	0.07819614	1.0509299	5.0107656	1
3046	SUSD4	0.019039543	0.058951143	1.6254086	6.6097336	1
3066	LBR	0.28400043	0.6789662	1.2571514	44.55244	1
3087	LIN9	0.034452356	0.10396777	1.5906674	10.879959	1
3088	PARP1	0.516998	1.1070939	1.0983982	44.55244	1
3145	CCSAP	0.0416427	0.104520135	1.3255647	8.638014	1
3198	KCNK1	0.054846186	0.018298779	-1.5784093	6.4205246	1
3276	GREM2	0.03978701	0.004304126	-3.1789916	8.453021	1
3287	OPN3	0.03476617	0.078568004	1.173949	5.468644	1
3291	EXO1	0.004491781	0.08114437	4.145142	19.72011	1
3294	PLD5	0.05632716	0.012038941	-2.2167473	9.294579	1
3325	KIF26B	0.41395992	0.18103859	-1.1927456	30.570732	1
3343	ZNF695	0.0070204968	0.07601048	3.4180453	16.330124	1
3470	COLEC11	0.17427789	0.04950702	-1.813601	21.080908	1
3542	RRM2	0.008614422	0.63271976	6.1822457	44.55244	1
3611	SMC6	0.1698719	0.35022044	1.043379	20.872284	1
3612	GEN1	0.017822942	0.1444423	3.0116124	28.26759	1
3623	OSR1	0.16655873	0.064912714	-1.358103	13.969171	1
3685	CENPO	0.020603372	0.1614344	2.963904	31.40347	1
3714	CENPA	0.002795325	0.37536314	7.018802	44.55244	1
3733	SLC5A6	0.031973213	0.07385096	1.2052	5.4392405	1
3780	CLIP4	0.046685733	0.012265602	-1.9197363	6.9554367	1
3862	ATL2	0.055294614	0.11300543	1.0298505	6.5963855	1
3940	EPAS1	0.053842958	0.10938691	1.0212519	6.453984	1
3965	MSH2	0.15155992	0.39900428	1.3959258	36.281796	1
3995	CHAC2	0.006949873	0.040706255	2.533121	7.1743617	1
4030	FANCL	0.09284591	0.19517069	1.071012	11.356477	1
4050	KIAA1841	0.05791042	0.13255735	1.1933206	9.252753	1
4223	BOLA3	0.12873195	0.26650372	1.0492064	15.709059	1
4227	MTHFD2	0.10702056	0.2521839	1.2358128	18.537502	1
4235	INO80B	0.07430785	0.03385106	-1.1319982	5.499126	1
4257	HK2	0.04203806	0.013300544	-1.6528324	5.12264	1
4321	CAPG	0.028534422	0.10503321	1.8763961	12.773212	1
4330	TMEM150A	0.061873253	0.017663222	-1.8027526	8.25427	1
