	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
25	AURKAIP1	0.021956798	0.12140799	2.461756	7.950377	1
74	RNF207	0.1131489	0.039189637	-1.5272762	5.3799486	1
137	NPPA	3.160366	0.08896933	-5.1490645	44.55244	1
138	NPPB	0.0895996	1.3969839e-09	-9.808938	13.057362	1
182	PLEKHM2	0.015665395	0.08593775	2.4482086	6.059719	1
190	HSPB7	0.23962614	2.3094122	3.268129	44.55244	1
226	MICOS10	0.22066464	0.09727675	-1.1808598	6.8135624	1
234	PLA2G5	0.041213542	1.3969839e-09	-8.690451	6.1918693	1
255	HSPG2	0.028333906	0.24292672	3.0954306	18.861084	1
296	RSRP1	0.062688544	0.19967176	1.6697793	8.842883	1
303	SELENON	0.040628187	0.12864663	1.6604351	5.593279	1
373	SRSF4	1.0768417e-09	0.06647461	9.378813	7.477945	1
483	NDUFS5	0.16751823	0.056021992	-1.5785408	7.7304344	1
510	CITED4	0.03414798	0.13844687	2.016283	7.6987257	1
593	UQCRH	0.10024255	0.019030342	-2.3909988	8.155234	1
638	TUT4	0.013756717	0.07767543	2.4887292	5.6065416	1
660	TMEM59	1.0768417e-09	0.05357104	9.067985	6.191534	1
682	DAB1	0.05652241	0.0017849376	-4.908785	7.881568	1
760	NEXN	0.06497504	0.19353184	1.57314	7.793927	1
860	VCAM1	0.029957501	0.1236017	2.0410683	6.8756685	1
867	RNPC3	0.12438539	0.047864694	-1.3759316	5.0194287	1
931	INKA2	0.0036056542	0.058392886	3.980461	5.490544	1
959	CSDE1	0.005077676	0.05819304	3.492947	5.1000853	1
966	CASQ2	0.20865935	0.05026092	-2.0514643	13.686261	1
1012	TXNIP	0.1022835	0.22485588	1.1356589	5.9527826	1
1073	PSMB4	1.0768417e-09	0.04890346	8.936725	5.4516845	1
1140	S100A4	0.007884145	0.061927162	2.9576905	5.0990415	1
1239	NES	0.8245403	0.2628201	-1.6491407	40.81525	1
1365	PBX1	0.07052912	0.20257603	1.5208404	7.8351865	1
1487	RGL1	0.02695886	0.12326819	2.1887975	6.8624077	1
1550	NAV1	0.07696465	0.23189715	1.5899659	9.524136	1
1588	PLEKHA6	0.08452994	0.017948996	-2.2292495	6.3789105	1
1593	NFASC	0.03231056	1.3969839e-09	-8.3403	5.2869353	1
1638	CD34	0.003707732	0.10575893	4.797067	10.643036	1
1642	G0S2	0.08438104	0.20042764	1.2471017	5.978731	1
1670	VASH2	0.074754626	1.3969839e-09	-9.547928	11.10997	1
1673	SMYD2	0.016209055	0.16540667	3.3431444	13.789986	1
1683	TGFB2	0.0685896	0.013168531	-2.3720832	5.484122	1
1731	ITPKB	0.027850283	0.10602854	1.9248779	5.9512854	1
1741	ARF1	0.14084955	0.052739	-1.4155036	5.8467755	1
1752	RNF187	0.17655718	0.07218374	-1.2892092	6.2156863	1
1756	ACTA1	0.635705	0.015820399	-5.319636	44.55244	1
1798	NID1	0.056462076	0.15715158	1.4751675	5.8473372	1
1807	RYR2	0.33339787	0.12796034	-1.3808537	12.72978	1
1813	FH	0.012118658	0.107611716	3.1400175	8.610698	1
1832	HNRNPU	1.0768417e-09	0.08159996	9.674176	9.113837	1
1834	KIF26B	0.010927478	0.08232119	2.9019125	6.4349694	1
1907	ID2	0.05508292	0.0060438295	-3.1670117	5.913229	1
1908	KIDINS220	0.050653655	0.25509351	2.3300078	15.593805	1
1913	IAH1	1.0768417e-09	0.06156377	9.268264	7.0041714	1
1973	ITSN2	1.0768417e-09	0.05240178	9.036207	6.200355	1
1988	HADHB	0.15051064	0.06237097	-1.2695658	5.3010187	1
2015	TRIM54	0.082329996	0.20902924	1.3431535	6.8771377	1
2020	SNX17	0.0013895538	0.08487564	5.8340974	9.412597	1
2052	EHD3	0.17329484	0.42046177	1.2782568	12.597104	1
2082	HNRNPLL	1.0768417e-09	0.05544912	9.117605	6.666015	1
2094	SLC8A1	0.40962213	0.9026809	1.1397301	24.236382	1
2096	PKDCC	0.086161196	0.024795167	-1.7928461	5.108311	1
2113	PREPL	0.070535876	0.013306991	-2.3974156	5.763779	1
2139	NRXN1	0.048733212	0.004137014	-3.526743	5.4668264	1
2176	MDH1	0.14018515	0.057488278	-1.2845153	5.2193	1
2177	UGP2	0.12357659	0.03123696	-1.9806353	8.017906	1
2178	VPS54	0.0034723927	0.05455016	3.9352632	5.257101	1
2297	MAT2A	0.3059512	0.10377787	-1.5588846	13.7644	1
2377	REV1	1.0768417e-09	0.05253638	9.039901	6.1507206	1
2404	FHL2	0.6077374	2.131497	1.8101771	44.55244	1
2556	KCNJ3	0.045285203	0.004062486	-3.4467049	5.3094344	1
2606	DHRS9	0.056080554	0.006262575	-3.1423883	6.1742935	1
