	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
532	SLC2A1	0.0302578	0.030689538	0.020373004	0.014206402	0
2274	HK2	0.02439202	0.021458395	-0.184062	0.123629294	0
3046	BHLHE40	0.030464835	0.019056866	-0.67401123	0.640324	0
4720	ANKRD37	0.0077409726	1.3969839e-09	-6.2929406	1.5829396	0
5461	STC2	0.004367506	0.00795823	0.8509932	0.34984052	0
5989	VEGFA	0.1328576	0.29442096	1.1474038	7.8149667	1
7419	STC1	1.0768417e-09	0.0019446976	4.3538003	0.4983245	0
7809	NDRG1	1.0768417e-09	0.0135916835	7.0971403	2.0748465	0
8905	DDIT4	0.028957443	0.036564052	0.33545852	0.30162665	0
10573	ENO2	0.053665012	0.04849237	-0.14593785	0.15020856	0
10595	SLC2A3	0.0030736811	1.3969839e-09	-4.9880652	0.80058205	0
10718	BHLHE41	0.037252635	0.028619535	-0.37917766	0.3428049	0
11029	DDIT3	0.026352257	0.022585811	-0.22160058	0.15508837	0
11904	EGLN3	0.0445143	0.03961269	-0.16790599	0.15294483	0
16244	TRIB3	0.011073026	0.0038655975	-1.4944098	0.8247291	0
