	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	SAMD11	1.200533e-09	1.3242243e-09	1.7198255e-06	1.9536507	0
1	NOC2L	0.013006863	0.024738707	0.9222676	0.5737694	0
2	KLHL17	0.0032951091	0.0023768696	-0.45494005	0.08554147	0
3	PLEKHN1	1.200533e-09	1.3242243e-09	1.7198255e-06	1.9536507	0
4	PERM1	1.200533e-09	1.3242243e-09	1.7198255e-06	1.9536507	0
5	HES4	0.03228373	0.056001186	0.792762	0.8377736	0
6	ISG15	0.009602966	0.026844593	1.4734982	0.9293108	0
7	AGRN	0.030070169	0.08016639	1.4116733	2.249699	0
8	RNF223	1.200533e-09	1.3242243e-09	1.7198255e-06	1.9536507	0
9	C1orf159	0.008754106	1.3242243e-09	-6.4682555	0.8028432	0
10	TTLL10	1.200533e-09	1.3242243e-09	1.7198255e-06	1.9536507	0
11	TNFRSF18	1.200533e-09	1.3242243e-09	1.7198255e-06	1.9536507	0
12	TNFRSF4	1.200533e-09	0.0027524724	4.8341236	0.49832672	0
13	SDF4	0.16791123	0.09147791	-0.87548614	2.0678082	0
14	B3GALT6	0.020712063	0.010865921	-0.9243929	0.48164472	0
15	C1QTNF12	0.0028298423	0.0023974434	-0.23037097	0.04229731	0
16	UBE2J2	0.029569905	0.019596789	-0.59103984	0.368208	0
17	SCNN1D	0.011126058	0.01933613	0.7918896	0.4150757	0
18	ACAP3	0.06809989	0.05096221	-0.41751355	0.41862005	0
19	PUSL1	0.0031432754	0.011170542	1.7970334	0.6754605	0
20	INTS11	0.100481436	0.107566655	0.098207384	0.10774187	0
21	CPTP	0.04302566	0.043472655	0.014876413	0.009474564	0
22	TAS1R3	1.200533e-09	0.0035377918	5.1849737	0.49831092	0
23	DVL1	0.036377247	0.034667667	-0.069250576	0.04103404	0
24	MXRA8	0.039844133	0.08043922	1.0117078	1.3605404	0
25	AURKAIP1	0.019999731	0.11528813	2.5212467	5.9452634	1
26	CCNL2	0.17081262	0.16402934	-0.058425773	0.08041123	0
27	ANKRD65	1.200533e-09	1.3242243e-09	1.7198255e-06	1.9536507	0
28	TMEM88B	1.200533e-09	1.3242243e-09	1.7198255e-06	1.9536507	0
29	VWA1	1.200533e-09	0.04030049	8.658212	3.8788786	0
30	ATAD3C	1.200533e-09	1.3242243e-09	1.7198255e-06	1.9536507	0
31	ATAD3B	1.200533e-09	0.03573232	8.485101	3.423081	0
32	ATAD3A	0.024953723	0.020784128	-0.26261804	0.13255247	0
33	TMEM240	0.021496769	0.03883814	0.85036856	0.6910939	0
34	SSU72	0.0670582	0.04449432	-0.5907036	0.6366444	0
35	FNDC10	0.003237865	0.0025547424	-0.33035365	0.061249733	0
36	MIB2	0.086450115	0.078004666	-0.14812699	0.15049261	0
37	MMP23B	0.054563057	0.026870174	-1.0192014	1.0317928	0
38	CDK11B	0.010870534	0.012940143	0.249326	0.0911208	0
39	CDK11A	0.0033485892	1.3242243e-09	-5.1079154	0.49821663	0
40	NADK	0.008035952	0.02483514	1.6157972	1.0116863	0
41	GNB1	0.051021136	0.113627866	1.1535939	2.4144032	0
