	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	SAMD11	0.013644825	4.292815e-10	-7.1027384	1.0702783	0
1	NOC2L	0.028118085	4.292815e-10	-8.1404705	2.32312	0
2	KLHL17	1.193257e-09	4.292815e-10	-1.1006931e-05	44.07532	0
3	PLEKHN1	0.0051634735	4.292815e-10	-5.717937	0.49824172	0
4	PERM1	1.193257e-09	4.292815e-10	-1.1006931e-05	44.07532	0
5	HES4	0.043395154	0.051683113	0.25162703	0.12267009	0
6	ISG15	0.017146569	0.026310094	0.61478007	0.22869885	0
7	AGRN	0.033495266	0.04917516	0.55260247	0.27608314	0
8	RNF223	1.193257e-09	4.292815e-10	-1.1006931e-05	44.07532	0
9	C1orf159	0.0074704243	4.292815e-10	-6.242296	0.8027262	0
10	TTLL10	1.193257e-09	4.292815e-10	-1.1006931e-05	44.07532	0
11	TNFRSF18	1.193257e-09	4.292815e-10	-1.1006931e-05	44.07532	0
12	TNFRSF4	1.193257e-09	4.292815e-10	-1.1006931e-05	44.07532	0
13	SDF4	0.15225537	0.057200547	-1.4108195	2.3924396	0
14	B3GALT6	0.009821742	0.038096823	1.9447874	0.80094105	0
15	C1QTNF12	0.0032931631	4.292815e-10	-5.084553	0.4982248	0
16	UBE2J2	0.033601966	0.027209643	-0.3034223	0.13010462	0
17	SCNN1D	1.193257e-09	4.292815e-10	-1.1006931e-05	44.07532	0
18	ACAP3	0.13647762	0.08149014	-0.7432545	0.9390577	0
19	PUSL1	0.0036439588	0.022824923	2.6142805	0.60633695	0
20	INTS11	0.09336576	0.07677569	-0.28191045	0.22203188	0
21	CPTP	0.05012141	0.03595892	-0.47794643	0.27263013	0
22	TAS1R3	1.193257e-09	4.292815e-10	-1.1006931e-05	44.07532	0
23	DVL1	0.04570115	0.036414094	-0.32693034	0.16683362	0
24	MXRA8	0.09136198	0.08852497	-0.04545888	0.027431147	0
25	AURKAIP1	0.025298871	0.024688045	-0.035119884	0.0125161465	0
26	CCNL2	0.20984562	0.21440774	0.031014096	0.031015178	0
