	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
137	NPPA	1.4412069	0.052895706	-4.7653584	17.818438	1
190	HSPB7	0.09716523	0.78270704	3.0086606	8.436264	1
1756	ACTA1	0.16760637	-1.4551915e-10	-10.711724	6.445371	1
2698	COL3A1	0.51776195	0.13488027	-1.939819	6.517962	1
3274	MYL3	0.18359499	0.8496478	2.2097225	7.2681565	1
3647	MYLK	0.34852776	0.07227147	-2.2681942	5.511468	1
4512	CAMK2D	0.14307354	-1.4551915e-10	-10.483551	6.0157194	1
6306	CCN2	0.34189132	0.072772376	-2.2305157	5.2258782	1
6883	COL1A2	0.25911754	0.03246136	-2.9929302	5.730677	1
7506	SFRP1	0.49162927	-1.4551915e-10	-12.263651	17.818438	1
8783	CXCL12	0.15870994	-1.4551915e-10	-10.633088	5.9669676	1
10340	TAGLN	0.31768477	0.015472	-4.3510237	9.689418	1
12384	ACTC1	2.1664078	0.8494028	-1.3506807	16.972445	1
12580	TPM1	1.9293207	0.9525343	-1.0181733	9.685659	1
16120	TNNI3	0.75071394	0.21331458	-1.8147967	8.543204	1
16323	BMP2	0.1567259	-1.4551915e-10	-10.61495	5.9687567	1
18076	MT-CO2	1.3116219	0.6220807	-1.0760564	6.877764	1
18079	MT-ND3	0.49659106	0.13394365	-1.8896459	6.294964	1
18081	MT-ND4	1.0565856	0.505159	-1.064451	5.3952527	1
