	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	SAMD11	1.382432e-09	5.820766e-10	-1.1522883e-05	39.003487	0
1	NOC2L	0.019994458	5.820766e-10	-7.6506453	2.2884264	0
2	KLHL17	0.0035967	5.820766e-10	-5.2081575	0.49833804	0
3	PLEKHN1	1.382432e-09	5.820766e-10	-1.1522883e-05	39.003487	0
4	PERM1	1.382432e-09	5.820766e-10	-1.1522883e-05	39.003487	0
5	HES4	0.02143246	0.01850102	-0.21113144	0.07045265	0
6	ISG15	0.009797234	5.820766e-10	-6.6289454	1.2923234	0
7	AGRN	0.028165739	0.048894815	0.79357475	0.41482103	0
8	RNF223	1.382432e-09	5.820766e-10	-1.1522883e-05	39.003487	0
9	C1orf159	0.0022203187	0.009724028	2.0819917	0.3446928	0
10	TTLL10	1.382432e-09	5.820766e-10	-1.1522883e-05	39.003487	0
11	TNFRSF18	1.382432e-09	5.820766e-10	-1.1522883e-05	39.003487	0
12	TNFRSF4	1.382432e-09	5.820766e-10	-1.1522883e-05	39.003487	0
13	SDF4	0.079673894	0.040683497	-0.9679312	0.9267538	0
14	B3GALT6	0.0026590133	0.008870205	1.7009884	0.29874918	0
15	C1QTNF12	1.382432e-09	5.820766e-10	-1.1522883e-05	39.003487	0
16	UBE2J2	0.03918216	0.03965393	0.017223176	0.007402621	0
17	SCNN1D	0.006592229	0.0069827647	0.08182587	0.017331986	0
18	ACAP3	0.044543408	0.016603138	-1.418328	1.1149948	0
19	PUSL1	1.382432e-09	5.820766e-10	-1.1522883e-05	39.003487	0
20	INTS11	0.058677398	0.017298797	-1.756274	1.757053	0
21	CPTP	0.038538888	0.029874405	-0.3663226	0.17699699	0
22	TAS1R3	0.002486789	5.820766e-10	-4.693082	0.49835	0
23	DVL1	0.027480332	0.05685961	1.0462993	0.62712693	0
24	MXRA8	0.048768457	0.10961277	1.1667559	1.074148	0
25	AURKAIP1	0.022619871	0.113915615	2.327205	2.1434746	0
26	CCNL2	0.14344326	0.12081754	-0.24746203	0.2558766	0
27	ANKRD65	1.382432e-09	0.007614574	6.2694945	0.49787328	0
28	TMEM88B	1.382432e-09	5.820766e-10	-1.1522883e-05	39.003487	0
29	VWA1	0.008226431	0.034953516	2.0737891	0.8426931	0
30	ATAD3C	0.0020843209	5.820766e-10	-4.449105	0.49830553	0
31	ATAD3B	1.382432e-09	0.011593835	6.8695846	0.4978833	0
32	ATAD3A	0.015095283	5.820766e-10	-7.2474713	1.8033848	0
33	TMEM240	0.03606969	0.028351683	-0.3462673	0.16608612	0
34	SSU72	0.025186172	5.820766e-10	-7.9821963	2.7136524	0
35	FNDC10	1.382432e-09	0.015039047	7.2421107	0.8026237	0
36	MIB2	0.07134731	0.057148214	-0.31964904	0.22451006	0
37	MMP23B	0.030269146	0.021054287	-0.52165633	0.22863911	0
38	CDK11B	0.007111505	5.820766e-10	-6.17222	1.0789578	0
39	CDK11A	1.382432e-09	0.009844169	6.635759	0.49787894	0
40	NADK	0.0025248518	0.010460704	2.008398	0.3361654	0
41	GNB1	0.054636475	0.049015056	-0.1563372	0.08552183	0
42	CALML6	1.382432e-09	5.820766e-10	-1.1522883e-05	39.003487	0
43	TMEM52	1.382432e-09	0.0109449	6.7872167	0.49787682	0
44	CFAP74	1.382432e-09	5.820766e-10	-1.1522883e-05	39.003487	0
45	GABRD	1.382432e-09	5.820766e-10	-1.1522883e-05	39.003487	0
46	PRKCZ	0.011765352	5.820766e-10	-6.8906026	1.5650362	0
47	FAAP20	0.042878553	0.010640075	-2.000613	1.4758546	0
48	SKI	0.094334826	0.083878115	-0.16930561	0.122210525	0
49	RER1	0.038784247	0.04112287	0.08425903	0.0368866	0
50	PEX10	0.0047018984	5.820766e-10	-5.5855246	0.80136263	0
51	PLCH2	1.382432e-09	5.820766e-10	-1.1522883e-05	39.003487	0
52	PANK4	0.039670244	0.04016687	0.01790397	0.0077927317	0
53	HES5	1.382432e-09	5.820766e-10	-1.1522883e-05	39.003487	0
54	TNFRSF14	0.0024367645	5.820766e-10	-4.6649094	0.4983641	0
55	PRXL2B	1.382432e-09	5.820766e-10	-1.1522883e-05	39.003487	0
56	MMEL1	1.382432e-09	5.820766e-10	-1.1522883e-05	39.003487	0
57	ACTRT2	1.382432e-09	5.820766e-10	-1.1522883e-05	39.003487	0
58	PRDM16	1.382432e-09	0.016673435	7.390014	0.78138405	0
59	ARHGEF16	1.382432e-09	5.820766e-10	-1.1522883e-05	39.003487	0
60	MEGF6	1.382432e-09	0.019976122	7.649317	0.7946716	0
61	TPRG1L	0.01383563	5.820766e-10	-7.1226263	1.5782281	0
62	WRAP73	0.006508471	5.820766e-10	-6.046236	1.0772377	0
63	TP73	1.382432e-09	5.820766e-10	-1.1522883e-05	39.003487	0
64	CCDC27	1.382432e-09	5.820766e-10	-1.1522883e-05	39.003487	0
65	SMIM1	0.008157747	5.820766e-10	-6.367668	1.0523019	0
66	LRRC47	0.047038276	5.820766e-10	-8.880747	4.7773256	0
67	CEP104	0.006335795	0.017788865	1.4748715	0.40353253	0
68	DFFB	0.004557621	0.009939485	1.1080201	0.21702956	0
69	C1orf174	0.024241911	0.022188181	-0.12716357	0.042557333	0
70	AJAP1	1.382432e-09	5.820766e-10	-1.1522883e-05	39.003487	0
71	NPHP4	0.0042635766	5.820766e-10	-5.4474306	0.8031241	0
72	KCNAB2	0.005455667	5.820766e-10	-5.79588	0.79384255	0
73	CHD5	1.382432e-09	5.820766e-10	-1.1522883e-05	39.003487	0
74	RNF207	0.067436755	0.008381448	-2.9932904	4.0209727	0
75	ICMT	0.011384436	0.019538824	0.77402854	0.23181583	0
76	GPR153	0.004967485	0.03320573	2.7164288	0.8263612	0
77	ACOT7	0.0043080356	5.820766e-10	-5.4620557	0.80307126	0
78	HES2	0.005822372	0.009583687	0.7093814	0.14352615	0
79	ESPN	1.382432e-09	5.820766e-10	-1.1522883e-05	39.003487	0
80	TNFRSF25	0.007980752	0.026542798	1.7211843	0.6002867	0
81	PLEKHG5	0.014207518	0.020867677	0.5513937	0.16617572	0
82	NOL9	0.0022016708	0.009215789	2.0169964	0.33777142	0
83	TAS1R1	1.382432e-09	5.820766e-10	-1.1522883e-05	39.003487	0
84	ZBTB48	0.0049255793	5.820766e-10	-5.6512094	0.7995411	0
85	KLHL21	0.043472275	0.020559244	-1.0766231	0.69675285	0
86	PHF13	0.019375224	5.820766e-10	-7.605488	2.2448285	0
87	THAP3	1.382432e-09	0.008041073	6.347127	0.4978775	0
88	DNAJC11	0.028729824	0.03725776	0.37384596	0.16823535	0
