gene	mean	Fus-HO_mean	Fus-HO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
HES4	0.58903104	0.39685205	0.35625	0.71849954	0.6252631578947369	0.85622334	12.213896	1
ISG15	0.24559973	0.16076782	0.159375	0.30274826	0.3452631578947368	0.91271925	5.4199595	1
AURKAIP1	0.86090803	0.6499083	0.5375	1.003053	0.8	0.62601155	13.135307	1
ICMT	0.15112697	0.0707222	0.078125	0.20529447	0.25473684210526315	1.5361238	8.481839	1
ACOT7	0.09769344	0.046942513	0.053125	0.13188373	0.17894736842105263	1.488323	5.5071807	1
ESPN	0.037026957	0.08406154	0.078125	0.0053412938	0.010526315789473684	-3.9511395	5.2885685	1
ERRFI1	0.25831497	0.14928077	0.140625	0.33176813	0.3368421052631579	1.1516155	7.558878	1
RERE	0.46049342	0.34758624	0.325	0.5365585	0.5452631578947369	0.6262185	5.7105675	1
KIF1B	0.47172746	0.32900673	0.315625	0.56787795	0.5663157894736842	0.7872794	9.063976	1
PGD	0.35347947	0.2444802	0.25625	0.42691028	0.4631578947368421	0.8039632	7.050938	1
SRM	0.6452102	0.47061178	0.43125	0.7628352	0.6736842105263158	0.6967166	10.671323	1
FBLIM1	0.352925	0.16865762	0.178125	0.47706267	0.5094736842105263	1.4995285	19.604713	1
HSPB7	0.18456417	0.34756887	0.284375	0.07474712	0.09894736842105263	-2.2156951	13.285139	1
ATP13A2	0.0962727	0.048156884	0.05625	0.12868771	0.1726315789473684	1.4161884	5.0480685	1
RCC2	0.17479655	0.10695171	0.1125	0.22050169	0.2673684210526316	1.043136	5.119052	1
CAMK2N1	0.19898042	0.105179206	0.103125	0.26217154	0.23789473684210527	1.3168406	6.534736	1
USP48	0.4903406	0.35238677	0.328125	0.5832797	0.5810526315789474	0.7268662	8.154951	1
LUZP1	0.53278345	0.35936	0.31875	0.64961696	0.6231578947368421	0.8539801	11.458137	1
HNRNPR	0.8733086	0.68488	0.55	1.000249	0.7873684210526316	0.54636973	9.609822	1
SRSF10	0.5763522	0.46046105	0.421875	0.6544271	0.6589473684210526	0.50706065	5.534833	1
YTHDF2	0.480737	0.3416947	0.33125	0.5744084	0.5915789473684211	0.7491981	8.76875	1
CCDC28B	0.5804868	0.40726277	0.378125	0.69718546	0.6505263157894737	0.7754354	11.080224	1
SFPQ	0.86551416	0.5050156	0.421875	1.108376	0.8273684210526315	1.1338919	33.622784	1
CLSPN	0.09330369	0.040984854	0.04375	0.12855037	0.13263157894736843	1.646777	5.0625234	1
MAP7D1	0.30825064	0.20944637	0.215625	0.37481222	0.42947368421052634	0.83928317	6.5790005	1
THRAP3	0.8584807	0.6667309	0.56875	0.9876582	0.8252631578947368	0.5668371	11.7322855	1
C1orf122	1.0025647	0.80085814	0.634375	1.1384518	0.8547368421052631	0.5074012	11.529698	1
HEYL	0.14984247	0.068733424	0.065625	0.20448445	0.22526315789473683	1.5715153	7.603431	1
CAP1	1.0599562	0.81876445	0.621875	1.2224418	0.8357894736842105	0.5781872	14.283216	1
CTPS1	0.08693127	0.035627577	0.0375	0.121493876	0.16210526315789472	1.7669605	6.090761	1
SLC2A1	0.50136423	0.7974332	0.565625	0.30191296	0.32421052631578945	-1.4009341	20.41847	1
ELOVL1	0.27002624	0.14192237	0.146875	0.356327	0.3957894736842105	1.3274884	11.662552	1
BEND5	0.14395757	0.24660222	0.225	0.0748079	0.08421052631578947	-1.7195809	7.8186765	1
DHCR24	0.102461085	0.04414989	0.059375	0.14174458	0.18947368421052632	1.6805652	7.389501	1
PDE4B	0.15812321	0.24102873	0.2125	0.10227134	0.12631578947368421	-1.2359916	5.147872	1
GADD45A	0.5385466	0.71791434	0.55625	0.4177143	0.4105263157894737	-0.78115094	9.077131	1
GNG12	0.47387302	0.35392645	0.328125	0.55468	0.5663157894736842	0.64805865	6.337954	1
NEXN	0.19138099	0.069454804	0.071875	0.27351996	0.2863157894736842	1.9759513	13.424102	1
TTLL7	0.34455445	0.23542987	0.225	0.41806948	0.4357894736842105	0.82817763	6.5020523	1
DDAH1	0.050754797	0.011183459	0.0125	0.07741348	0.10105263157894737	2.7802377	6.77993	1
CCN1	0.6237923	0.22316033	0.18125	0.89369214	0.6463157894736842	2.0012126	39.132393	1
LMO4	0.7146801	1.086921	0.678125	0.4639093	0.4673684210526316	-1.2281542	24.854357	1
GBP1	0.07631672	0.030379532	0.040625	0.107264	0.13473684210526315	1.8165977	5.839458	1
GBP4	0.5694999	0.3620286	0.296875	0.70927095	0.5873684210526315	0.9700382	13.08141	1
ZNF644	0.526801	0.4019501	0.384375	0.61091244	0.5852631578947368	0.6038265	6.3910966	1
EVI5	0.42317307	0.2911171	0.290625	0.5121379	0.5452631578947369	0.81471896	8.800181	1
CCDC18-AS1	0.26629362	0.39097503	0.346875	0.18229207	0.21473684210526317	-1.1004024	7.7325983	1
CNN3	0.79110056	0.58024955	0.4875	0.933148	0.783157894736842	0.68533844	13.513273	1
RNPC3	0.2244847	0.32562098	0.296875	0.15634716	0.1831578947368421	-1.0579611	6.0254006	1
VAV3	0.07733998	0.03061173	0.034375	0.10882015	0.12631578947368421	1.8264092	5.303896	1
PSMA5	0.5733545	0.43555698	0.409375	0.6661878	0.6526315789473685	0.61295295	7.6070023	1
CTTNBP2NL	0.32323667	0.23197049	0.2375	0.38471884	0.42947368421052634	0.7296163	5.3106804	1
RHOC	1.2768829	0.931797	0.671875	1.5093611	0.9389473684210526	0.6957911	28.533638	1
MAN1A2	0.36819318	0.25755808	0.259375	0.4427263	0.47578947368421054	0.78128314	6.8219686	1
NOTCH2	0.30287337	0.21018289	0.209375	0.36531574	0.4	0.79720724	5.425504	1
LINC02802	0.32543612	0.18562658	0.190625	0.41962254	0.4442105263157895	1.1762557	11.8128395	1
ITGA10	0.09886034	0.18649481	0.1625	0.03982309	0.04421052631578947	-2.2246137	7.344139	1
GJA5	0.072358176	0.005082377	0.00625	0.117680825	0.12842105263157894	4.5063467	11.725714	1
ECM1	0.6323959	0.5030818	0.421875	0.7195144	0.6568421052631579	0.5161444	5.6299977	1
MCL1	0.4801994	0.32688567	0.315625	0.5834855	0.5726315789473684	0.83571666	10.051665	1
MLLT11	0.7313796	0.5569941	0.475	0.8488601	0.728421052631579	0.6077757	9.38361	1
S100A6	1.1370864	0.85688585	0.5125	1.3258482	0.6463157894736842	0.6296811	9.123508	1
S100A4	0.5179841	0.30120736	0.246875	0.66402435	0.47368421052631576	1.1402175	11.526169	1
