gene	mean	HO_mean	HO_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
SFPQ	0.602979	0.76291794	0.7040816326530612	0.5050156	0.421875	-0.5951033	5.3503547	1
GSTM3	0.6375873	0.78826743	0.8061224489795918	0.5452958	0.46875	-0.53156465	5.90183	1
ECM1	0.61051244	0.7859101	0.7602040816326531	0.5030818	0.421875	-0.64346814	6.510033	1
FBLN2	0.63303185	0.79818445	0.7295918367346939	0.53187597	0.421875	-0.58554184	5.051342	1
REST	0.43688932	0.57981694	0.6428571428571429	0.34934172	0.325	-0.73079455	5.9884367	1
ARPC1B	0.6419158	0.81029576	0.7448979591836735	0.5387832	0.446875	-0.588654	5.7258983	1
PTN	1.1214981	1.4118761	0.8316326530612245	0.9436435	0.5875	-0.58124894	6.959869	1
HACD3	0.56367296	0.7178014	0.7295918367346939	0.46926817	0.43125	-0.6130658	6.062974	1
PSMC4	0.33633947	0.45361274	0.5969387755102041	0.26450667	0.2625	-0.7779298	5.5996566	1
VASP	0.35411748	0.5036956	0.6122448979591837	0.26249784	0.253125	-0.9399836	7.431986	1
CPXM1	0.41393626	0.55201495	0.6428571428571429	0.32935846	0.30625	-0.74487215	5.6314964	1
COL9A3	0.6836736	0.9085772	0.7142857142857143	0.5459225	0.4	-0.7348075	7.009391	1
