	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	0.0	0.0			1
1	FAM138A	0.0	0.0			1
2	OR4F5	0.0	0.0			1
3	AL627309.1	0.0056447047	0.0024359047	-1.2124405	0.301414	0
4	AL627309.3	0.0023468419	0.0	-inf	0.49682155	0
5	AL627309.2	0.0	0.0			1
6	AL627309.5	0.056040842	0.037010416	-0.5985472	0.6175318	0
7	AL627309.4	0.0028135586	0.005119078	0.86348796	0.21116951	0
8	AP006222.2	0.0	0.0			1
9	AL732372.1	0.0	0.0			1
10	OR4F29	0.0	0.0			1
11	AC114498.1	0.0	0.0			1
12	OR4F16	0.0	0.0			1
13	AL669831.2	0.0	0.0			1
14	LINC01409	0.027647112	0.06346545	1.1988428	1.5037606	0
15	FAM87B	0.0	0.0			1
16	LINC01128	0.1339606	0.08105895	-0.72476536	1.4370333	0
17	LINC00115	0.015002255	0.0074813114	-1.0038162	0.43912598	0
18	FAM41C	0.0032512564	0.0071188835	1.1306536	0.2849263	0
19	AL645608.6	0.0033683986	0.0	-inf	0.4968218	0
20	AL645608.2	0.030976417	0.012755719	-1.2800261	0.72607535	0
21	AL645608.4	0.00469556	0.0	-inf	0.4968226	0
22	LINC02593	0.008998984	0.0	-inf	1.0536617	0
23	SAMD11	0.062114574	0.059513528	-0.061714124	0.049349353	0
24	NOC2L	0.2652085	0.1935646	-0.454312	1.3218013	0
25	KLHL17	0.02618069	0.014459118	-0.8565235	0.54196507	0
26	PLEKHN1	0.002455203	0.00466252	0.92526746	0.21267277	0
27	PERM1	0.0026988895	0.0	-inf	0.49682537	0
28	AL645608.7	0.006558964	0.0120099485	0.8726901	0.32052073	0
29	HES4	0.46430755	0.39685255	-0.22647762	0.7544863	0
30	ISG15	0.24319115	0.16076824	-0.5971083	1.5770007	0
31	AL645608.1	0.0	0.0			1
32	AGRN	0.19233091	0.15838726	-0.28013432	0.55789757	0
33	AL645608.5	0.0	0.0			1
34	AL645608.8	0.0	0.0			1
35	RNF223	0.0	0.0			1
36	C1orf159	0.02381625	0.019225193	-0.30894822	0.1602712	0
37	AL390719.3	0.0	0.0			1
38	LINC01342	0.0	0.0			1
39	AL390719.2	0.0	0.0			1
40	TTLL10-AS1	0.0	0.0			1
41	TTLL10	0.0	0.0			1
42	TNFRSF18	0.006671886	0.0140194325	1.0712614	0.35942236	0
43	TNFRSF4	0.0	0.0			1
44	SDF4	0.9734372	0.7642912	-0.3489654	4.0765224	0
45	B3GALT6	0.26524892	0.1743398	-0.6054449	2.059983	0
46	C1QTNF12	0.019720316	0.015032677	-0.3915807	0.18630606	0
47	AL162741.1	0.0	0.0			1
48	UBE2J2	0.3053468	0.21232884	-0.52414834	1.9247597	0
49	LINC01786	0.0021672002	0.0	-inf	0.4968234	0
50	SCNN1D	0.0	0.009573293	inf	1.0673109	0
51	ACAP3	0.08735133	0.09890548	0.17922089	0.20578165	0
52	PUSL1	0.12388081	0.1216201	-0.026570983	0.030968612	0
53	INTS11	0.1855771	0.1607742	-0.20698269	0.37303647	0
54	AL139287.1	0.0	0.0			1
55	CPTP	0.10763632	0.0554434	-0.9570774	1.7704053	0
56	TAS1R3	0.0	0.0			1
57	DVL1	0.1001168	0.08690108	-0.20423797	0.2407822	0
58	MXRA8	0.19892481	0.18769209	-0.08385538	0.12602837	0
59	AURKAIP1	0.8312121	0.64990747	-0.3549823	3.3373647	0
60	CCNL2	0.31152126	0.29551998	-0.076074935	0.16212665	0
61	MRPL20-AS1	0.030819688	0.04534843	0.55720025	0.46058244	0
62	MRPL20	0.72674584	0.7574978	0.059790693	0.24348693	0
63	AL391244.2	0.008474492	0.009429565	0.15406434	0.04166979	0
64	ANKRD65	0.0026351484	0.0	-inf	0.49682269	0
