gene	mean	HO_mean	HO_positive_frac	ReAgg-CM_mean	ReAgg-CM_positive_frac	log2FC	-log10 p-val	is_significant
MMP23B	0.40160218	0.24959692	0.3010204081632653	0.47444493	0.4474327628361858	0.92636657	7.0194416	1
DHCR24	0.090759985	0.033498827	0.05102040816326531	0.11820064	0.15647921760391198	1.8159751	5.418791	1
PIGK	0.19115555	0.29915586	0.40816326530612246	0.1394002	0.19315403422982885	-1.1011122	5.819388	1
CCN1	0.44962204	0.18700895	0.19387755102040816	0.5754711	0.4841075794621027	1.6211157	14.4984865	1
FDPS	0.49983105	0.3576625	0.4336734693877551	0.5679609	0.5232273838630807	0.6670435	5.404445	1
TAGLN2	0.9310541	0.6798117	0.6530612244897959	1.0514541	0.784841075794621	0.62910366	10.369627	1
CD55	0.31848752	0.19756922	0.25510204081632654	0.37643304	0.38141809290953543	0.92968816	5.7183843	1
TGFB2	0.19314797	0.30508664	0.3877551020408163	0.13950524	0.16625916870415647	-1.1283387	5.223872	1
NID1	0.5060045	0.6765782	0.6836734693877551	0.42426205	0.4669926650366748	-0.67317444	6.7387247	1
COLEC11	0.83412683	1.0683568	0.6887755102040817	0.7218829	0.5965770171149144	-0.565492	5.2360635	1
NCK2	0.40674233	0.5459477	0.6173469387755102	0.3400289	0.39119804400978	-0.6829453	5.368992	1
ITPRID2	0.48099822	0.6300907	0.6785714285714286	0.40954942	0.4278728606356968	-0.62139887	5.3313527	1
MAP2	0.15800105	0.28279468	0.3469387755102041	0.09819807	0.13202933985330073	-1.52503	6.90501	1
FILIP1L	0.10472868	0.029937346	0.04591836734693878	0.14057	0.1687041564792176	2.2274854	7.413401	1
LSAMP	0.6972331	0.87326753	0.7653061224489796	0.6128763	0.5941320293398533	-0.5107577	5.531146	1
TFRC	0.28258678	0.41773993	0.4336734693877551	0.21781652	0.24205378973105135	-0.9391748	5.054035	1
ALB	0.117052615	0.01779808	0.025510204081632654	0.1646172	0.1784841075794621	3.2021146	9.4576025	1
SPARCL1	0.13382082	0.26605323	0.23979591836734693	0.070453145	0.07823960880195599	-1.9154747	5.28755	1
PALLD	0.42335138	0.292712	0.3826530612244898	0.48595515	0.4889975550122249	0.7311454	5.6274276	1
PDLIM3	1.0073236	0.64824814	0.6173469387755102	1.1793985	0.7946210268948656	0.86333305	16.888275	1
RAI14	0.3506127	0.20645913	0.29081632653061223	0.41969267	0.43031784841075793	1.023122	8.087177	1
OXCT1	0.08496527	0.03177152	0.061224489795918366	0.110456675	0.16136919315403422	1.7944463	5.8298445	1
SELENOP	0.23692675	0.35814533	0.4336734693877551	0.17883597	0.20537897310513448	-1.0015043	5.401863	1
MAP3K1	0.39074725	0.5334426	0.576530612244898	0.32236144	0.3691931540342298	-0.72647697	5.509458	1
TGFBI	0.43006995	0.18621412	0.20918367346938777	0.54692936	0.4767726161369193	1.5538813	14.271779	1
EGR1	0.57209337	0.7579229	0.6632653061224489	0.48304242	0.46943765281173594	-0.64979297	5.880383	1
DPYSL3	0.22905624	0.11883307	0.17857142857142858	0.28187677	0.32273838630806845	1.2454263	7.326998	1
RGS14	0.13453257	0.23028773	0.32653061224489793	0.08864548	0.12469437652811736	-1.3763183	5.8705955	1
TUBB2A	0.37929788	0.20123604	0.27040816326530615	0.46462736	0.48166259168704156	1.206779	11.075049	1
IER3	1.0321718	0.77026665	0.6326530612244898	1.157681	0.7775061124694377	0.58774525	7.894499	1
CCN2	0.25431374	0.11440539	0.11224489795918367	0.32135954	0.2591687041564792	1.4892215	5.6746106	1
CREB5	0.17897017	0.08375454	0.12755102040816327	0.22459936	0.2713936430317848	1.4220352	6.9488983	1
MYL7	0.46052775	0.23435964	0.32653061224489793	0.5689112	0.5819070904645477	1.2791175	14.876413	1
RSBN1L	0.3057068	0.42445838	0.5510204081632653	0.24879579	0.3080684596577017	-0.770421	5.5687075	1
GNAI1	0.33659393	0.46178538	0.5459183673469388	0.27659628	0.34963325183374083	-0.73923165	5.4173465	1
DOCK4	0.3342336	0.4871849	0.5306122448979592	0.26093304	0.3105134474327628	-0.9005331	6.6041265	1
HIPK2	0.33447456	0.45252642	0.5510204081632653	0.27789882	0.34963325183374083	-0.7032422	5.1799088	1
OXR1	0.4383089	0.57342315	0.6530612244897959	0.37355706	0.4449877750611247	-0.61813706	5.4092774	1
PTPRD	0.28264657	0.42389685	0.5204081632653061	0.21495461	0.25183374083129584	-0.97935045	6.821488	1
ANXA1	0.48880357	0.26833043	0.3010204081632653	0.59445816	0.5183374083129584	1.1472698	11.111618	1
PAPPA	0.3638947	0.20532197	0.21428571428571427	0.43988508	0.3765281173594132	1.0988641	6.214712	1
PTGDS	0.782671	1.0474541	0.6377551020408163	0.655787	0.44987775061124696	-0.6755056	5.303284	1
TUBB4B	0.75015485	0.54803896	0.5459183673469388	0.8470138	0.6552567237163814	0.628014	5.870373	1
KLF6	0.99182314	0.68985367	0.6530612244897959	1.1365323	0.78239608801956	0.7201943	12.976208	1
ATAD1	0.349733	0.47570682	0.5816326530612245	0.28936103	0.36185819070904646	-0.7170068	5.4999366	1
ANKRD1	0.07560064	0.0022905562	0.00510204081632653	0.11073214	0.11246943765281174	5.534886	7.388146	1
PDLIM1	0.6142775	0.4088396	0.4846938775510204	0.7127273	0.6503667481662592	0.8016648	9.718212	1
CD151	0.9006954	0.6759862	0.7295918367346939	1.0083796	0.8215158924205379	0.5769028	11.28562	1
MICAL2	0.36891505	0.2469834	0.3010204081632653	0.42734545	0.4278728606356968	0.7907422	5.066131	1
CD44	0.22727603	0.12075475	0.16326530612244897	0.27832258	0.2713936430317848	1.2040019	5.6300483	1
CADM1	0.21653621	0.34383044	0.40816326530612246	0.15553471	0.18337408312958436	-1.1439528	5.6293206	1
TAGLN	0.47855905	0.1497883	0.18877551020408162	0.6361115	0.4083129584352078	2.0856187	17.128515	1
CD4	0.13058238	0.24017736	0.32142857142857145	0.078062914	0.10513447432762836	-1.6201445	6.7507715	1
KRT18	0.87516874	0.603238	0.6071428571428571	1.0054834	0.7383863080684596	0.7369943	11.286268	1
GLIPR1	0.11507234	0.043890994	0.08673469387755102	0.1491838	0.19070904645476772	1.7627774	6.7116623	1
NUP58	0.35163835	0.4897964	0.576530612244898	0.2854268	0.3569682151589242	-0.77885056	6.2980347	1
SPART	0.54510367	0.68369895	0.7346938775510204	0.4786859	0.5207823960880196	-0.5141917	5.19988	1
EDNRB	0.16605073	0.27284455	0.34183673469387754	0.1148735	0.13447432762836187	-1.2473065	5.3975773	1
DLK1	1.8353944	2.3528128	0.8112244897959183	1.5874319	0.684596577017115	-0.5676621	7.274642	1
ACTC1	0.51250875	0.34625828	0.4336734693877551	0.5921791	0.5916870415647921	0.77401215	7.143077	1
TUBB3	0.8462152	0.64135015	0.576530612244898	0.9443914	0.6772616136919315	0.55820054	5.681637	1
PCGF2	0.18280923	0.30629697	0.41836734693877553	0.12363198	0.16136919315403422	-1.3081836	7.4998116	1
IGFBP4	0.81242937	1.0352402	0.8112244897959183	0.705657	0.6234718826405868	-0.5528614	7.5817327	1
CAVIN1	0.44219425	0.21167736	0.28061224489795916	0.5526614	0.5403422982885085	1.3841087	16.237146	1
SCPEP1	0.3739669	0.53412807	0.6377551020408163	0.29721105	0.3594132029339853	-0.8454828	8.338683	1
TBX2	0.46253002	0.6343688	0.6377551020408163	0.38017973	0.39119804400978	-0.73848826	6.3779325	1
GPRC5C	0.43214574	0.5846644	0.5918367346938775	0.35905382	0.4034229828850856	-0.70325375	5.4561963	1
CNN1	0.16963595	0.07271711	0.11224489795918367	0.21608132	0.24938875305623473	1.5698925	7.235094	1
