gene	mean	HO_mean	HO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
HES4	0.6442494	0.46430734	0.4846938775510204	0.71849954	0.6252631578947369	0.6297973	6.6434975	1
ACOT7	0.10598079	0.043206014	0.08673469387755102	0.13188373	0.17894736842105263	1.6077207	6.3765273	1
ESPN	0.045345206	0.14229539	0.15816326530612246	0.0053412938	0.010526315789473684	-4.709809	6.6976995	1
SRM	0.6948619	0.530132	0.5918367346938775	0.7628352	0.6736842105263158	0.52493685	6.1958723	1
FBLIM1	0.39482057	0.19550903	0.28061224489795916	0.47706267	0.5094736842105263	1.2865081	14.964539	1
HSPB7	0.11477479	0.21178149	0.2857142857142857	0.07474712	0.09894736842105263	-1.5012388	5.315545	1
MAN1C1	0.05525295	0.12815695	0.18877551020408162	0.025171325	0.031578947368421054	-2.3434637	5.532278	1
SFPQ	1.0074675	0.76291794	0.7040816326530612	1.108376	0.8273684210526315	0.5387887	9.9985485	1
HEYL	0.16859102	0.081604585	0.12755102040816327	0.20448445	0.22526315789473683	1.3242075	6.1188035	1
RLF	0.34060842	0.46635154	0.576530612244898	0.28871948	0.35157894736842105	-0.6915592	5.3662767	1
COL9A2	0.07758981	0.19596685	0.24489795918367346	0.028744627	0.035789473684210524	-2.7649713	7.926761	1
SLC2A1	0.42109907	0.70993805	0.6326530612244898	0.30191296	0.32421052631578945	-1.233286	12.033166	1
BEND5	0.13051479	0.26551968	0.34183673469387754	0.0748079	0.08421052631578947	-1.8261722	8.220804	1
DHCR24	0.110125795	0.033498827	0.05102040816326531	0.14174458	0.18947368421052632	2.0778282	8.630508	1
JUN	0.7024672	0.502801	0.4897959183673469	0.7848571	0.6021052631578947	0.6423393	6.027293	1
PGM1	0.2907107	0.42991185	0.5204081632653061	0.23326927	0.2863157894736842	-0.8817618	6.2546434	1
AK4	0.4049591	0.553637	0.6377551020408163	0.34360746	0.37894736842105264	-0.68801993	6.123689	1
PDE4B	0.15439019	0.28069934	0.33163265306122447	0.10227134	0.12631578947368421	-1.4557276	6.4034567	1
GADD45A	0.51187414	0.7400711	0.6938775510204082	0.4177143	0.4105263157894737	-0.82499707	9.092934	1
NEXN	0.23197304	0.13128302	0.1989795918367347	0.27351996	0.2863157894736842	1.0583946	5.7273703	1
ADGRL4	0.07946801	0.028818447	0.05612244897959184	0.10036767	0.12421052631578948	1.7966694	5.011935	1
DDAH1	0.05779583	0.010253247	0.015306122448979591	0.07741348	0.10105263157894737	2.9043639	6.704238	1
AC092807.3	0.043309644	0.0040248604	0.00510204081632653	0.05951983	0.08	3.8533752	6.243705	1
CCN1	0.687269	0.18700895	0.19387755102040816	0.89369214	0.6463157894736842	2.2560608	38.19527	1
LMO4	0.6787868	1.1995468	0.8163265306122449	0.4639093	0.4673684210526316	-1.3703841	24.350048	1
GBP1	0.07903643	0.010627889	0.02040816326530612	0.107264	0.13473684210526315	3.3230722	10.518745	1
CCDC18-AS1	0.23451738	0.36107808	0.49489795918367346	0.18229207	0.21473684210526317	-0.98566717	6.3727074	1
COL11A1	0.41611433	0.6215117	0.5408163265306123	0.331359	0.3178947368421053	-0.90718335	6.7648387	1
RNPC3	0.21886729	0.37038034	0.45918367346938777	0.15634716	0.1831578947368421	-1.2437215	7.9413743	1
BCAS2	0.31687135	0.4369013	0.5561224489795918	0.26733983	0.32210526315789473	-0.7084233	5.2678843	1
LINC02802	0.37127006	0.25408688	0.3622448979591837	0.41962254	0.4442105263157895	0.7235464	5.373964	1
ITGA10	0.09125993	0.21591736	0.25510204081632654	0.03982309	0.04421052631578947	-2.435852	7.3650045	1
TXNIP	1.2615329	1.6091889	0.923469387755102	1.1180766	0.7852631578947369	-0.52527535	13.259002	1
GJA5	0.087296575	0.013661287	0.02040816326530612	0.117680825	0.12842105263157894	3.0974176	8.539227	1
MCL1	0.5282392	0.39435342	0.5	0.5834855	0.5726315789473684	0.56508917	5.25583	1
S100A4	0.56647885	0.33008343	0.32142857142857145	0.66402435	0.47368421052631576	1.0081859	8.145132	1
