gene	mean	ReAgg-CM_mean	ReAgg-CM_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
HES4	0.6059517	0.47524273	0.4889975550122249	0.71849954	0.6252631578947369	0.59622	8.390191	1
SMIM1	0.13325992	0.20667017	0.2469437652811736	0.07005018	0.08842105263157894	-1.5595093	9.156882	1
ESPN	0.046779163	0.094904765	0.1100244498777506	0.0053412938	0.010526315789473684	-4.1259785	8.68812	1
KIF1B	0.48700222	0.39307946	0.4400977995110024	0.56787795	0.5663157894736842	0.5306471	6.0490785	1
FBLIM1	0.38928384	0.28734067	0.3545232273838631	0.47706267	0.5094736842105263	0.73121697	8.424534	1
HSPB7	0.15096833	0.23948877	0.2567237163814181	0.07474712	0.09894736842105263	-1.6785414	10.251008	1
CAMK2N1	0.19060834	0.10749494	0.12469437652811736	0.26217154	0.23789473684210527	1.2854509	7.0031757	1
TCEA3	0.083082974	0.1295222	0.15647921760391198	0.043097068	0.061052631578947365	-1.5853075	5.731613	1
MAN1C1	0.059751302	0.09991244	0.1198044009779951	0.025171325	0.031578947368421054	-1.9846064	5.750993	1
HEYL	0.14422631	0.07424449	0.097799511002445	0.20448445	0.22526315789473683	1.4603987	8.333786	1
COL9A2	0.08149954	0.1427685	0.15403422982885084	0.028744627	0.035789473684210524	-2.3083134	8.131659	1
SLC2A1	0.43263942	0.58446646	0.5354523227383863	0.30191296	0.32421052631578945	-0.95275676	12.090117	1
BEND5	0.120499305	0.17356436	0.2078239608801956	0.0748079	0.08421052631578947	-1.2131119	5.302802	1
PGM1	0.32010522	0.4209506	0.4792176039119804	0.23326927	0.2863157894736842	-0.851379	8.963628	1
AK4	0.41825598	0.5049538	0.5330073349633252	0.34360746	0.37894736842105264	-0.55525607	5.392052	1
CTBS	0.3103226	0.38580352	0.45232273838630804	0.24532609	0.29473684210526313	-0.65295154	5.523169	1
CCN1	0.7464615	0.5754711	0.4841075794621027	0.89369214	0.6463157894736842	0.63494515	9.075916	1
LMO4	0.6542127	0.8752274	0.7188264058679706	0.4639093	0.4673684210526316	-0.9156691	19.410994	1
GBP3	0.16029076	0.10680548	0.15158924205378974	0.20634408	0.26105263157894737	0.9494152	5.2313943	1
GBP1	0.066311255	0.018750113	0.03178484107579462	0.107264	0.13473684210526315	2.5098653	9.016897	1
COL11A1	0.4276147	0.53940773	0.5036674816625917	0.331359	0.3178947368421053	-0.7028134	6.75605	1
LINC02802	0.34264597	0.25324744	0.3251833740831296	0.41962254	0.4442105263157895	0.72831875	7.1585517	1
ITGA10	0.07855367	0.123535015	0.1466992665036675	0.03982309	0.04421052631578947	-1.630792	5.144617	1
S100A4	0.52610743	0.3659375	0.32273838630806845	0.66402435	0.47368421052631576	0.85946196	8.406525	1
CRABP2	0.7487173	0.99397695	0.7872860635696821	0.53753173	0.5178947368421053	-0.8867392	24.312246	1
C1orf21	0.5424427	0.65571386	0.6210268948655256	0.44491643	0.47368421052631576	-0.55942786	7.311303	1
TNNT2	0.41069555	0.5158686	0.4767726161369193	0.32013896	0.3178947368421053	-0.6881346	5.308019	1
TNNI1	0.31593838	0.46717927	0.4352078239608802	0.1857087	0.20421052631578948	-1.3304669	12.799287	1
CSRP1	0.27196607	0.19448319	0.22493887530562348	0.33868	0.36	0.79996157	5.7667146	1
PCAT6	0.09866153	0.15843889	0.2078239608801956	0.047190785	0.06315789473684211	-1.7452058	8.759256	1
FMOD	0.05025139	0.08949024	0.097799511002445	0.016465561	0.016842105263157894	-2.4351544	5.3272133	1
TGFB2	0.21502553	0.13950524	0.16625916870415647	0.28005037	0.30526315789473685	1.0048482	6.4556484	1
RHOU	0.19461222	0.2839064	0.3056234718826406	0.11772056	0.1368421052631579	-1.269332	8.730055	1
GALNT2	0.44398478	0.34590805	0.41075794621026895	0.5284366	0.5557894736842105	0.6111979	7.3273406	1
NID1	0.5282368	0.42426205	0.4669926650366748	0.6177677	0.5894736842105263	0.54200244	6.6900315	1
ADI1	0.37531152	0.2872955	0.33251833740831294	0.45109826	0.4884210526315789	0.6507241	6.3506827	1
ID2	0.5998378	0.8413636	0.6625916870415648	0.3918761	0.36	-1.1021353	21.219173	1
RHOB	0.40022653	0.31853965	0.3643031784841076	0.47056505	0.48	0.56277496	5.0285034	1
CRIM1	0.13576712	0.08232871	0.1100244498777506	0.18178056	0.2063157894736842	1.1417725	5.3860745	1
EFEMP1	0.057523474	0.017604902	0.02444987775061125	0.09189555	0.10526315789473684	2.3774152	6.342493	1
AAK1	0.43254367	0.34643388	0.4156479217603912	0.50668955	0.5221052631578947	0.5483905	5.8228307	1
WDR54	0.36636227	0.45503503	0.4938875305623472	0.2900103	0.33263157894736844	-0.64969313	6.058855	1
LOXL3	0.3712756	0.46219906	0.4963325183374083	0.29298633	0.33052631578947367	-0.6575007	6.3235474	1
HK2	0.10990044	0.16145521	0.1980440097799511	0.06550941	0.0863157894736842	-1.3000528	5.376468	1
CYTOR	0.45909208	0.305198	0.33985330073349634	0.59160435	0.5136842105263157	0.95465845	12.861101	1
IL1R1	0.33218735	0.22808237	0.2762836185819071	0.42182735	0.4168421052631579	0.88680714	8.579366	1
MIR4435-2HG	0.24724658	0.13726631	0.17603911980440098	0.34194347	0.3684210526315789	1.3161514	12.49032	1
ZC3H6	0.1582015	0.21840674	0.25183374083129584	0.10635957	0.13263157894736843	-1.0373721	5.3735876	1
TTL	0.23054884	0.15689155	0.21515892420537897	0.2939695	0.35157894736842105	0.9054702	6.955997	1
INSIG2	0.291802	0.3869845	0.41075794621026895	0.20983978	0.25473684210526315	-0.882673	7.8250194	1
ZEB2	0.8839287	0.70225275	0.6699266503667481	1.0403588	0.7873684210526316	0.5669521	13.973719	1
FKBP7	0.46779516	0.6205861	0.6332518337408313	0.3362403	0.3936842105263158	-0.8839423	15.754808	1
ITGA4	0.32952684	0.13697104	0.1687041564792176	0.49532786	0.4905263157894737	1.8537511	28.01194	1
ITGAV	0.82503486	0.6541977	0.6308068459657702	0.9721341	0.7705263157894737	0.5713565	13.409195	1
HECW2	0.590884	0.40035713	0.38875305623471884	0.75493926	0.6063157894736843	0.914904	14.836342	1
ADAM23	0.15496995	0.09376623	0.12469437652811736	0.20766887	0.23789473684210527	1.1463014	6.2144547	1
COPS8	0.4339219	0.5320621	0.5770171149144254	0.349422	0.40421052631578946	-0.6064825	7.1477594	1
RAMP1	0.101567395	0.1698723	0.18337408312958436	0.042754	0.06315789473684211	-1.9877979	8.424118	1
ITGA9	0.18382464	0.11250705	0.1491442542787286	0.24523114	0.26526315789473687	1.1234331	7.087491	1
PFKFB4	0.11424377	0.17925529	0.20293398533007334	0.05826601	0.07368421052631578	-1.61962	7.6011634	1
TNNC1	0.26794377	0.34313422	0.3863080684596577	0.20319493	0.23157894736842105	-0.75561905	5.198766	1
COL8A1	0.24548315	0.113836475	0.1393643031784841	0.35883662	0.30526315789473685	1.6554993	12.59227	1
FILIP1L	0.2257615	0.14057	0.1687041564792176	0.2991138	0.3136842105263158	1.088862	7.7334538	1
TMEM45A	0.409308	0.5539316	0.5623471882640587	0.28478286	0.32210526315789473	-0.95959955	13.411786	1
NFKBIZ	0.2824742	0.19248171	0.22982885085574573	0.35996005	0.3831578947368421	0.90276676	7.4609222	1
LSAMP	0.4923134	0.6128763	0.5941320293398533	0.38850895	0.40210526315789474	-0.65751225	8.244082	1
FAM162A	1.0653003	1.4398893	0.8557457212713936	0.74275005	0.6231578947368421	-0.9549151	33.379475	1
PARP14	0.21912225	0.13664447	0.18581907090464547	0.29013827	0.3410526315789474	1.0857552	8.818828	1
SEMA5B	0.08347246	0.037769504	0.0488997555012225	0.12282525	0.1368421052631579	1.6986728	5.8264427	1
HEG1	0.29085946	0.19931905	0.25183374083129584	0.36967856	0.42105263157894735	0.8908583	8.550131	1
MGLL	0.1952584	0.26615408	0.29584352078239606	0.13420926	0.16631578947368422	-0.9872447	5.8261967	1
PLXND1	0.2577324	0.18063979	0.22982885085574573	0.32411075	0.35789473684210527	0.8430177	6.4181	1
TRH	0.045537043	0.085556015	0.08801955990220049	0.01107937	0.014736842105263158	-2.9377158	5.0659924	1
PLOD2	0.69539416	0.8385903	0.7163814180929096	0.57209396	0.56	-0.55163383	9.220272	1
EIF4G1	0.5643665	0.46011764	0.511002444987775	0.6541332	0.6231578947368421	0.50748885	7.042221	1
SLIT2	0.27946377	0.11234181	0.1271393643031785	0.4233635	0.37894736842105264	1.913059	20.047104	1
ADAMTS3	0.11724972	0.18478462	0.19070904645476772	0.059098907	0.07157894736842105	-1.6429827	6.6630735	1
SEPTIN11	1.2547189	1.0089345	0.7775061124694377	1.4663506	0.9052631578947369	0.5393529	21.66179	1
ARSJ	0.06163279	0.016326996	0.029339853300733496	0.100643575	0.12842105263157894	2.6165473	8.690999	1
ANKRD50	0.3607302	0.26346442	0.31295843520782396	0.4444816	0.4673684210526316	0.7542927	7.599098	1
FAT4	0.13222903	0.08045837	0.1100244498777506	0.17680636	0.20842105263157895	1.1348795	5.364243	1
