	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
23	SAMD11	0.18588607	0.33439055	0.84677076	44.55244	1
29	HES4	0.22136968	0.31694442	0.5175757	25.38485	1
79	MMP23B	0.12593219	0.30621627	1.2812296	44.55244	1
83	CDK11A	0.074904226	0.1145811	0.6125838	12.016205	1
109	PANK4	0.055405058	0.019421447	-1.5075593	30.672384	1
142	SMIM1	0.19547433	0.13778271	-0.50427544	16.859797	1
172	RNF207	0.055214148	0.18072782	1.7088963	44.55244	1
173	ICMT	0.13667125	0.2165566	0.6636452	28.69869	1
204	PER3	0.09458093	0.047420386	-0.9945274	24.956087	1
283	C1orf167	0.013610769	0.02532826	0.89112324	5.666963	1
287	NPPA	0.28641596	0.5453184	0.9287481	44.55244	1
288	NPPB	0.023702776	0.12611213	2.4066489	38.975533	1
336	PDPN	0.19212793	0.10716116	-0.8416902	40.185364	1
350	EFHD2	0.20240971	0.08880308	-1.1876857	44.55244	1
354	CASP9	0.081412494	0.04860962	-0.7428145	14.09738	1
428	ALDH4A1	0.043813553	0.07482911	0.7708601	11.934489	1
515	ZNF436-AS1	0.11972968	0.08410782	-0.5089591	10.437331	1
572	SELENON	0.12124672	0.17986198	0.568557	17.897486	1
576	AUNIP	0.0065650563	0.017767057	1.422613	7.6559806	1
581	EXTL1	0.011662222	0.030262683	1.3681386	12.027852	1
586	FAM110D	0.049831986	0.07555655	0.59950066	8.00262	1
627	BX293535.1	0.015294277	0.006694069	-1.1800463	5.880962	1
651	SESN2	0.15769641	0.0892041	-0.821266	29.79354	1
666	EPB41	0.26441544	0.18351106	-0.52669895	23.883055	1
687	SDC3	0.48664415	0.32964396	-0.5618174	44.55244	1
721	TMEM234	0.06396808	0.09231114	0.52846104	8.171587	1
737	KIAA1522	0.021263506	0.009995068	-1.0814978	7.169444	1
738	YARS	0.3719678	0.22428551	-0.7295859	44.55244	1
742	TMEM54	0.1278103	0.08303413	-0.62161964	16.329037	1
774	SFPQ	0.59917486	0.86080176	0.5226307	44.55244	1
783	CLSPN	0.045972865	0.10940227	1.2489715	26.706978	1
820	CDCA8	0.045302138	0.07014218	0.6295774	6.2048106	1
852	PABPC4	0.30463153	0.4310595	0.5006829	36.301712	1
887	RIMS3	0.02831767	0.012654202	-1.1558156	10.17404	1
902	FOXO6	0.047385518	0.030504303	-0.6337532	6.3176565	1
930	SLC2A1	0.7593114	0.5102879	-0.5732875	44.55244	1
931	SLC2A1-AS1	0.05320548	0.03045662	-0.8027989	10.357858	1
942	CDC20	0.04642062	0.07635791	0.7167954	8.079911	1
955	ARTN	0.1744254	0.10552018	-0.7245514	26.375292	1
963	SLC6A9	0.018469058	0.0073841275	-1.3109946	8.432209	1
964	AL139220.2	0.025218286	0.010414417	-1.267811	10.605512	1
973	KIF2C	0.04314408	0.069813155	0.6930612	7.6500144	1
1001	PIK3R3	0.09339914	0.21630327	1.2106973	44.55244	1
1018	MKNK1	0.07134724	0.10443162	0.54898936	9.297549	1
1071	TTC39A	0.050679047	0.07322845	0.5301397	6.777303	1
1121	GLIS1	0.0395742	0.009324508	-2.0737119	30.09371	1
1149	DHCR24	0.10377868	0.16992004	0.7108052	23.790953	1
1186	LINC02777	0.010349249	0.004050839	-1.3319243	5.3586397	1
1195	CYP2J2	0.012592696	0.023051243	0.86709124	5.0859995	1
1206	AC099791.2	0.02315357	0.012620089	-0.87034345	5.5343795	1
1209	KANK4	0.0051467456	0.019355912	1.8907138	10.744785	1
1231	ROR1	0.16298735	0.25233644	0.63027525	29.175768	1
1244	LEPR	0.057464108	0.03323116	-0.7882979	10.847259	1
1263	GADD45A	0.3967262	0.27702203	-0.5179858	37.12261	1
1264	GNG12	0.23295614	0.33177266	0.5099522	28.899687	1
1266	DIRAS3	0.23069747	0.1474654	-0.645273	25.035822	1
1269	DEPDC1	0.08350376	0.13955098	0.74018604	14.017249	1
1288	CTH	0.02481478	0.00905082	-1.445029	12.59659	1
1310	TNNI3K	0.027536215	0.047740214	0.79166377	7.71365	1
1326	RABGGTB	0.20834546	0.10129612	-1.0396675	44.55244	1
1353	IFI44L	0.015922394	0.0027301284	-2.5011504	16.613247	1
1379	AL359504.2	0.08627174	0.04723627	-0.86761326	18.583319	1
1397	SYDE2	0.14240888	0.20731929	0.5414983	18.646713	1
1401	DDAH1	0.019226791	0.036954295	0.9390387	9.089171	1
1405	CCN1	0.10213388	0.17525916	0.77843946	25.824957	1
1425	PKN2-AS1	0.009354256	0.019903034	1.0811831	5.307329	1
1432	GBP1	0.020497095	0.009816973	-1.0544692	6.6889553	1
1433	GBP2	0.07115012	0.034493927	-1.0423735	19.564882	1
1480	CCDC18	0.035402972	0.062658355	0.82186764	10.630275	1
1608	SARS	0.45275453	0.31919482	-0.5041585	41.527134	1
1667	DRAM2	0.19444029	0.12546903	-0.6315883	26.078434	1
1714	PHTF1	0.14503863	0.20930552	0.52886796	18.68027	1
1744	CASQ2	0.0029469605	0.013172366	2.1229827	8.9815855	1
1792	PHGDH	0.3180907	0.16333024	-0.9612166	44.55244	1
1829	SRGAP2B	0.05473193	0.03408259	-0.6817545	8.33535	1
1841	NUDT17	0.03907888	0.057876226	0.5653852	5.757775	1
1853	TXNIP	1.1846164	0.81673044	-0.5364332	44.55244	1
1872	GJA5	0.044078775	0.086351804	0.96854264	19.067781	1
1888	NBPF14	0.027451677	0.055340867	1.0088097	13.435382	1
1927	CA14	0.06449108	0.030996732	-1.054572	20.036434	1
1930	CIART	0.060287997	0.03876144	-0.6359224	7.766504	1
1938	ADAMTSL4	0.03071945	0.014939848	-1.0350511	9.64034	1
1949	CERS2	0.14761077	0.09714715	-0.6030471	17.701202	1
1958	MLLT11	0.61113393	0.8657067	0.50232023	44.55244	1
2075	S100A1	0.016101811	0.0063486686	-1.3290819	7.8603363	1
2088	CRTC2	0.025490878	0.008884862	-1.5100614	14.110121	1
2103	AQP10	0.019476907	0.042122457	1.1088579	11.972841	1
2132	EFNA4	0.11072028	0.07520163	-0.5574689	11.529279	1
2133	EFNA3	0.05849381	0.030627089	-0.9312373	14.309599	1
