	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
14	LINC01409	0.09053531	0.06301054	-0.52219224	8.830564	1
79	MMP23B	0.15149826	0.24636646	0.7011382	42.862244	1
82	SLC35E2B	0.08892637	0.062807396	-0.501003	8.52723	1
109	PANK4	0.046745095	0.024073096	-0.9544958	14.35932	1
172	RNF207	0.050071847	0.073901236	0.5606714	8.347957	1
177	ACOT7	0.040504944	0.065374404	0.6892757	12.199957	1
204	PER3	0.10338744	0.061335433	-0.7523128	19.04341	1
263	AL109811.2	0.04250739	0.022910213	-0.88882947	9.490028	1
273	DISP3	0.0045889956	0.00078981573	-2.3977003	5.5176725	1
287	NPPA	0.31385037	0.66347593	1.0797251	44.55244	1
288	NPPB	0.026010437	0.13110007	2.32907	44.55244	1
350	EFHD2	0.19754532	0.13834299	-0.5136217	19.990473	1
403	MFAP2	0.21131998	0.13172527	-0.6814848	32.58302	1
627	BX293535.1	0.015550321	0.007872788	-0.97303593	5.158112	1
740	FNDC5	0.07480876	0.045413475	-0.7188407	13.623556	1
783	CLSPN	0.04877713	0.07139804	0.5487442	5.956193	1
820	CDCA8	0.0370348	0.06368157	0.78036785	9.131237	1
902	FOXO6	0.053248897	0.03305236	-0.6863469	9.293442	1
942	CDC20	0.03976713	0.069908515	0.8123306	10.051671	1
955	ARTN	0.22427002	0.1280204	-0.8083796	44.55244	1
963	SLC6A9	0.021211457	0.01059762	-0.9943393	6.160092	1
973	KIF2C	0.031859048	0.059992682	0.9109648	11.63593	1
1121	GLIS1	0.051429037	0.028112426	-0.869055	11.13802	1
1149	DHCR24	0.1253552	0.21608691	0.7851069	44.55244	1
1166	PLPP3	0.16010298	0.10658125	-0.5865943	19.18768	1
1195	CYP2J2	0.015244962	0.028030965	0.874394	7.6212006	1
1244	LEPR	0.07239758	0.047004744	-0.6220604	10.778785	1
1269	DEPDC1	0.0682848	0.12129582	0.82797104	17.100285	1
1288	CTH	0.033577155	0.016259074	-1.0416793	10.678082	1
1292	PTGER3	0.10645689	0.07068022	-0.5902056	11.6203575	1
1326	RABGGTB	0.19691218	0.1332857	-0.56268084	24.546598	1
1353	IFI44L	0.020630118	0.0038831567	-2.379744	19.199701	1
1379	AL359504.2	0.096715905	0.051873382	-0.89747113	24.988419	1
1381	SAMD13	0.03346046	0.019257024	-0.79390544	7.6496606	1
1393	LPAR3	0.08797781	0.055515304	-0.66329664	13.703045	1
1401	DDAH1	0.020973034	0.041212577	0.97118306	13.906534	1
1405	CCN1	0.09000992	0.16234049	0.85015345	33.673927	1
1464	TGFBR3	0.05176222	0.029735828	-0.7976382	11.482677	1
1481	CCDC18-AS1	0.26136175	0.18406402	-0.5056086	24.924362	1
1518	DPYD	0.022732215	0.011710522	-0.9509982	6.782961	1
1626	GSTM2	0.044490583	0.03011361	-0.5615406	5.278016	1
1711	LRIG2-DT	0.035485066	0.020338545	-0.7999795	6.447706	1
1767	TRIM45	0.021768408	0.010344821	-1.0660604	7.0229154	1
1792	PHGDH	0.31607184	0.20586199	-0.6183307	33.96905	1
1844	ITGA10	0.0758066	0.04141929	-0.8704436	16.474567	1
1909	HIST2H2AA4	0.019818304	0.006907306	-1.5071629	11.988736	1
1912	AC239868.1	0.018407492	0.009401266	-0.9619176	5.8211284	1
1927	CA14	0.0708508	0.044636223	-0.66537535	11.548276	1
1930	CIART	0.07199315	0.04605762	-0.6432933	10.583103	1
1949	CERS2	0.16872361	0.10356676	-0.70356333	31.546225	1
2088	CRTC2	0.02748754	0.009896518	-1.4645193	15.156039	1
2165	KHDC4	0.13993546	0.09886461	-0.50080764	13.170141	1
2193	IQGAP3	0.008424015	0.0163455	0.9480878	5.967513	1
2290	CASQ1	0.051623035	0.07621982	0.56125075	10.171821	1
2299	VANGL2	0.06233925	0.04151825	-0.58523697	8.126671	1
2374	NUF2	0.037126724	0.062232573	0.7436476	8.665231	1
2442	SLC19A2	0.025525246	0.0150890285	-0.7545362	5.442429	1
2621	NIBAN1	0.023855623	0.0124391625	-0.9339233	6.017611	1
2675	B3GALT2	0.09431456	0.06245733	-0.5938304	11.621551	1
2685	KCNT2	0.030758522	0.018385647	-0.7392635	5.310732	1
2693	ASPM	0.09255331	0.15864491	0.776796	16.988249	1
2719	KIF14	0.04003165	0.06583179	0.7162338	7.9681087	1
2912	KCNH1	0.01778155	0.005369642	-1.7089536	11.035443	1
2925	NEK2	0.02797773	0.05547506	0.9850114	12.442983	1
2931	DTL	0.021977916	0.036610313	0.7335814	6.9007964	1
2971	CENPF	0.14425871	0.2348669	0.7027994	16.17267	1
3046	SUSD4	0.04682888	0.031058088	-0.59086937	6.220349	1
3121	OBSCN-AS1	0.010224774	0.0031958863	-1.6473718	6.726305	1
3133	HIST3H2A	0.18299945	0.110501386	-0.7272579	32.545418	1
3146	ACTA1	0.015988182	0.034452517	1.1027895	7.0952554	1
3208	COA6-AS1	0.025474476	0.012051293	-1.0735949	7.6884775	1
3520	ASAP2	0.026053268	0.039907977	0.61329645	5.6367154	1
3542	RRM2	0.05201676	0.090885244	0.80388516	12.288784	1
3584	LRATD1	0.029810619	0.014325198	-1.0520667	9.466479	1
3627	LINC00954	0.021912945	0.009999445	-1.1240762	7.6883082	1
3628	TTC32	0.08320553	0.047294803	-0.8136834	19.693481	1
3714	CENPA	0.02622883	0.041526668	0.6608648	5.205753	1
3738	TRIM54	0.06050699	0.09067009	0.58273286	12.7716675	1
3796	EHD3	0.09690608	0.15348873	0.6629252	26.268791	1
3995	CHAC2	0.022769362	0.034770038	0.6085719	5.766022	1
4132	CNRIP1	0.061715674	0.042197917	-0.5473861	6.8851733	1
4158	LINC01816	0.0152560575	0.024835533	0.6993952	5.234532	1
4227	MTHFD2	0.2708753	0.18574454	-0.54406506	22.420527	1
4361	CYTOR	0.10479617	0.15231398	0.53903323	17.405598	1
4499	ARID5A	0.024668721	0.04917499	0.9923363	15.373942	1
4541	UNC50	0.19616207	0.11673496	-0.74830943	42.329727	1
4560	LONRF2	0.04151978	0.027241198	-0.60619295	5.557467	1
4640	ECRG4	0.03179002	0.015556648	-1.0263298	10.165375	1
4664	SULT1C4	0.06786092	0.046405256	-0.54731166	8.067923	1
4689	BUB1	0.0788257	0.11414087	0.5335118	9.481875	1
4705	MERTK	0.017343383	0.008810324	-0.96913016	5.124431	1
4722	CKAP2L	0.030800827	0.048475523	0.6525842	6.345661	1
4752	AC110769.2	0.028180119	0.016196085	-0.79526275	5.820091	1
4758	DPP10	0.010144917	0.0033633558	-1.5646658	5.6734743	1
4840	LIMS2	0.15044972	0.2157091	0.5195157	24.598072	1
4892	C2orf27A	0.12854722	0.088569626	-0.5369083	14.97906	1
4983	LYPD6B	0.03656162	0.022169515	-0.7192005	6.3661494	1
