	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	0.00012228989	0.0	-inf	0.4984468	0
1	FAM138A	0.0	0.0			1
2	OR4F5	0.0	0.0			1
3	AL627309.1	0.0015472968	0.0019105513	0.30423906	0.18685998	0
4	AL627309.3	0.00078812486	0.00024413668	-1.6907352	0.5114618	0
5	AL627309.2	0.0	0.0			1
6	AL627309.5	0.02736216	0.021985257	-0.3156457	1.453942	0
7	AL627309.4	0.0015908421	0.0010837509	-0.55375755	0.32218307	0
8	AP006222.2	0.0008824057	0.0010562185	0.25939432	0.14871345	0
9	AL732372.1	0.0	0.0			1
10	OR4F29	0.0	0.0			1
11	AC114498.1	0.00011380246	0.0	-inf	0.49847355	0
12	OR4F16	0.0	0.0			1
13	AL669831.2	0.001869431	0.0014189057	-0.3978205	0.24513443	0
14	LINC01409	0.09053767	0.06301227	-0.52288526	8.830967	0
15	FAM87B	0.00072178926	0.00034114497	-1.0811927	0.3295129	0
16	LINC01128	0.16925934	0.1516479	-0.15850994	2.4375093	0
17	LINC00115	0.015587326	0.011148228	-0.48355898	1.641835	0
18	FAM41C	0.008613949	0.010038393	0.22078156	0.481237	0
19	AL645608.6	0.00021605151	0.000107458975	-1.0075893	0.25089177	0
20	AL645608.2	0.006851737	0.0032984954	-1.0546616	2.265264	0
21	AL645608.4	0.0019032443	0.0016015607	-0.24898222	0.14970742	0
22	LINC02593	0.05093655	0.04476566	-0.18630883	1.1380115	0
23	SAMD11	0.2384309	0.25415105	0.09211497	1.4339759	0
24	NOC2L	0.2518645	0.24683489	-0.02910139	0.3066389	0
25	KLHL17	0.014744381	0.015014042	0.026147196	0.05273987	0
26	PLEKHN1	0.0015537202	0.0017166429	0.1438632	0.09328474	0
27	PERM1	0.0014616877	0.0016234061	0.15138884	0.09955665	0
28	AL645608.7	0.00033611016	0.0013229076	1.9767063	1.6877564	0
29	HES4	0.22782783	0.2604392	0.1930025	4.932021	0
30	ISG15	0.22890046	0.26034302	0.18569332	4.99593	0
31	AL645608.1	0.0	0.0			1
32	AGRN	0.08912713	0.08905852	-0.0011110917	0.005109255	0
33	AL645608.5	0.0	0.0			1
34	AL645608.8	0.0	0.0			1
35	RNF223	7.24347e-05	0.00023802847	1.7163813	0.43635207	0
36	C1orf159	0.017607313	0.016488776	-0.094690494	0.22452413	0
37	AL390719.3	0.00056952634	0.00018727724	-1.604587	0.721421	0
38	LINC01342	0.0	0.0			1
39	AL390719.2	0.0	0.0			1
40	TTLL10-AS1	0.0	0.0			1
41	TTLL10	0.0	0.0003564377	inf	0.6998533	0
42	TNFRSF18	0.00058522035	4.3304204e-05	-3.7564008	0.5715786	0
43	TNFRSF4	0.0	7.5384036e-05	inf	0.49847502	0
44	SDF4	0.49693078	0.50429434	0.021221118	0.36952057	0
45	B3GALT6	0.17017622	0.17670429	0.054307543	0.5603495	0
46	C1QTNF12	0.00700712	0.0037706622	-0.89400375	1.8951504	0
47	AL162741.1	0.00066387386	0.00030378162	-1.1278746	0.54925764	0
48	UBE2J2	0.29870248	0.29748768	-0.0058793235	0.059100866	0
49	LINC01786	0.0015006961	0.0010946739	-0.4551307	0.28189263	0
50	SCNN1D	0.0054927976	0.004043767	-0.44184113	0.6203408	0
51	ACAP3	0.06913747	0.06461535	-0.09759093	0.57407176	0
52	PUSL1	0.081998624	0.08717922	0.088384695	0.62957275	0
53	INTS11	0.15499464	0.15447249	-0.0048684347	0.031051602	0
54	AL139287.1	0.00011672104	0.00012024492	0.04291126	0.007347988	0
55	CPTP	0.072334684	0.08235828	0.1872261	1.8033701	0
56	TAS1R3	0.0008574121	0.0003220572	-1.4126719	0.6369684	0
