gene	mean	HO_mean	HO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
LINC01409	0.07692273	0.09053531	0.12095221424820585	0.060423367	0.06547997457088366	-0.582581	8.5717745	1
MMP23B	0.22148217	0.15149826	0.1925433222475057	0.30621627	0.28417037507946596	1.0147687	44.55244	1
SLC35E2B	0.07520906	0.08892637	0.12200245055137406	0.058584087	0.0644204280567917	-0.60126334	9.177808	1
PANK4	0.034381554	0.046745095	0.06861543847365657	0.019421447	0.023098114007204917	-1.2628381	18.15234	1
SMIM1	0.17111084	0.19862624	0.2665849816208647	0.13778271	0.1417673235855054	-0.52734077	17.23797	1
RNF207	0.10917737	0.050071847	0.06809032032207246	0.18072782	0.1790633608815427	1.8496667	44.55244	1
ACOT7	0.04934547	0.040504944	0.06231402065464729	0.060055945	0.07056579783852511	0.56705195	5.8583198	1
PER3	0.07807879	0.10338744	0.13775599509889724	0.047420386	0.049798686162322525	-1.1228371	28.937517	1
SLC25A33	0.08979567	0.10483756	0.15175914580780675	0.0715657	0.08200890019071837	-0.5501764	10.075083	1
FBXO2	0.21425198	0.2565881	0.30561876422194995	0.16301075	0.1623225259588896	-0.6541645	30.357983	1
NPPA	0.41853276	0.31385037	0.23262734115175915	0.5453184	0.3013350286077559	0.796827	41.166298	1
NPPB	0.07129505	0.026010437	0.02625590757920532	0.12611213	0.07671116762025854	2.273152	36.038364	1
PDPN	0.16786242	0.21798421	0.2585331699632417	0.10716116	0.1180334816698453	-1.0237576	44.55244	1
EFHD2	0.14836459	0.19754532	0.2475056887799755	0.08880308	0.09684255138800593	-1.1526084	44.55244	1
CASP9	0.07747065	0.101295084	0.1407316646245405	0.04860962	0.05446069082432719	-1.057709	28.417011	1
ALDH4A1	0.059961144	0.04767952	0.07194118676702257	0.07482911	0.08094935367662641	0.6491339	8.723436	1
ZNF436-AS1	0.10988812	0.13116588	0.1785401715385962	0.08410782	0.0881542699724518	-0.6404657	15.55263	1
AUNIP	0.011858655	0.0069783656	0.012777875021879923	0.017767057	0.02161474888747616	1.3358139	7.0041556	1
EXTL1	0.022256423	0.015639178	0.023280238053562052	0.030262683	0.03644840008476372	0.94793904	6.867979	1
PIGV	0.040191688	0.047453586	0.07106598984771574	0.031408455	0.03411739775376139	-0.5938151	5.3502436	1
BX293535.1	0.011544001	0.015550321	0.02205496236653247	0.006694069	0.0067810976901886	-1.2038445	5.5179343	1
SESN2	0.1288333	0.16155049	0.1902678102573079	0.0892041	0.09599491417673237	-0.8560795	27.98896	1
EPB41	0.23123579	0.27068305	0.3262734115175915	0.18351106	0.18753973299427845	-0.56048435	24.849424	1
