gene	mean	ReAgg-CM_mean	ReAgg-CM_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
FAM138A	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
OR4F5	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
AL627309.1	0.0021555803	0.0019106219	0.002188183807439825	0.0023424276	0.0027046707583480703	0.28067407	0.25609496	0
AL627309.3	0.0001054065	0.0002441181	0.00041028446389496716	4.9112714e-09	0.0	-1.782833	1.0422473	0
AL627309.2	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
AL627309.5	0.021706834	0.021986365	0.029403719912472648	0.021497648	0.02226152085717258	-0.032281823	0.08234007	0
AL627309.4	0.0008554899	0.0010837375	0.0009573304157549234	0.0006818336	0.0005201289919900135	-0.5984156	0.31381541	0
AP006222.2	0.00078449905	0.0010562578	0.0013676148796498905	0.0005776681	0.0006241547903880162	-0.7708123	0.598092	0
AL732372.1	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
OR4F29	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
AC114498.1	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
OR4F16	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
AL669831.2	0.0012279925	0.0014190027	0.0015043763676148797	0.0010834272	0.0011442837823780298	-0.36015347	0.24161428	0
LINC01409	0.06689412	0.06301054	0.07945842450765864	0.06983366	0.07219390408821388	0.148106	1.1266981	0
FAM87B	0.00028768452	0.00034112702	0.0002735229759299781	0.00024700348	0.0003120773951940081	-0.34624404	0.12666442	0
LINC01128	0.14913374	0.15165666	0.18449124726477023	0.14724095	0.1466763757411838	-0.04260131	0.3678077	0
LINC00115	0.013388241	0.011147562	0.013539387308533917	0.015087476	0.015187766566108395	0.43326974	1.5747461	0
FAM41C	0.008816952	0.010037815	0.013949671772428883	0.007885589	0.008530115468636221	-0.34427604	0.8939734	0
AL645608.6	0.000426731	0.000107473104	0.00013676148796498905	0.0006695116	0.0007281805887860189	1.8910189	1.3173931	0
AL645608.2	0.0043635797	0.0032982992	0.004239606126914661	0.0051742196	0.005097264121502133	0.63414466	1.1759583	0
AL645608.4	0.0011929167	0.001601656	0.0017778993435448578	0.0008825113	0.0009362321855820243	-0.7923934	0.6934601	0
LINC02593	0.040014647	0.044765923	0.056072210065645514	0.0363943	0.03765733902007698	-0.2979489	2.2199714	0
SAMD11	0.21533556	0.25416234	0.275300875273523	0.18588607	0.1812129408093207	-0.45112318	22.862389	0
NOC2L	0.22534356	0.24684583	0.28870350109409193	0.20906918	0.21034016436076147	-0.2395243	7.8451867	0
KLHL17	0.014702638	0.015013352	0.020924507658643326	0.014460845	0.014979714969312389	-0.05372961	0.11920051	0
PLEKHN1	0.0015661273	0.0017167017	0.002188183807439825	0.0014521426	0.0014563611775720378	-0.22706038	0.17956817	0
PERM1	0.0013555763	0.0016234736	0.0020514223194748357	0.0011523674	0.0013523353791740351	-0.4606613	0.40826017	0
AL645608.7	0.0009398701	0.0013230093	0.0017778993435448578	0.00064857694	0.0008322063871840217	-0.9267225	0.8722235	0
HES4	0.23820747	0.26045015	0.28706236323851203	0.22136968	0.21439717049828358	-0.23445177	7.616001	0
ISG15	0.22607648	0.26035428	0.3023796498905908	0.20008782	0.20181004889212525	-0.3796759	18.78221	0
AL645608.1	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
AGRN	0.08269986	0.08906018	0.1111870897155361	0.077846475	0.08394881930718819	-0.19391575	2.087703	0
AL645608.5	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
AL645608.8	6.256092e-05	1.2296368e-09	0.0	0.00011016962	0.00010402579839800271	1.0715363	0.49849904	0
RNF223	0.000282351	0.00023803767	0.0002735229759299781	0.00031609938	0.00010402579839800271	0.29974407	0.082256876	0
C1orf159	0.015756123	0.016488107	0.020924507658643326	0.015194848	0.016228024550088423	-0.117103435	0.30278525	0
AL390719.3	8.0846796e-05	0.00018727002	0.0002735229759299781	4.9112714e-09	0.0	-1.5223367	0.80244607	0
LINC01342	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
AL390719.2	6.666066e-05	1.2296368e-09	0.0	0.0001173775	0.00010402579839800271	1.1201849	0.49844933	0
TTLL10-AS1	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
TTLL10	0.0001539558	0.00035639753	0.0002735229759299781	4.9112714e-09	0.0	-2.19022	0.6997297	0
TNFRSF18	0.0004217312	4.3316344e-05	0.00013676148796498905	0.0007095986	0.0008322063871840217	2.4980037	1.8615285	0
TNFRSF4	0.00028594353	7.538527e-05	0.00013676148796498905	0.0004461314	0.0007281805887860189	1.6387205	1.2303233	0
SDF4	0.46059722	0.5042778	0.5220185995623632	0.42740682	0.38978466659731614	-0.23855753	18.181067	0
B3GALT6	0.15808246	0.176714	0.22141684901531727	0.14395073	0.15302194944346198	-0.29565558	8.511864	0
C1QTNF12	0.004566552	0.0037704583	0.005060175054704595	0.0051723523	0.006241547903880163	0.44594237	0.84135103	0
AL162741.1	0.0004047735	0.0003037751	0.0005470459518599562	0.00048150524	0.0005201289919900135	0.5262403	0.28731832	0
UBE2J2	0.2720722	0.29749358	0.3472374179431072	0.25281063	0.25195048371996254	-0.23471573	9.596522	0
LINC01786	0.0012374637	0.001094693	0.0013676148796498905	0.0013465453	0.0013523353791740351	0.2759716	0.19297981	0
SCNN1D	0.0045335214	0.0040434394	0.005196936542669584	0.004906552	0.005305315718298138	0.2729885	0.39777693	0
