gene	mean	ReAgg-CM_mean	ReAgg-CM_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
FAM138A	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
OR4F5	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
AL627309.1	0.001914116	0.0019106219	0.002188183807439825	0.0019202497	0.0021190930281839372	0.0068918834	0.0040320978	0
AL627309.3	0.00014832575	0.0002441181	0.00041028446389496716	-5.4351403e-09	0.0	-1.7829823	1.0423127	0
AL627309.2	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
AL627309.5	0.020954965	0.021986365	0.029403719912472648	0.019349527	0.02225047679593134	-0.18342099	0.5235529	0
AL627309.4	0.0011255156	0.0010837375	0.0009573304157549234	0.0011901177	0.0010595465140919686	0.124153495	0.0547536	0
AP006222.2	0.00078164	0.0010562578	0.0013676148796498905	0.000355965	0.0004238186056367875	-1.3424679	0.9791849	0
AL732372.1	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
OR4F29	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
AC114498.1	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
OR4F16	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
AL669831.2	0.001324299	0.0014190027	0.0015043763676148797	0.0011778572	0.0012714558169103624	-0.24939778	0.1372759	0
LINC01409	0.06200071	0.06301054	0.07945842450765864	0.060423367	0.06547997457088366	-0.060388774	0.25478798	0
FAM87B	0.00030467034	0.00034112702	0.0002735229759299781	0.00024809333	0.00021190930281839374	-0.34171996	0.10066066	0
LINC01128	0.14455448	0.15165666	0.18449124726477023	0.133532	0.142614960796779	-0.18349423	2.2929437	0
LINC00115	0.010348838	0.011147562	0.013539387308533917	0.009111629	0.00911210002119093	-0.28808418	0.5542146	0
FAM41C	0.009656685	0.010037815	0.013949671772428883	0.009066544	0.00974782792964611	-0.14529699	0.22442959	0
AL645608.6	0.00012317442	0.000107473104	0.00013676148796498905	0.00014756512	0.00021190930281839374	0.25488386	0.082937114	0
AL645608.2	0.0040695206	0.0032982992	0.004239606126914661	0.005265016	0.005933460478915025	0.65876955	0.96613574	0
AL645608.4	0.0011972539	0.001601656	0.0017778993435448578	0.0005704831	0.0006357279084551812	-1.3436664	1.167281	0
LINC02593	0.046103027	0.044765923	0.056072210065645514	0.048179343	0.04831532104259377	0.10578593	0.39889932	0
SAMD11	0.28560385	0.25416234	0.275300875273523	0.33439055	0.3017588472133927	0.39564762	16.257668	0
NOC2L	0.24058057	0.24684583	0.28870350109409193	0.23093791	0.24242424242424243	-0.09606493	1.3197392	0
KLHL17	0.0135854175	0.015013352	0.020924507658643326	0.011368238	0.013350286077558804	-0.39817992	1.1999841	0
PLEKHN1	0.0015208524	0.0017167017	0.002188183807439825	0.0012182256	0.0012714558169103624	-0.4627242	0.34257457	0
PERM1	0.0009867409	0.0016234736	0.0020514223194748357	-5.4351403e-09	0.0	-4.1073256	3.7021732	0
AL645608.7	0.0014262935	0.0013230093	0.0017778993435448578	0.0015863008	0.00169527442254715	0.24491687	0.1443928	0
HES4	0.28258008	0.26045015	0.28706236323851203	0.31694442	0.29603729603729606	0.28312382	8.875156	0
ISG15	0.24779521	0.26035428	0.3023796498905908	0.22841045	0.23331214240305148	-0.18876988	4.0318947	0
AL645608.1	9.5515185e-05	1.2296368e-09	0.0	0.00024356437	0.00021190930281839374	1.7805626	0.49850175	0
AGRN	0.08707847	0.08906018	0.1111870897155361	0.08398674	0.09090909090909091	-0.0845213	0.48823154	0
AL645608.5	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
