gene	mean	CM_3_mean	CM_3_positive_frac	CM_6_mean	CM_6_positive_frac	log2FC	-log10 p-val	is_significant
SAMD11	0.32295835	0.3261542	0.29492317969271875	0.16346705	0.25833333333333336	-0.9961143	7.100799	1
MMP23B	0.22605225	0.22868066	0.20841683366733466	0.09487743	0.16666666666666666	-1.2683085	8.065459	1
GNB1	0.5759892	0.56681633	0.49181696726786905	1.0337201	0.9166666666666666	0.8667775	19.424383	1
RER1	0.33326578	0.32801884	0.31128924515698064	0.5950771	0.7666666666666667	0.8591007	10.98891	1
TTC34	0.00526505	0.0053705787	0.005511022044088177	-1.0186341e-10	0.0	-5.773623	7.698068	1
PRDM16-DT	0.2578355	0.26107955	0.2439879759519038	0.09593702	0.15833333333333333	-1.4433793	10.903149	1
PRDM16	0.19834399	0.20069337	0.1962257849031396	0.08109242	0.15	-1.3062947	8.206997	1
RNF207	0.13939776	0.14148515	0.13894455577822312	0.035215557	0.075	-2.0032942	13.3060255	1
ACOT7	0.02827421	0.025770618	0.026386105544422177	0.15319821	0.275	2.5669546	6.0166793	1
VAMP3	0.36844236	0.36339006	0.33851035404141616	0.62057525	0.75	0.7719228	7.726923	1
ENO1-AS1	0.0056914184	0.005805491	0.006012024048096192	-1.0186341e-10	0.0	-5.8839865	8.322086	1
CASZ1	0.22162518	0.22384718	0.22044088176352705	0.11072816	0.19166666666666668	-1.014834	5.8638906	1
AL139423.1	0.0042628217	0.0043482655	0.004676018704074816	-1.0186341e-10	0.0	-5.4751725	6.6076274	1
SRM	0.24218498	0.2378948	0.23279893119572478	0.45625332	0.625	0.93922114	6.8627224	1
PLOD1	0.4613181	0.45495567	0.40414161656646624	0.7788296	0.8416666666666667	0.77544993	10.912257	1
EFHD2	0.09235392	0.0888743	0.0913493653974616	0.26597488	0.425	1.5803716	7.2089734	1
HSPB7	2.1912074	2.2068925	0.9747828991315965	1.4085823	0.9583333333333334	-0.64773536	31.199015	1
CPLANE2	0.017056584	0.017398415	0.018537074148296594	-1.0186341e-10	0.0	-7.4510818	23.874395	1
NECAP2	0.0957951	0.09021982	0.09268537074148296	0.37399325	0.5583333333333333	2.0502834	12.428634	1
AL137802.2	0.009018469	0.009199216	0.01002004008016032	-1.0186341e-10	0.0	-6.5390387	13.258432	1
AKR7A2	0.43432248	0.43061116	0.39295257181028725	0.6195396	0.775	0.52470875	5.4613523	1
CAPZB	0.7097096	0.7035544	0.5794923179692719	1.0168542	0.9	0.5313158	10.022951	1
NBL1	0.004877243	0.0027226121	0.003006012024048096	0.11239399	0.2	5.3166733	5.847495	1
UBXN10	0.0040847487	0.0041666236	0.0045090180360721445	-1.0186341e-10	0.0	-5.4150243	6.3651896	1
DDOST	0.4607045	0.45617932	0.4106546426185705	0.68653506	0.8	0.5896263	6.5686073	1
ECE1	0.16394675	0.15503053	0.1533066132264529	0.60886353	0.75	1.9728732	19.497305	1
HSPG2	0.45197803	0.43544522	0.3927855711422846	1.2769641	0.975	1.5519366	37.59477	1
LUZP1	0.36287794	0.35440305	0.3299933199732799	0.7857941	0.85	1.1485369	16.406233	1
