gene	mean	CM_4_mean	CM_4_positive_frac	CM_5_mean	CM_5_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
FAM138A	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
OR4F5	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
AL627309.1	0.001612017	0.0008137442	0.001401541695865452	0.0027821779	0.001027221366204417	1.6572971	0.48372543	0
AL627309.3	0.00066416315	0.00015469623	0.000350385423966363	0.0014109516	0.0005136106831022085	2.5686078	0.4245342	0
AL627309.2	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
AL627309.5	0.023188783	0.016897636	0.026629292221443588	0.03241082	0.01746276322547509	0.9355859	1.949356	0
AL627309.4	0.002069837	-3.6379788e-10	0.0	0.005103899	0.0025680534155110425	5.701526	1.5659609	0
AP006222.2	0.0004370382	0.0007352559	0.000700770847932726	1.3969839e-09	0.0	-3.0621982	0.8010295	0
AL732372.1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
OR4F29	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
AC114498.1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
OR4F16	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
AL669831.2	0.0026964254	0.00096744305	0.001401541695865452	0.005230856	0.0030816640986132513	2.320208	1.2382768	0
LINC01409	0.06960823	0.06560017	0.0918009810791871	0.075481	0.03697996918335902	0.20212635	0.49601662	0
FAM87B	0.0011019026	-3.6379788e-10	0.0	0.002717153	0.0015408320493066256	4.816171	1.0748653	0
LINC01128	0.13480368	0.14777143	0.20602662929222143	0.11578782	0.05855161787365177	-0.35161442	2.016226	0
LINC00115	0.013834283	0.010379419	0.014365802382620883	0.018899009	0.009244992295839754	0.8583654	1.0777102	0
FAM41C	0.0124675045	0.01507551	0.023475823405746322	0.008645247	0.0035952747817154596	-0.7951741	1.0209085	0
AL645608.6	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
AL645608.2	0.006208904	0.0029990776	0.004204625087596356	0.01091435	0.005649717514124294	1.8294735	1.6333563	0
AL645608.4	0.0014552271	0.00014836309	0.000350385423966363	0.0033708836	0.0015408320493066256	3.8047802	1.004823	0
LINC02593	0.038320374	0.03955913	0.05641205325858444	0.036499064	0.01848998459167951	-0.11584625	0.17658703	0
SAMD11	0.22526562	0.29788095	0.3496846531184303	0.11880461	0.05855161787365177	-1.3254154	36.129826	1
NOC2L	0.21515398	0.24541375	0.3237561317449194	0.17077757	0.08269131997945557	-0.52284074	6.0167656	1
KLHL17	0.015298316	0.015857955	0.024176594253679046	0.014478226	0.007704160246533128	-0.13046065	0.12198092	0
PLEKHN1	0.001123727	0.0012367478	0.001401541695865452	0.0009580601	0.0005136106831022085	-0.33730564	0.092873625	0
PERM1	0.0002886324	0.00048552622	0.000700770847932726	1.3969839e-09	0.0	-2.5497136	0.78509325	0
AL645608.7	0.0017359705	0.0018811572	0.002452697967764541	0.001522958	0.001027221366204417	-0.28771767	0.1022769	0
HES4	0.31559736	0.43918052	0.47372109320252276	0.1344261	0.06522855675398048	-1.7072564	44.55244	1
ISG15	0.16052568	0.21686578	0.2859145059565522	0.07791951	0.03852080123266564	-1.4755607	31.859741	1
AL645608.1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
AGRN	0.07584832	0.080308884	0.11667834618079888	0.069313996	0.035952747817154594	-0.21212833	0.59952796	0
AL645608.5	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
AL645608.8	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
RNF223	0.00071912294	0.00014499752	0.000350385423966363	0.0015606978	0.0005136106831022085	2.7609506	0.43584794	0
C1orf159	0.022945808	0.026742663	0.03959355290819902	0.017380657	0.009244992295839754	-0.61876833	1.2267883	0
AL390719.3	0.00013781656	0.00023182377	0.000350385423966363	1.3969839e-09	0.0	-1.7303971	0.49840716	0
LINC01342	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
AL390719.2	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
TTLL10-AS1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
TTLL10	0.00039742643	-3.6379788e-10	0.0	0.0009800013	0.0005136106831022085	3.4329662	0.49831986	0
TNFRSF18	0.0005649412	-3.6379788e-10	0.0	0.0013930688	0.0005136106831022085	3.900214	0.49833435	0
TNFRSF4	0.000114820265	0.00019313936	0.000350385423966363	1.3969839e-09	0.0	-1.5515666	0.4984128	0
SDF4	0.3717494	0.49063388	0.555010511562719	0.19746228	0.10015408320493066	-1.3126333	44.55244	1
B3GALT6	0.12755303	0.17532086	0.24772249474421865	0.057513256	0.030303030303030304	-1.6063477	31.33009	1
C1QTNF12	0.004112647	0.0023618152	0.00350385423966363	0.006679114	0.0035952747817154596	1.4613742	0.9247829	0
AL162741.1	0.0007690158	0.0006221067	0.001051156271899089	0.0009842769	0.0005136106831022085	0.58644915	0.13645245	0
UBE2J2	0.23920737	0.31808046	0.4099509460406447	0.1235737	0.060092449922958396	-1.3633064	42.445232	1
LINC01786	0.0017178247	0.0016096828	0.002102312543798178	0.0018761883	0.001027221366204417	0.20899174	0.06657656	0
SCNN1D	0.005841856	0.006154001	0.008409250175192713	0.005385151	0.002054442732408834	-0.18924816	0.0979387	0
ACAP3	0.06347982	0.07204187	0.10546601261387527	0.050928257	0.025166923472008218	-0.49954042	1.8631861	0
PUSL1	0.08222778	0.11910276	0.1702873160476524	0.028182646	0.01335387776065742	-2.0754287	30.620245	1
INTS11	0.14801887	0.166509	0.23300630693763139	0.12090158	0.05855161787365177	-0.46144056	3.3491871	0
AL139287.1	7.716689e-05	0.00012979886	0.000350385423966363	1.3969839e-09	0.0	-1.2003515	0.49843922	0
CPTP	0.05824559	0.08159056	0.11843027330063069	0.024026344	0.011813045711350795	-1.7595602	16.298012	1
TAS1R3	0.0011503195	0.00053276384	0.000700770847932726	0.0020555058	0.001027221366204417	1.7682874	0.50387156	0
DVL1	0.041678578	0.05343632	0.07848633496846531	0.02443634	0.012840267077555213	-1.1255981	5.5812035	1
MXRA8	0.020195536	0.019357227	0.02943237561317449	0.021424806	0.011813045711350795	0.14569415	0.15985182	0
AURKAIP1	0.8897867	1.2598307	0.9074982480728802	0.34744853	0.16024653312788906	-1.8580582	44.55244	1
CCNL2	0.24854203	0.22619408	0.2985283812193413	0.2812804	0.1314843348741654	0.3143228	2.5669687	0
MRPL20-AS1	0.05895893	0.083341494	0.11948142957252979	0.02322077	0.012840267077555213	-1.8391496	19.003798	1
MRPL20	0.7945302	1.0878793	0.858093903293623	0.36461353	0.16743708269132	-1.5768156	44.55244	1
AL391244.2	0.004714788	0.0050669694	0.00700770847932726	0.004199409	0.002054442732408834	-0.26518	0.13712285	0
ANKRD65	0.0013875944	0.0015725894	0.001751927119831815	0.0011162643	0.0005136106831022085	-0.45962656	0.13413656	0
AL391244.1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
TMEM88B	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
LINC01770	0.0025642253	0.0028893452	0.004204625087596356	0.002087528	0.0015408320493066256	-0.45052812	0.2225017	0
VWA1	0.053853296	0.068645224	0.09985984583041345	0.032163825	0.01694915254237288	-1.091342	6.6226163	1
ATAD3C	0.003962185	0.0029281676	0.003854239663629993	0.0054779653	0.0025680534155110425	0.8812939	0.4721131	0
ATAD3B	0.035758752	0.03704387	0.05430974071478627	0.033871308	0.01694915254237288	-0.12880737	0.19333908	0
ATAD3A	0.09507401	0.12871116	0.18570427470217238	0.04577482	0.022598870056497175	-1.4894832	20.045109	1
TMEM240	0.06507691	0.09205097	0.12754029432375613	0.025544956	0.01386748844375963	-1.8453243	20.74045	1
SSU72	0.5584859	0.7386447	0.720042046250876	0.29448718	0.1397021058038007	-1.3263813	44.55244	1
AL645728.1	0.015181745	0.014840469	0.02102312543798178	0.01568224	0.007190549563430919	0.07907651	0.06555425	0
FNDC10	0.08340144	0.111432776	0.1552207428170988	0.042319413	0.02157164869029276	-1.3946712	15.0463915	1
AL691432.4	0.01013732	0.010239177	0.015767344078486335	0.009988836	0.0061633281972265025	-0.03536168	0.02618814	0
AL691432.2	0.06626466	0.09278258	0.13139453398738613	0.027401336	0.01386748844375963	-1.7559063	18.432993	1
